lam_nm,txx_re,txx_im,rxx_re,rxx_im,T,R,P_out_spec,px_re,px_im,py_re,py_im,pz_re,pz_im,mx_re,mx_im,my_re,my_im,mz_re,mz_im,Qxz_re,Qxz_im,Qyz_re,Qyz_im,Qxy_re,Qxy_im,C_px,C_Qxz,E_up_re,E_up_im,E_dn_re,E_dn_im,even_px_re,even_px_im,odd_Q_re,odd_Q_im,odd_m_re,odd_m_im,dphi_rad_deg,U_proxy
1292.0,-0.26847273111343384,0.4116404950618744,-0.5411198139190674,-0.4166908264160156,0.33503870490443877,0.6650331385601247,1.0000718434645635,-2.5552233750669303e-31,1.9059920238778173e-30,-4.600364401020071e-31,7.355457149885837e-31,-3.8847775349790054e-31,7.744735873818399e-31,9.856491595149834e-23,8.039475580367227e-23,2.960580864873664e-22,2.476351455371808e-22,7.3335015692628e-23,4.2382342746790905e-24,9.309901815018907e-37,-1.543453723189728e-36,-1.5897259156603155e-37,1.9699280862536165e-37,-3.813282075885183e-37,2.1944907103598104e-37,1.3997457723315147e-12,4.847334071540814e-13,-1.0557108265597726,-0.25544968183780803,-1.0308181998531178,0.08394343966657196,-0.8944103944022991,-0.11990702574031827,0.3541008456838597,-0.5870505183778617,-0.3876210358015679,0.4634170238344981,-113.46210921188508,22.20155906677246
1294.0,-0.24158906936645508,0.4041700065135956,-0.5687917470932007,-0.4014512002468109,0.31595845474977685,0.684291109705045,1.000249564454822,-2.46047132811942e-31,1.9126342248484708e-30,-4.380300206934703e-31,7.552645681582323e-31,-3.7462020703711986e-31,7.997727875964374e-31,1.0381369575586891e-22,7.866281913126437e-23,2.9944009915890156e-22,2.353528030936081e-22,7.479238413488201e-23,1.2261193864121066e-24,9.19292080638691e-37,-1.6265105009226716e-36,-1.5759271591586506e-37,2.1091077358632723e-37,-3.80216756881387e-37,2.398448727726103e-37,1.3988655164385628e-12,5.159743056114674e-13,-1.04203612865531,-0.2819338489877465,-1.0487100895941417,0.11810345601541658,-0.8961401157796481,-0.1152822129923001,0.34857148502233803,-0.616730191254495,-0.36782620673084454,0.46798642025486903,-112.14437820417403,22.747318267822266
1296.0,-0.21486498415470123,0.3946247696876526,-0.5961853265762329,-0.3839273750782013,0.29670908900952253,0.7033471783974401,1.0000562674069626,-2.3593855162434025e-31,1.9193775669420742e-30,-4.148051767886149e-31,7.741605932445058e-31,-3.5957919788088718e-31,8.260296194240882e-31,1.0922799107694604e-22,7.670526304000607e-23,3.0153213056125157e-22,2.224402785782968e-22,7.618447296077899e-23,-1.8871076369653052e-24,9.013540153555656e-37,-1.7092813219722798e-36,-1.5534763748974778e-37,2.256867536399893e-37,-3.777938555180864e-37,2.5976674324546707e-37,1.3980896020711083e-12,5.468688457601324e-13,-1.0303064759979788,-0.3098043922371099,-1.0649536287428474,0.1544000383128143,-0.8979118137502089,-0.11037537192858221,0.34071580911832205,-0.6461159086276261,-0.3471090990603665,0.4705287497652002,-110.7960927487521,23.340150833129883
1298.0,-0.188284233212471,0.3831821084022522,-0.6234400272369385,-0.36396926641464233,0.2774555371938695,0.7224468598615141,0.9999023970553836,-2.2455175208875564e-31,1.925871857257895e-30,-3.901699694994895e-31,7.919275923888379e-31,-3.4275614621060448e-31,8.530150607489657e-31,1.1478864353107006e-22,7.445368051829193e-23,3.026589209658993e-22,2.0897856342756014e-22,7.747459821470585e-23,-5.343283364543284e-24,8.774536115323432e-37,-1.7931881280158222e-36,-1.5202258443933235e-37,2.4130137465362003e-37,-3.740713273761473e-37,2.8041193971629883e-37,1.3968228761373527e-12,5.783069659222039e-13,-1.0203237992230716,-0.3390555184482331,-1.0794165629494907,0.19311427301250197,-0.8995617215414571,-0.10488660495393581,0.33066000759429875,-0.6757458083650072,-0.3256001651586557,0.47155934578618647,-109.42319359024518,23.98552703857422
1300.0,-0.16231772303581238,0.3696935772895813,-0.650148868560791,-0.34191763401031494,0.2583982342972704,0.7415862005811322,0.9999844348784026,-2.1243248335107047e-31,1.9320941722235656e-30,-3.6437316086165357e-31,8.086882633880544e-31,-3.245433012223175e-31,8.807519432680135e-31,1.2051335546565304e-22,7.196728216749568e-23,3.0244806976511163e-22,1.9506099528924224e-22,7.87158203038991e-23,-8.79529290673198e-24,8.473498828283829e-37,-1.876028836678763e-36,-1.4782420539232634e-37,2.5776814791778518e-37,-3.698415260244075e-37,3.0120955332541226e-37,1.3951557898783311e-12,6.092247537485209e-13,-1.012331847445684,-0.36946603114545423,-1.0917800446545631,0.2336103026428482,-0.9010797102892649,-0.09907312143782106,0.3183339510514068,-0.7047899385704867,-0.30344826109717093,0.47050585744386675,-108.03293562304987,24.687030792236328
1302.0,-0.13697132468223572,0.3541627824306488,-0.6761168241500854,-0.317497193813324,0.23953891746681075,0.7604381626646204,0.9999770801314312,-1.9931229441250768e-31,1.937975727818663e-30,-3.375460372912577e-31,8.240376986812965e-31,-3.046793168897098e-31,9.091243223443807e-31,1.2636764406059554e-22,6.91058325037262e-23,3.008077424923988e-22,1.806651623997884e-22,7.979916296363634e-23,-1.2423155564283808e-23,8.103558622068843e-37,-1.9575639835093956e-36,-1.4213619074596993e-37,2.750596151897289e-37,-3.6420311942934264e-37,3.2197224124199184e-37,1.392974364989034e-12,6.394215671149127e-13,-1.0065252664202595,-0.40098625841487656,-1.1018043934403075,0.27606665742574465,-0.902434358069903,-0.09281141135139181,0.3035014010303352,-0.7331635881347465,-0.28062153838164,0.4672352452130751,-106.61569090341166,25.44426727294922
1304.0,-0.11204158514738083,0.3362554609775543,-0.7014906406402588,-0.29027363657951355,0.2207227180287074,0.7792202321278741,0.9999429501565815,-1.852025346320347e-31,1.9434138601810573e-30,-3.0920428929168667e-31,8.38362067176051e-31,-2.825456399352871e-31,9.386983734425977e-31,1.324398652002724e-22,6.590034981271963e-23,2.9748032611535877e-22,1.6582633441435634e-22,8.088568797272702e-23,-1.6252668475565103e-23,7.661782674526065e-37,-2.0379206263952313e-36,-1.3516932276590076e-37,2.932212862586683e-37,-3.5727396059096346e-37,3.4319011925336143e-37,1.3901683965338285e-12,6.69045845094681e-13,-1.0030148643782115,-0.43398691300888786,-1.1093449705207254,0.3210288402989005,-0.9035786835018431,-0.08610881390360557,0.2860760738267498,-0.7609199534046573,-0.2571778012332014,0.4613581820443367,-105.16058616644418,26.273561477661133
1306.0,-0.08800268173217773,0.31610819697380066,-0.7258577346801758,-0.26039111614227295,0.20231912445890732,0.7978195152452542,1.0001386397041614,-1.7000377815133738e-31,1.9481640793382483e-30,-2.796372998367828e-31,8.512547486853896e-31,-2.5838371153473673e-31,9.691363170297322e-31,1.3857700174230693e-22,6.223617208489482e-23,2.9222627806200806e-22,1.5052773023812841e-22,8.182201830953009e-23,-2.0369568963900455e-23,7.141083653760351e-37,-2.1152153063605335e-36,-1.2645717928163625e-37,3.118184360550088e-37,-3.4898117803417582e-37,3.6431747327339293e-37,1.3864168899676616e-12,6.970370936505259e-13,-1.0019738917049363,-0.46808465869183447,-1.1139881863295535,0.3680116132336533,-0.9044001527692883,-0.07892119794327179,0.26581816595972263,-0.7873632078943841,-0.23309389861188354,0.45251570805297436,-103.66776468392634,27.17613983154297
1308.0,-0.06511525809764862,0.293565571308136,-0.7486367225646973,-0.22771157324314117,0.1843467400937735,0.8155920329407802,0.9999387730345537,-1.5376456452188163e-31,1.9519263801799974e-30,-2.491016563837802e-31,8.625217943162633e-31,-2.3169918222406196e-31,1.0003360298069852e-30,1.4487358641860725e-22,5.812420629193744e-23,2.8478548125310896e-22,1.3510254080338034e-22,8.269880058562638e-23,-2.452298142612369e-23,6.541040498527691e-37,-2.1880987225011545e-36,-1.1590685903628613e-37,3.3107324369402584e-37,-3.396695416362588e-37,3.851352147686678e-37,1.3813493351755257e-12,7.227523814764405e-13,-1.0038841289987444,-0.5030621236451691,-1.115199768420098,0.4168695716908562,-0.9047611878385131,-0.0712732874850845,0.2427382633836954,-0.8120042738331382,-0.20888792808228202,0.4403192476850078,-102.13914141782719,28.148313522338867
1310.0,-0.043542586266994476,0.2686188817024231,-0.7699292898178101,-0.1922522932291031,0.16701194255008964,0.8330226963464697,1.0000346388965593,-1.3659164823147569e-31,1.954670845071926e-30,-2.174309178029255e-31,8.721566985723788e-31,-2.0246106099036517e-31,1.0327321749812756e-30,1.512541203902882e-22,5.354164727781157e-23,2.7473321302408323e-22,1.1952223666123424e-22,8.352082895657217e-23,-2.895512276650789e-23,5.8600233244481215e-37,-2.2550310201273696e-36,-1.0350763873371986e-37,3.5070069042946258e-37,-3.288244600345393e-37,4.058405368308879e-37,1.3749868564405001e-12,7.453951037671533e-13,-1.0086108717249906,-0.5389422987968544,-1.1128319414751877,0.4675593334151462,-0.90465005125281,-0.06321659827527809,0.21680217948417824,-0.8342895802621847,-0.1845164054538771,0.42412848305105216,-100.5696307496602,29.217252731323242
