run_id,period_nm,height_nm,seed,target_wavelength_nm,final_Fco,best_Fco,final_S_ED,final_S_MD,balance,binary_Fco,binary_S_ED,binary_S_MD,fill_fraction,nx,ny,fourier_order_x,fourier_order_y,runtime_s,status
P0830_H0100_seed029_lam1332p5,830,100,29,1332.5,3.0639731884002686,3.0639984607696533,20.257793426513672,22.63294792175293,0.8950576782226562,3.063796281814575,20.2542781829834,22.628870010375977,0.6447234749794006,166,166,7,7,258.4507575035095,completed
P0900_H0200_seed011_lam1332p5,900,200,11,1332.5,2.9663357734680176,2.9667701721191406,17.9260311126709,21.03983497619629,0.85200434923172,2.966653347015381,17.93311882019043,21.04488754272461,0.5899074077606201,180,180,7,7,260.4669466018677,completed
P0900_H0150_seed029_lam1332p5,900,150,29,1332.5,2.909420967102051,2.9141528606414795,15.381634712219238,21.8820743560791,0.702933132648468,2.9107131958007812,15.401719093322754,21.910093307495117,0.5337963104248047,180,180,7,7,260.3980243206024,completed
P0870_H0200_seed011_lam1332p5,870,200,11,1332.5,2.8747477531433105,2.874744415283203,14.19469165802002,22.123220443725586,0.6416195631027222,2.8745217323303223,14.192294120788574,22.11695098876953,0.5401968359947205,174,174,7,7,259.1321051120758,completed
P0790_H0125_seed011_lam1332p5,790,125,11,1332.5,2.733625888824463,2.7337234020233154,13.887774467468262,17.051584243774414,0.8144565224647522,2.7336525917053223,13.889045715332031,17.05092430114746,0.6146851181983948,158,158,7,7,297.0031485557556,completed
P0870_H0125_seed047_lam1332p5,870,125,47,1332.5,2.4570982456207275,4.046226978302002,10.665665626525879,12.77087116241455,0.8351556658744812,2.457012176513672,10.665961265563965,12.768319129943848,0.6813647747039795,174,174,7,7,270.63304924964905,completed
P0870_H0150_seed029_lam1332p5,870.0,150.0,29,1332.5,2.41351580619812,2.9114990234375,9.951205253601074,12.545197486877441,0.793228268623352,2.413383722305298,9.950188636779785,12.54316520690918,0.6085348129272461,174,174,7,7,95.33720469474792,completed
P0830_H0150_seed047_lam1332p5,830,150,47,1332.5,2.3486969470977783,3.828338146209717,9.851314544677734,11.131611824035645,0.8849854469299316,2.3486077785491943,9.851160049438477,11.129800796508789,0.696871817111969,166,166,7,7,267.4549527168274,completed
P0900_H0125_seed029_lam1332p5,900,125,29,1332.5,2.267177104949951,2.7677927017211914,9.094948768615723,10.24341869354248,0.8878821730613708,2.2674453258514404,9.097222328186035,10.246350288391113,0.5932407379150391,180,180,7,7,261.4769067764282,completed
P0830_H0175_seed047_lam1332p5,830,175,47,1332.5,2.260011911392212,3.3309621810913086,8.17847728729248,11.229204177856445,0.7283220887184143,2.260052442550659,8.179253578186035,11.229046821594238,0.6566990613937378,166,166,7,7,268.78518509864807,completed
P0830_H0175_seed011_lam1332p5,830,175,11,1332.5,2.2413768768310547,3.303657054901123,7.998616695404053,11.061659812927246,0.7230936884880066,2.241314172744751,7.99800443649292,11.06112003326416,0.6570982933044434,166,166,7,7,260.56059980392456,completed
P0870_H0175_seed011_lam1332p5,870,175,11,1332.5,2.1589407920837402,2.4404444694519043,7.714649200439453,9.725586891174316,0.793232262134552,2.158752918243408,7.71348762512207,9.723402976989746,0.5827718377113342,174,174,7,7,268.26162934303284,completed
P0870_H0150_seed047_lam1332p5,870,150,47,1332.5,2.157897472381592,2.9821197986602783,7.825214385986328,9.568187713623047,0.8178366422653198,2.157945394515991,7.825770854949951,9.568424224853516,0.6384264826774597,174,174,7,7,263.61650109291077,completed
P0870_H0150_seed011_lam1332p5,870,150,11,1332.5,2.1499710083007812,2.941575527191162,7.834481716156006,9.406559944152832,0.8328742384910583,2.1500144004821777,7.834817409515381,9.406975746154785,0.6414321660995483,174,174,7,7,264.54848647117615,completed
P0870_H0200_seed029_lam1332p5,870,200,29,1332.5,2.1486384868621826,2.1488094329833984,8.846179008483887,8.308603286743164,0.939230740070343,2.148745536804199,8.849385261535645,8.307371139526367,0.5902034640312195,174,174,7,7,271.04053592681885,completed
P0900_H0125_seed047_lam1332p5,900,125,47,1332.5,2.0905990600585938,2.8541507720947266,7.726048946380615,8.470593452453613,0.912102460861206,2.090609073638916,7.726097106933594,8.470706939697266,0.6200000047683716,180,180,7,7,265.37778973579407,completed
P0830_H0200_seed011_lam1332p5,830,200,11,1332.5,2.007312297821045,2.77272891998291,6.3697662353515625,8.697726249694824,0.7323484420776367,2.0073225498199463,6.369912624359131,8.697707176208496,0.6334373354911804,166,166,7,7,269.40482473373413,completed
P0830_H0200_seed029_lam1332p5,830,200,29,1332.5,2.002786874771118,2.714340925216675,6.388765811920166,8.593728065490723,0.7434219121932983,2.002747058868408,6.388722896575928,8.593104362487793,0.6375743746757507,166,166,7,7,268.68581771850586,completed
