tag,theta,alpha,phase_deg,R_cross,pixels_outside
rectangle,60.0,135,-11.428690014578352,0.3081028163433075,-1.0
rectangle,60.0,150,-21.09127923244629,0.2955625057220459,-1.0
rectangle,60.0,165,-27.971451726805192,0.27440306544303894,-1.0
rectangle,60.0,180,-34.98900323103515,0.2654668688774109,-1.0
rectangle,60.0,-1,-2.4274267107336662,42.449137120760895,0.09773970395326614
rectangle,75.0,0,-11.713073478408296,0.42833954095840454,-1.0
rectangle,75.0,15,-12.756744312832815,0.4488489031791687,-1.0
rectangle,75.0,30,-15.978302072612294,0.5019830465316772,-1.0
rectangle,75.0,45,-16.567134388506386,0.5551738739013672,-1.0
rectangle,75.0,60,-22.131412882654388,0.48309969902038574,-1.0
rectangle,75.0,75,-14.186168009880376,0.3535825312137604,-1.0
rectangle,75.0,90,3.312895318229121,0.2754105031490326,-1.0
rectangle,75.0,105,7.854764503065208,0.3535211682319641,-1.0
rectangle,75.0,120,3.2831453620820725,0.48266708850860596,-1.0
rectangle,75.0,135,-4.957716287829027,0.557061493396759,-1.0
rectangle,75.0,150,-10.701530146292223,0.5021166801452637,-1.0
rectangle,75.0,165,-11.924297932264587,0.4492006003856659,-1.0
rectangle,75.0,180,-11.713073478408296,0.42833954095840454,-1.0
rectangle,75.0,-1,0.04870608897896411,8.091896667338688,0.2754105031490326
A_P239_H200_s11_wf,0.0,0,-84.74559944768988,0.3135576844215393,0.0
A_P239_H200_s11_wf,0.0,15,-116.2779327322408,0.31004515290260315,0.0
A_P239_H200_s11_wf,0.0,30,-146.224186808488,0.3041563034057617,0.0
A_P239_H200_s11_wf,0.0,45,-171.02800511901097,0.3057882785797119,0.0
A_P239_H200_s11_wf,0.0,60,157.24080382647668,0.30427396297454834,0.0
A_P239_H200_s11_wf,0.0,75,128.0127851225913,0.3100784420967102,0.0
A_P239_H200_s11_wf,0.0,90,95.26495820353412,0.31355148553848267,0.0
A_P239_H200_s11_wf,0.0,105,63.723643220224645,0.3101038932800293,0.0
A_P239_H200_s11_wf,0.0,120,33.79694056047658,0.30399543046951294,0.0
A_P239_H200_s11_wf,0.0,135,8.973663041008248,0.30551961064338684,0.0
A_P239_H200_s11_wf,0.0,150,-22.7583235031713,0.30411750078201294,0.0
A_P239_H200_s11_wf,0.0,165,-51.983603301199494,0.31009942293167114,0.0
A_P239_H200_s11_wf,0.0,180,-84.74559944768988,0.3135576844215393,0.0
A_P239_H200_s11_wf,0.0,-1,-1.991148997647558,1.9088696072175992,0.30399543046951294
A_P239_H200_s11_wf,30.0,0,-60.99117140124768,0.3730175495147705,0.0
A_P239_H200_s11_wf,30.0,15,-90.37482962575012,0.3699321746826172,0.0
A_P239_H200_s11_wf,30.0,30,-124.33034327309231,0.35671645402908325,0.0
A_P239_H200_s11_wf,30.0,45,-155.0292705354966,0.3545594811439514,0.0
A_P239_H200_s11_wf,30.0,60,163.04825413055008,0.3386842608451843,0.0
A_P239_H200_s11_wf,30.0,75,126.56005852764297,0.33341705799102783,0.0
A_P239_H200_s11_wf,30.0,90,88.11621584082114,0.33137136697769165,0.0
A_P239_H200_s11_wf,30.0,105,55.24078732768976,0.333578884601593,0.0
A_P239_H200_s11_wf,30.0,120,28.520330851149296,0.3389236330986023,0.0
A_P239_H200_s11_wf,30.0,135,9.038211743759453,0.3543466329574585,0.0
A_P239_H200_s11_wf,30.0,150,-14.08201274767956,0.3568585515022278,0.0
