tag,variant,theta,R_cross,R_co,T_tot,A
A_P239_H200_s11_wf,real,35.0,0.3620991110801697,0.008750943467020988,0.28091850876808167,0.34823137521743774
A_P239_H200_s11_wf,real,40.0,0.341902494430542,0.007378618232905865,0.3021884560585022,0.3485303521156311
A_P239_H200_s11_wf,real,45.0,0.32129746675491333,0.013015075586736202,0.32229113578796387,0.34339627623558044
A_P239_H200_s11_wf,real,50.0,0.3078981041908264,0.02163839340209961,0.3353966474533081,0.33506685495376587
A_P239_H200_s11_wf,real,55.0,0.30803853273391724,0.029321866109967232,0.3387662172317505,0.3238734006881714
A_P239_H200_s11_wf,real,60.0,0.3251856565475464,0.033953942358493805,0.331335186958313,0.30952519178390503
A_P239_H200_s11_wf,real,65.0,0.3621034622192383,0.034407876431941986,0.31300076842308044,0.2904878258705139
A_P239_H200_s11_wf,real,70.0,0.42322009801864624,0.030570875853300095,0.28250473737716675,0.2637042999267578
A_P239_H200_s11_wf,real,75.0,0.5120298862457275,0.023099511861801147,0.23901601135730743,0.22585450112819672
A_P239_H200_s11_wf,real,80.0,0.6341719627380371,0.013430589810013771,0.18006767332553864,0.17232970893383026
A_P239_H200_s11_wf,real,85.0,0.7949988842010498,0.004317702259868383,0.10213996469974518,0.09854339063167572
A_P239_H200_s11_wf,lossless,0.0,0.48636773228645325,0.13137981295585632,0.38229966163635254,-4.7150999307632446e-05
A_P239_H200_s11_wf,lossless,5.0,0.4927830696105957,0.12883126735687256,0.37836509943008423,2.047792077064514e-05
A_P239_H200_s11_wf,lossless,10.0,0.5109754800796509,0.12115644663572311,0.36785757541656494,1.058727502822876e-05
A_P239_H200_s11_wf,lossless,15.0,0.5395590662956238,0.10774225741624832,0.3527364730834961,-3.771483898162842e-05
A_P239_H200_s11_wf,lossless,20.0,0.5712715983390808,0.09010155498981476,0.3386596441268921,-3.283470869064331e-05
A_P239_H200_s11_wf,lossless,25.0,0.5980924367904663,0.06924309581518173,0.33267927169799805,-1.4832137821940705e-05
A_P239_H200_s11_wf,lossless,30.0,0.6050253510475159,0.05075672268867493,0.344199538230896,1.8320046365261078e-05
A_P239_H200_s11_wf,lossless,35.0,0.5855902433395386,0.03912218660116196,0.3753114342689514,-2.3934990167617798e-05
A_P239_H200_s11_wf,lossless,40.0,0.54518723487854,0.03634023666381836,0.4184649586677551,7.525086402893066e-06
A_P239_H200_s11_wf,lossless,45.0,0.4994686543941498,0.039940908551216125,0.46059107780456543,-6.631016731262207e-07
A_P239_H200_s11_wf,lossless,50.0,0.4625757336616516,0.04591980576515198,0.49150586128234863,-1.3709068298339844e-06
A_P239_H200_s11_wf,lossless,55.0,0.44326454401016235,0.05037490278482437,0.5063852667808533,-2.4780631065368652e-05
A_P239_H200_s11_wf,lossless,60.0,0.44523078203201294,0.05143037438392639,0.5033486485481262,-9.804964065551758e-06
A_P239_H200_s11_wf,lossless,65.0,0.4705277681350708,0.04809382185339928,0.48143792152404785,-5.950033664703369e-05
A_P239_H200_s11_wf,lossless,70.0,0.521230936050415,0.04012930765748024,0.4386579692363739,-1.823902130126953e-05
A_P239_H200_s11_wf,lossless,75.0,0.5983798503875732,0.02870931848883629,0.37292930483818054,-1.8537044525146484e-05
A_P239_H200_s11_wf,lossless,80.0,0.7033689022064209,0.015837445855140686,0.28068140149116516,0.00011223554611206055
