tag,theta,pol,model,t_re,t_im,T_model
A_P239_H200_s11_wf,60.0,p,bg+ED,-0.027830897529728338,0.15127655292965125,0.023659154323587818
A_P239_H200_s11_wf,60.0,p,bg+MD,0.5217558168215913,0.8063486675040508,0.9224273059727242
A_P239_H200_s11_wf,60.0,p,bg+EQ,0.38736347453013387,0.8338390079973033,0.8453379526579844
A_P239_H200_s11_wf,60.0,p,ladder_all,-0.21040000072451193,0.11860289076926211,0.05833480600370013
A_P239_H200_s11_wf,60.0,p,full,-0.3143913745880127,-0.3259528875350952,0.20508722130780654
A_P239_H200_s11_wf,60.0,s,bg_only,0.5004544258117676,0.7668771147727966,0.8385551414768351
A_P239_H200_s11_wf,60.0,s,bg+ED,0.265912443779574,0.6961000627179788,0.5552647250727991
A_P239_H200_s11_wf,60.0,s,bg+MD,-0.3030194002369486,0.12044426063990676,0.10632757684105386
A_P239_H200_s11_wf,60.0,s,bg+EQ,0.35396941609602006,0.6700986070254321,0.5743264906687818
A_P239_H200_s11_wf,60.0,s,ladder_all,-0.6840463919848898,-0.04711129916227563,0.470138940896303
A_P239_H200_s11_wf,60.0,s,full,-0.6755189895629883,-0.03545704483985901,0.4575831072889764
A_P239_H200_s11_wf,75.0,p,bg_only,0.822076678276062,0.4639560878276825,0.8910653163977723
A_P239_H200_s11_wf,75.0,p,bg+ED,0.17873709370343993,0.013164857866273194,0.03212026214819144
A_P239_H200_s11_wf,75.0,p,bg+MD,0.6701969066505788,0.43586405077547263,0.6391413644424085
A_P239_H200_s11_wf,75.0,p,bg+EQ,0.7413998193255555,0.5218627956934095,0.8220144696249078
A_P239_H200_s11_wf,75.0,p,ladder_all,-0.0538195368725497,0.04297952867979038,0.004743782434712661
A_P239_H200_s11_wf,75.0,p,full,-0.23779423534870148,-0.29633769392967224,0.14436212720862973
A_P239_H200_s11_wf,75.0,s,bg_only,0.6857210397720337,0.3870009481906891,0.6199830782865314
A_P239_H200_s11_wf,75.0,s,bg+ED,0.54071627933521,0.3914673149971341,0.4456207534491783
A_P239_H200_s11_wf,75.0,s,bg+MD,-0.27904981203560997,0.010467333434370008,0.07797836266633552
A_P239_H200_s11_wf,75.0,s,bg+EQ,0.5196652349608429,0.3348781482646582,0.3821953306120745
A_P239_H200_s11_wf,75.0,s,ladder_all,-0.5901103772836245,-0.037189099685215776,0.34961328651321855
A_P239_H200_s11_wf,75.0,s,full,-0.5771142244338989,-0.024679645895957947,0.3336699129654905
B_P252_H185_s47_wf,0.0,p,bg_only,-0.2578335702419281,0.9481171369552612,0.9654042553319409
B_P252_H185_s47_wf,0.0,p,bg+ED,-0.5145971408510116,0.7039874614366533,0.7604085632320592
B_P252_H185_s47_wf,0.0,p,bg+MD,-0.29902681177763174,0.1953192117566276,0.1275666286431255
B_P252_H185_s47_wf,0.0,p,bg+EQ,-0.29564559697181536,0.8573715010047438,0.8224922097439484
B_P252_H185_s47_wf,0.0,p,ladder_all,-0.5936024091166026,-0.13955609971249783,0.3718397250759991
B_P252_H185_s47_wf,0.0,p,full,-0.63230299949646,-0.116507887840271,0.41338117110122136
B_P252_H185_s47_wf,0.0,s,bg_only,-0.2578335702419281,0.9481171369552612,0.9654042553319409
B_P252_H185_s47_wf,0.0,s,bg+ED,-0.36965818317567667,0.3614101401247386,0.2672644617737253
B_P252_H185_s47_wf,0.0,s,bg+MD,0.3801390842544692,0.8333727626920969,0.8390158849748844
B_P252_H185_s47_wf,0.0,s,bg+EQ,-0.5590214812850843,0.9695215630060996,1.2524770776719605
B_P252_H185_s47_wf,0.0,s,ladder_all,-0.032873439722435616,0.26807019191241266,0.07294229083114237
