tag,theta,phi,pol,f_ED,f_MD,f_EQ,f_MQ,px_in_ED,py_in_ED,pz_in_ED,mx_in_MD,my_in_MD,mz_in_MD,dominant
A_P239_H200_s11_wf,0.0,0.0,p,0.4713667456591724,0.4742314602084283,0.031098133895556577,0.023303660236842588,0.9983237094257728,1.921505677630309e-06,0.0016743690685495569,2.3004370050961225e-07,0.9999171214048178,8.264855148176572e-05,MD
A_P239_H200_s11_wf,0.0,0.0,s,0.33202183507141164,0.6532359896973969,0.011679561294187964,0.0030626139370035937,9.695204758130794e-06,0.9636671658335267,0.03632313896171506,0.9999896165146228,1.8211182552433256e-08,1.0365274194634039e-05,MD
A_P239_H200_s11_wf,0.0,45.0,p,0.41670015431654367,0.5447558507432818,0.023364856803407455,0.01517913813676707,0.6786975361849479,0.3072484336035676,0.014054030211484563,0.478442006795793,0.5215314784306415,2.6514773565508264e-05,MD
A_P239_H200_s11_wf,0.0,45.0,s,0.414641207690827,0.5468020099722272,0.02330862471988159,0.015248157617064164,0.6805287543806667,0.3080643270104979,0.011406918608835298,0.47831078061736254,0.5216195993335957,6.962004904161853e-05,MD
A_P239_H200_s11_wf,20.0,0.0,p,0.6599095883523641,0.2843262535678943,0.036234393950140845,0.01952976412960063,0.5909769761335507,3.6535993249342474e-06,0.40901937026712437,0.00010486111849179812,0.9997806255418937,0.00011451333961442573,ED
A_P239_H200_s11_wf,20.0,0.0,s,0.30047963883173384,0.6843275006127021,0.012172902522877062,0.0030199580326869557,0.0036670751283710045,0.957902142693358,0.03843078217827092,0.9265563225958635,8.543625328090007e-07,0.07344282304160356,MD
A_P239_H200_s11_wf,20.0,45.0,p,0.4699683117379367,0.4888210916839096,0.026175743855241143,0.015034852722912507,0.6192701747474424,0.23411512795420628,0.14661469729835133,0.4983791226493188,0.47174378643625614,0.029877090914425006,MD
A_P239_H200_s11_wf,20.0,45.0,s,0.49525778058520104,0.46769269970010235,0.02374249853972935,0.013307021174967229,0.5407513782293433,0.22105616002851955,0.23819246174213718,0.5086728637043184,0.4739942788249122,0.01733285747076945,ED
A_P239_H200_s11_wf,40.0,0.0,p,0.8962533738670991,0.0468043426868507,0.0405261408067321,0.01641614263931807,0.36037131293899494,3.817486065051861e-06,0.6396248695749401,0.0012522449371764302,0.9981494253351225,0.0005983297277010045,ED
A_P239_H200_s11_wf,40.0,0.0,s,0.21925828686301396,0.7640956773840751,0.01361524177058107,0.003030793982329798,0.01666399400820494,0.9359244482811603,0.047411557710634884,0.7743282495942493,2.5330197727322217e-06,0.2256692173859782,MD
