tag,method,P,H,seed,iters,n_grid,order_opt,order_final,stage,padding_nm,design_radius_nm,runtime_s,sha256_rho,R_cross0,R_co0,pb_phase_err_deg0,abs_rx0,abs_ry0,Rc_mean,Rc_min,Rc_soft,Rc_tail25,Rc_omega,co_mean,co_max,T_mean,T_max,A_mean,A_max,theta_worst,phi_worst,f_ED_x,f_MD_x,f_EQ_x,f_MQ_x,px_in_ED_x,mx_in_MD_x,my_in_MD_x,f_ED_y,f_MD_y,f_EQ_y,f_MQ_y,px_in_ED_y,mx_in_MD_y,my_in_MD_y,n_components,n_air_components,min_si_linewidth_nm,min_air_gap_nm,radial_extent_nm,edge_clearance_nm,fill,score,fab_ok
B_P213_H170_s11_wf,B,213.0,170.0,11,80,96,7,9,coarse,21.3,85.2,690.3049900531769,dc493819fbef74c700087859b17840b534b7509c6d0dd2790e26ff2e05a6e485,0.0519235953688621,0.6970095038414001,149.47802734375,0.8577440977096558,0.8729854226112366,0.2543902119976424,0.0113569404929876,0.1303416138992698,0.0335220230743289,0.2841384455240237,0.4133092326422532,0.7391855716705322,0.0994657756749629,0.2726652026176452,0.2328347102517173,0.3337746858596802,45.0,90.0,0.5318215540019712,0.4437995595636023,0.0180860737037126,0.0062928127307139,0.9991160791664864,1.5891660660117176e-08,0.9999024330970864,0.4444123572489659,0.5494312722855996,0.0025363244560009,0.0036200460094335,1.1948999556092184e-05,0.9999301515062498,1.3666424081716964e-08,1,1,113.15625,2.21875,84.26869750332118,0.9313024966788248,0.4006076388888889,0.1626920023800134,False
B_P213_H140_s11_wf,B,213.0,140.0,11,80,96,7,9,coarse,21.3,85.2,648.5874426364899,9c35c2d4ee764f19677c765ac82f2f058602b797723501e5be22ebd610bb38a1,5.44764734513592e-05,0.8433548808097839,179.07821655273438,0.9183140397071838,0.9184689521789552,0.1796425221009052,5.459400563267991e-05,0.073436670377132,0.0001428197036148,0.2015562511008044,0.5386225474732262,0.8433883786201477,0.1164099395252941,0.2922295033931732,0.1653249629196666,0.2312374711036682,0.0,0.0,0.5857762004892868,0.406106758850889,0.0077067202117835,0.0004103204480408,0.9988375831507756,3.1718512107939166e-08,0.9998223890404746,0.5680138234103457,0.4245854838985522,0.0070152977599238,0.0003853949311784,4.743978128907985e-06,0.9998274809837668,3.556225739087581e-08,1,1,161.96875,2.21875,84.26869750332118,0.9313024966788248,0.4891493055555556,0.01678620580840147,False
B_P213_H155_s11_wf,B,213.0,155.0,11,80,96,7,9,coarse,21.3,85.2,657.9033799171448,1ae1e4eda952911789f4228b4ef03ebad42e8e501eb36506834a47e121547b7c,5.3673222282668576e-05,0.7920002341270447,179.0651092529297,0.8892607092857361,0.8907191753387451,0.2344800545872117,5.326816608430818e-05,0.0910673394977774,0.0003668774079415,0.2728010834160223,0.4628108356680189,0.7920293211936951,0.097570281198603,0.2461761385202407,0.2051387879820097,0.2901446223258972,0.0,0.0,0.5787524658745948,0.4047842448377609,0.0141671866418542,0.0022961026457901,0.9987806792946264,8.314474403557179e-08,0.9997424286018408,0.5715272996200741,0.4129259966341035,0.0133450413911541,0.0022016623546681,2.515360338864483e-06,0.9997421386338674,9.023631598037088e-08,1,1,161.96875,2.21875,84.26869750332118,0.9313024966788248,0.48828125,0.11465384926290897,False
B_P213_H185_s11_wf,B,213.0,185.0,11,80,96,7,9,coarse,21.3,85.2,691.7686562538147,ff0dda7b8a58be9b9fde31eb4fff17902e9decb6ace2359947750d59f381b222,0.2319832444190979,0.1882692575454712,82.22760009765625,0.3881221115589142,0.8306258916854858,0.3409470844836462,0.181073322892189,0.2909994696163367,0.2232832133769989,0.3513720525684289,0.1028160992067395,0.1883451789617538,0.3892915766863596,0.5847570300102234,0.1669452062674931,0.2460091859102249,60.0,90.0,0.4409734807946533,0.5342991201395118,0.0225872607130698,0.0021401383527651,0.9786407605798636,2.716293888421898e-07,0.9999951725032922,0.4748430926289809,0.5134279903068417,0.007092845721213,0.0046360713429642,1.543308634463194e-06,0.9999528897174754,1.6058857776781892e-09,1,1,77.65625,2.21875,84.26869750332118,0.9313024966788248,0.2834201388888889,0.4448471756037291,False
B_P213_H200_s11_wf,B,213.0,200.0,11,80,96,7,9,coarse,21.3,85.2,695.960262298584,b9c86182d596e811863aec13e3bcbfa51afe7596b382938a238204df6b9e9c05,0.2047975659370422,0.1458819061517715,78.01263427734375,0.3798750042915344,0.7462944984436035,0.3341849765607289,0.2047559022903442,0.2843666236360917,0.2093901008367538,0.3506797775734491,0.0806786423282963,0.1458743661642074,0.3897288008814766,0.4935321807861328,0.19540757473026,0.2746342122554779,0.0,0.0,0.4345362997822861,0.5367196445097699,0.0253160678426155,0.0034279878653284,0.9797858781520948,3.119677806228457e-07,0.9999962536267656,0.4086512832523392,0.5699582337500811,0.0091367047432408,0.0122537782543388,1.2460922459669338e-06,0.9999647395526728,4.702712317945741e-09,1,1,82.09375,2.21875,83.68247336005462,1.5175266399453875,0.2760416666666667,0.4556034262622138,False
B_P239_H170_s11_wf,B,239.0,170.0,11,80,96,7,9,coarse,23.9,95.6,652.9665927886963,8d6bdd615ed4c72859d876214e5cd7af7d8472c62798a2e0efeb269a1239c023,0.3081335127353668,0.1647871136665344,64.88219451904297,0.3766101598739624,0.8966870307922363,0.3538906141406014,0.073371335864067,0.2789004594373617,0.1910770326852798,0.3441220730150262,0.0749270798461068,0.1647968292236328,0.4200276200260435,0.7296122312545776,0.1511546689130011,0.209004670381546,60.0,90.0,0.4313875609420672,0.5508786883217882,0.0166893207391169,0.0010444299970278,0.9698729096851518,1.333278111340376e-08,0.9999961263743712,0.570471444440976,0.4111867121465637,0.0166699498172705,0.0016718935951895,1.9867919966119745e-06,0.9999050476983784,3.3645044114529504e-08,1,1,82.15625,57.26041666666667,91.49007048287704,4.109929517122964,0.2469618055555555,0.3698626093306588,True
B_P239_H140_s11_wf,B,239.0,140.0,11,80,96,7,9,coarse,23.9,95.6,622.6764094829559,2ef56ca54c0d415d0d3460a637a7dbf0f9ca8e0eacb105c8d6906bd066bbe525,0.0596244744956493,0.7606170177459717,148.74298095703125,0.9167367815971376,0.8944336771965027,0.2486590143914024,0.0143827134743332,0.1371298821638415,0.0440673829987645,0.2734668156729368,0.3951995497835533,0.7631496787071228,0.1712709561966005,0.3877567946910858,0.1848704543496881,0.2800740897655487,30.0,90.0,0.621163343258545,0.3603533511660788,0.0181905130796846,0.0002927924956914,0.9996419194798464,4.988822807382963e-09,0.9998319490572424,0.4564704097773121,0.5402514176233628,0.0028019242723635,0.0004762483269616,1.3903934927910018e-05,0.9999002933341914,5.912496060720282e-09,1,1,112.03125,2.489583333333333,94.55501738635571,1.0449826136442797,0.3780381944444444,0.1498778077350995,False
B_P239_H155_s11_wf,B,239.0,155.0,11,80,96,7,9,coarse,23.9,95.6,637.9425463676453,0b320e246b8033c1fda65f879a466b2cf25ffb56e83c77a9185375d4d2f465ab,0.2989972233772278,0.1763520240783691,68.20586395263672,0.9038355350494384,0.3655508458614349,0.348945285060576,0.0547049976885318,0.2674525369616705,0.180604562908411,0.3396290377626935,0.0825949454890741,0.1763025522232055,0.4215326543365206,0.755044162273407,0.1469270725335393,0.207972913980484,60.0,0.0,0.5591479403485142,0.4292223788523421,0.011125533407714,0.0005041473914295,0.9994680116926558,9.417008738763983e-09,0.9998996608439908,0.4582214971582119,0.5295883392950868,0.0114090753241596,0.0007810882225417,1.1137419706604603e-05,0.9999946024240464,2.583050086500251e-08,1,1,82.15625,2.489583333333333,93.56661027164388,2.033389728356113,0.2599826388888889,0.3481988035471385,False
B_P239_H185_s11_wf,B,239.0,185.0,11,80,96,7,9,coarse,23.9,95.6,671.6201055049896,2db959afdd323e792d25f2969b66d62b43a30edcac780dbda48046b3c894f99c,0.3595642745494842,0.1668405681848526,67.04877471923828,0.8412946462631226,0.5874053835868835,0.3667955370176406,0.2078345119953155,0.3381108952559358,0.2552672803401947,0.3435274698283147,0.0763260791780859,0.166853055357933,0.2585681130488713,0.4491574764251709,0.2983102386906033,0.4753228724002838,60.0,0.0,0.5499244658139584,0.407667260459055,0.0323423061051874,0.010065967621799,0.9992103803792262,1.4414309999436237e-07,0.999877698476772,0.327588091535245,0.6616806245692524,0.0089536813669132,0.0017776025285893,8.115048340364783e-06,0.9999923922264844,8.967477466933235e-10,1,1,87.13541666666667,52.28125,91.0826915219268,4.51730847807319,0.2634548611111111,0.5004669196328698,True
B_P239_H200_s11_wf,B,239.0,200.0,11,80,96,7,9,coarse,23.9,95.6,677.3993186950684,002f0087c4b6a2e24fea4b40b48f8fb1fe199eeb00c8023127742f39e9d96c63,0.0017149024643003,0.0008307095849886,7.3775506019592285,0.0701354071497917,0.0127695417031645,0.2078528856426211,0.0017146019963547,0.1085846721109749,0.0103713884251192,0.2336933569902297,0.1351176780299283,0.3465799987316131,0.3113313964789822,0.7180182933807373,0.3456980195783433,0.5327168703079224,0.0,0.0,0.0287868265081142,0.7015251736287668,0.219763175909061,0.0499248239540581,0.935890615301448,9.428469289844246e-07,0.9989306680623112,0.0895163359131868,0.5512224301975815,0.3107711441718158,0.0484900897174157,4.134857190142824e-05,0.9999375948096404,2.2344625887390957e-06,1,1,166.80208333333334,2.489583333333333,94.55501738635571,1.0449826136442797,0.4657118055555556,0.1369347694961917,False
B_P252_H170_s11_wf,B,252.0,170.0,11,80,96,7,9,coarse,25.200000000000003,100.8,643.0965201854706,79b47b6fd1fa1759080131cc0387a41de1ed76010c704eadd0c1d140cd29c435,0.2941180467605591,0.1447262465953827,56.04253768920898,0.3016746938228607,0.8869837522506714,0.3407093742418857,0.0498142354190349,0.2544937088696881,0.163687128573656,0.3297458452092405,0.0663721763883673,0.1447047144174575,0.4674144500777835,0.7815568447113037,0.1255039601098923,0.1710251867771148,60.0,90.0,0.4984537929495953,0.4839057494716945,0.0167833183544968,0.0008571392242134,0.9746730082566096,1.1904349088805749e-07,0.999993643951211,0.5733534456758459,0.4082167547050448,0.0171737074297159,0.0012560921893933,3.569124074497159e-06,0.9998772161190014,4.2050174775753846e-08,1,1,86.625,70.875,92.15582082809529,8.64417917190471,0.2157118055555555,0.32310198427351905,True
B_P252_H140_s11_wf,B,252.0,140.0,11,80,96,7,9,coarse,25.200000000000003,100.8,627.997395992279,d40b3de63c2c84d296e68b2c8e6093c7054bcf82591bc748818f9b5feb00d578,0.1116997152566909,0.6801712512969971,135.92025756835938,0.9066863656044006,0.8726592659950256,0.2925811160710596,0.026270730420947,0.180866277981906,0.081610756739974,0.3148118513536351,0.3333837485739163,0.7024536728858948,0.1777618478628851,0.4096522331237793,0.1962732381763912,0.3000118732452392,30.0,90.0,0.659939758879359,0.3187430695529712,0.0213037021941904,1.346937347938014e-05,0.9996939756757508,1.3033303988169531e-08,0.9996053623025178,0.4229646626263019,0.5732367488794397,0.0026317804531013,0.001166808041157,1.728259802004606e-05,0.999982601963098,4.978643159714471e-09,1,3,102.375,2.625,98.2360438561122,2.5639561438877934,0.3546006944444444,0.23318510078934368,False
B_P252_H155_s11_wf,B,252.0,155.0,11,80,96,7,9,coarse,25.200000000000003,100.8,637.9037368297577,71e0fa99a8fce4858fbc3891206051060cbfee6c1747b2cf4190a210f15bef15,0.3305242359638214,0.1650111973285675,64.97997283935547,0.4375543892383575,0.8941906690597534,0.3402023538947105,0.0765803605318069,0.2763979550227249,0.1797413751482963,0.3222068334356606,0.0729071530069978,0.165019541978836,0.3955352171545937,0.6915544271469116,0.1913552596455528,0.2821598351001739,60.0,90.0,0.3906042012793764,0.6008878555434713,0.0080593518050931,0.0004485913720589,0.9648048559782504,3.2294780228126336e-08,0.9999927127866898,0.6056718338643686,0.3799639841755162,0.0136840791890917,0.0006801027710231,2.251483954880906e-06,0.9998645385127832,5.425202346650367e-08,1,1,86.625,55.125,93.93319600918517,6.86680399081483,0.2408854166666666,0.34938851194269416,True
B_P252_H185_s11_wf,B,252.0,185.0,11,80,96,7,9,coarse,25.200000000000003,100.8,654.2134184837341,6a20fce3a8865ffbf00ae8a147009931aa725b030cc125a9c3784e32345b5c56,0.0116881402209401,0.6791916489601135,165.53546142578125,0.8031235933303833,0.858344316482544,0.3398059678397008,0.0034194122999906,0.1405162344109287,0.0110609222203493,0.4099658550406076,0.2481131953896866,0.679193377494812,0.1135419394288744,0.3275022804737091,0.2985388714642751,0.4573559463024139,15.0,90.0,0.5179423636850199,0.3794557517688406,0.0784667181024982,0.0241351664436413,0.9989734317844338,6.284093490817912e-07,0.9997059981209075,0.5272562180571244,0.3740153192878147,0.0824579063691958,0.0162705562858649,4.910425128320858e-06,0.999913055862156,5.049750583439861e-07,1,2,81.375,13.125,93.71286764633766,7.087132353662341,0.3732638888888889,0.3200636757980967,False
B_P252_H200_s11_wf,B,252.0,200.0,11,80,96,7,9,coarse,25.200000000000003,100.8,666.4710941314697,9c1b2da0287372ffc6cc9e1e6b70c7d284e4ef9867c6f03e4245567529cedc98,0.0099988942965865,0.0831960290670394,143.8394775390625,0.3390340209007263,0.2673685252666473,0.2857559325084799,0.0100147873163223,0.146768512232664,0.0186149589717388,0.3347678054569214,0.0659581646323204,0.1252191364765167,0.2538410389707202,0.5371143817901611,0.3944448289417085,0.6024274826049805,0.0,0.0,0.2241272897173523,0.6417261525895616,0.0818016651330083,0.0523448925600776,0.9861116251886672,5.126399730182359e-07,0.9994957497478354,0.0714212437846018,0.6232629770112218,0.2275427027090145,0.0777730764951617,1.847311287823901e-05,0.9998675537144028,1.8046433206775657e-06,1,3,102.375,23.625,92.9746689292304,7.825331070769607,0.3641493055555556,0.27852702141711183,False
