tag,theta,phi,R_cross,R_co,T_cross,T_tot,A,abs_rx,abs_ry,dphi_r_deg,energy_x
rectangle,40.0,60.0,0.22805123031139374,0.4219425916671753,0.021206412464380264,0.062120743095874786,0.28788527846336365,0.5952091813087463,0.768310546875,324.3489074707031,0.9999999925494194
rectangle,40.0,75.0,0.21126767992973328,0.4730321168899536,0.014483742415904999,0.03699798136949539,0.27870213985443115,0.7060360908508301,0.8680727481842041,301.47930908203125,0.9999999850988388
rectangle,40.0,90.0,0.20484891533851624,0.4909641444683075,0.013441605493426323,0.030827531591057777,0.27335935831069946,0.7580866813659668,0.9038422703742981,294.6812744140625,0.9999999925494194
rectangle,45.0,0.0,0.2685168981552124,0.11531630903482437,0.04548110067844391,0.3092961609363556,0.3068706691265106,0.5732826590538025,0.6625808477401733,-246.21395874023438,1.0000000298023224
rectangle,45.0,15.0,0.26983052492141724,0.1389206051826477,0.045051492750644684,0.2819451689720154,0.3093037009239197,0.5544625520706177,0.6339815855026245,-257.37359619140625,0.9999999701976776
rectangle,45.0,30.0,0.26537102460861206,0.21302150189876556,0.0422050878405571,0.20876769721508026,0.3128397762775421,0.5060426592826843,0.5933265089988708,-293.9714050292969,0.9999999850988388
rectangle,45.0,45.0,0.24679428339004517,0.31786805391311646,0.032000284641981125,0.12054859101772308,0.3147889971733093,0.48632681369781494,0.6464017629623413,-348.97601318359375,1.0
rectangle,45.0,60.0,0.21960559487342834,0.4136422872543335,0.016910947859287262,0.05603940784931183,0.3107125759124756,0.5663113594055176,0.7748211622238159,326.7029724121094,0.999999962747097
rectangle,45.0,75.0,0.19574084877967834,0.475195050239563,0.009405364282429218,0.027429677546024323,0.30163437128067017,0.6841474771499634,0.871692955493927,304.3428955078125,0.9999999888241291
rectangle,45.0,90.0,0.18562068045139313,0.49581027030944824,0.010704072192311287,0.025110263377428055,0.2934587597846985,0.7390429377555847,0.9037020802497864,297.6741943359375,1.0
rectangle,50.0,0.0,0.2593027651309967,0.07559452950954437,0.0476866289973259,0.3554769456386566,0.30962568521499634,0.49024438858032227,0.6553282141685486,-235.12295532226562,1.0000000149011612
rectangle,50.0,15.0,0.26195788383483887,0.09671860933303833,0.04772350564599037,0.3274857699871063,0.3138377070426941,0.4769520163536072,0.6301158666610718,-246.70993041992188,1.0
rectangle,50.0,30.0,0.2609153389930725,0.1698833405971527,0.0452108234167099,0.24356630444526672,0.3256349563598633,0.44135525822639465,0.591170608997345,-285.0223083496094,1.0
rectangle,50.0,45.0,0.24188165366649628,0.28990089893341064,0.033170051872730255,0.13325135409832,0.3349660634994507,0.4369204044342041,0.649889349937439,-344.1646728515625,1.0
rectangle,50.0,60.0,0.208604633808136,0.40195128321647644,0.013050451874732971,0.05030844733119011,0.3391355276107788,0.5270077586174011,0.7834924459457397,330.1435852050781,1.0
rectangle,50.0,75.0,0.17407706379890442,0.47061318159103394,0.006883715279400349,0.023730698972940445,0.3315790295600891,0.6438841223716736,0.8751735687255859,308.52276611328125,1.0000000335276127
rectangle,50.0,90.0,0.15798649191856384,0.49063020944595337,0.014384306967258453,0.033324871212244034,0.31805846095085144,0.6970477104187012,0.9007540345191956,301.9918212890625,1.0000000298023224
rectangle,55.0,0.0,0.25601905584335327,0.048919204622507095,0.04973762482404709,0.38677236437797546,0.30828937888145447,0.428342342376709,0.6529926061630249,-222.2324676513672,1.0000000149011612
