tag,theta,phi,R_cross,R_co,T_cross,T_tot,A,R_cross_12,R_cross_21,abs_rx,abs_ry,dphi_r_deg,rxx_re,rxx_im,ryy_re,ryy_im,rxy_abs,ryx_abs
rectangle,15.0,30.0,0.2403893768787384,0.4235626459121704,0.04458746314048767,0.10297288745641708,0.23307502269744873,0.2467692345380783,0.2340095192193985,0.7334586381912231,0.6564478874206543,-318.8744812011719,-0.7037061452865601,-0.2067829966545105,-0.5961477756500244,0.27483025193214417,0.4235796332359314,0.4237913191318512
rectangle,15.0,45.0,0.23609621822834015,0.43350082635879517,0.04384364187717438,0.09875747561454773,0.231645405292511,0.2436116635799408,0.2285807728767395,0.65120530128479,0.6656283736228943,0.6005785465240479,-0.649908185005188,0.04108110070228577,-0.6638259291648865,0.04895183444023132,0.485910564661026,0.485752671957016
rectangle,15.0,60.0,0.23256057500839233,0.4444875717163086,0.043155521154403687,0.09502996504306793,0.22792185842990875,0.2389141321182251,0.22620701789855957,0.6597635746002197,0.7541190981864929,321.0589599609375,-0.5944423675537109,0.2862275540828705,-0.734104335308075,-0.17258748412132263,0.41833704710006714,0.4184577763080597
rectangle,15.0,75.0,0.2301476001739502,0.45063260197639465,0.04232406988739967,0.09176885336637497,0.2274509072303772,0.23421965539455414,0.22607553005218506,0.7192400693893433,0.8536757230758667,296.9456787109375,-0.5502809286117554,0.4631384015083313,-0.7859928011894226,-0.3331329822540283,0.2399957776069641,0.24061159789562225
rectangle,15.0,90.0,0.22941207885742188,0.4527907073497772,0.04190947115421295,0.0903429314494133,0.22745418548583984,0.22939053177833557,0.22943364083766937,0.7507193088531494,0.8948888778686523,289.4207458496094,-0.5340216159820557,0.5276365876197815,-0.8048415184020996,-0.39122405648231506,0.00036595790879800916,4.102509410586208e-05
rectangle,20.0,0.0,0.2547713816165924,0.38243579864501953,0.04382222145795822,0.11557067930698395,0.2472221404314041,0.25483250617980957,0.25471025705337524,0.8679310083389282,0.7218794822692871,-281.7569580078125,-0.7080239057540894,-0.5020023584365845,-0.5287588834762573,0.4914509356021881,0.0002314372395630926,0.0001880894269561395
rectangle,20.0,15.0,0.2522232234477997,0.387578547000885,0.04355349391698837,0.11272984743118286,0.24746829271316528,0.259245902299881,0.2452005296945572,0.8222668766975403,0.6923070549964905,-290.29510498046875,-0.7013253569602966,-0.42926162481307983,-0.5437905788421631,0.4284633696079254,0.24922113120555878,0.24915985763072968
rectangle,20.0,30.0,0.2476610392332077,0.4033516049385071,0.042622823268175125,0.10594700276851654,0.24304024875164032,0.2595790922641754,0.23574298620224,0.7171383500099182,0.6478021740913391,-316.99554443359375,-0.6781219244003296,-0.23331962525844574,-0.5917149186134338,0.26366862654685974,0.42910024523735046,0.428909569978714
rectangle,20.0,45.0,0.240341454744339,0.42394042015075684,0.04148760065436363,0.09786026179790497,0.23785783350467682,0.2534758150577545,0.22720709443092346,0.6387145519256592,0.6635622978210449,1.126065969467163,-0.6380950808525085,0.028123512864112854,-0.6622165441513062,0.042239829897880554,0.4900672733783722,0.4900272488594055
rectangle,20.0,60.0,0.23440897464752197,0.44080981612205505,0.03938687592744827,0.08887043595314026,0.23591068387031555,0.24576151371002197,0.22305645048618317,0.6524910926818848,0.7552584409713745,321.1040954589844,-0.5878889560699463,0.28307461738586426,-0.7353498935699463,-0.17226675152778625,0.42097288370132446,0.420784592628479
