# xy-averaged squared field magnitudes vs z from final0/prod/fields_normalized.npz, lambda = 1302.2820 nm
# z_nm is the FDTDX domain coordinate (z=0 at the domain bottom, inside the glass PML); +z: glass -> ITO -> a-Si:H -> air
# E normalized to the incident Ex phasor; Dz in units of eps0*E_inc
z_nm,dz_nm,region,E2_xyavg,Ex2_xyavg,Ey2_xyavg,Ez2_xyavg,Dz2_xyavg
1856.3615,12.8031,aSi,1.21468027e+00,7.33503105e-01,1.98231383e-01,2.82945780e-01,1.16341995e+01
1869.1646,12.8031,aSi,1.19046217e+00,7.13035110e-01,1.92887873e-01,2.84539184e-01,1.25289301e+01
1881.9677,12.8031,aSi,1.17485762e+00,6.99944797e-01,1.88761917e-01,2.86150905e-01,1.32635035e+01
1894.7708,12.8031,aSi,1.16754873e+00,6.95193851e-01,1.85878750e-01,2.86476127e-01,1.38056545e+01
1907.5739,12.8031,aSi,1.16810221e+00,6.99276432e-01,1.84247240e-01,2.84578534e-01,1.41317915e+01
1920.3770,12.8031,aSi,1.17584535e+00,7.12154982e-01,1.83842580e-01,2.79847786e-01,1.42281212e+01
1933.1801,12.8031,aSi,1.18980850e+00,7.33243660e-01,1.84596290e-01,2.71968547e-01,1.40912157e+01
1945.9832,12.8031,aSi,1.20871874e+00,7.61434726e-01,1.86392281e-01,2.60891734e-01,1.37280045e+01
1958.7863,12.8031,aSi,1.23103533e+00,7.95164465e-01,1.89067466e-01,2.46803396e-01,1.31552100e+01
1971.5894,12.8031,aSi,1.25501698e+00,8.32510776e-01,1.92416878e-01,2.30089327e-01,1.23982778e+01
1984.3925,12.8031,aSi,1.27881606e+00,8.71320367e-01,1.96202040e-01,2.11293651e-01,1.14898144e+01
1997.1956,12.8031,aSi,1.30058660e+00,9.09350925e-01,2.00162032e-01,1.91073640e-01,1.04676884e+01
2009.9987,12.8031,aSi,1.31859955e+00,9.44420441e-01,2.04026114e-01,1.70152990e-01,9.37294809e+00
2022.8018,12.8031,aSi,1.33135743e+00,9.74557857e-01,2.07527372e-01,1.49272198e-01,8.24751218e+00
2035.6049,12.8031,aSi,1.33769768e+00,9.98138430e-01,2.10416324e-01,1.29142922e-01,7.13198851e+00
2048.4081,12.8031,aSi,1.33687713e+00,1.01399778e+00,2.12473104e-01,1.10406247e-01,6.06363723e+00
2061.2112,12.8031,aSi,1.32863364e+00,1.02151917e+00,2.13518501e-01,9.35959690e-02,5.07452695e+00
2074.0143,12.8031,aSi,1.31321703e+00,1.02068312e+00,2.13422346e-01,7.91115605e-02,4.19013796e+00
2086.8174,12.8031,aSi,1.29138838e+00,1.01207891e+00,2.12108982e-01,6.72004831e-02,3.42840219e+00
2099.6205,12.8031,aSi,1.26438481e+00,9.96875444e-01,2.09559637e-01,5.79497318e-02,2.79916409e+00
2112.4236,12.8031,aSi,1.23385405e+00,9.76753502e-01,2.05811478e-01,5.12890727e-02,2.30421532e+00
2125.2267,12.8031,aSi,1.20176033e+00,9.53802827e-01,2.00953667e-01,4.70038312e-02,1.93779364e+00
2138.0298,12.8031,aSi,1.17026484e+00,9.30388558e-01,1.95120124e-01,4.47561535e-02,1.68748290e+00
2150.8329,12.8031,aSi,1.14159317e+00,9.08998646e-01,1.88480312e-01,4.41142062e-02,1.53552619e+00
2163.6360,12.8031,aSi,1.11789204e+00,8.92077814e-01,1.81227819e-01,4.45864117e-02,1.46038441e+00
2176.4391,12.8031,aSi,1.10108786e+00,8.81861127e-01,1.73567986e-01,4.56587504e-02,1.43846470e+00
2189.2422,12.8031,aSi,1.09275453e+00,8.80216377e-01,1.65705313e-01,4.68328420e-02,1.44590012e+00
2202.0453,12.8031,aSi,1.09399725e+00,8.88504171e-01,1.57830484e-01,4.76625898e-02,1.46026815e+00
2214.8484,12.8031,aSi,1.10536460e+00,9.07468475e-01,1.50109114e-01,4.77870144e-02,1.46214185e+00
2227.6515,12.8031,aSi,1.12678859e+00,9.37158512e-01,1.42671895e-01,4.69581827e-02,1.43639104e+00
2240.4547,12.8031,aSi,1.15756223e+00,9.76893094e-01,1.35606120e-01,4.50630175e-02,1.37316760e+00
2253.2578,12.8031,aSi,1.19635446e+00,1.02526531e+00,1.28949976e-01,4.21391734e-02,1.26853711e+00
2266.0609,12.8031,aSi,1.24126044e+00,1.08018493e+00,1.22688222e-01,3.83872820e-02,1.12477406e+00
2278.8640,12.8031,aSi,1.28989079e+00,1.13895833e+00,1.16748421e-01,3.41840366e-02,9.50350786e-01
2291.6671,12.8031,aSi,1.33949021e+00,1.19838573e+00,1.10995124e-01,3.01093606e-02,7.59758311e-01
2304.4702,12.8031,aSi,1.38708273e+00,1.25484732e+00,1.05213193e-01,2.70222171e-02,5.73451295e-01
2317.2733,12.8031,aSi,1.42965554e+00,1.30430256e+00,9.90485742e-02,2.63044027e-02,4.18711422e-01
2330.0764,12.8031,aSi,1.46457318e+00,1.34188215e+00,9.17601763e-02,3.09308480e-02,3.34939069e-01
2342.8795,12.8031,aSi,1.49809144e+00,1.35988456e+00,8.11538406e-02,5.70530438e-02,4.16864067e-01
2357.6600,16.7578,air,1.59068765e+00,1.35053242e+00,6.00825109e-02,1.80072724e-01,1.80072724e-01
2376.9315,21.7852,air,1.49354517e+00,1.34282453e+00,3.82124495e-02,1.12508182e-01,1.12508182e-01
2400.7147,25.7813,air,1.44718356e+00,1.34980537e+00,2.49505179e-02,7.24276720e-02,7.24276720e-02
2426.4959,25.7813,air,1.42072192e+00,1.35552964e+00,1.68340157e-02,4.83582612e-02,4.83582612e-02
