lambda_nm,R,T,A_closure_residual,R_3000fs_window,T_3000fs_window,R_6000fs_window,T_6000fs_window,R_9000fs_window,T_9000fs_window
1250.00,0.132142,0.867597,0.000262,0.130844,0.866514,0.132133,0.867748,0.132210,0.867666
1252.00,0.372835,0.626925,0.000240,0.370671,0.625929,0.373288,0.627317,0.372785,0.626802
1254.00,0.617099,0.382640,0.000261,0.614360,0.382259,0.617619,0.382565,0.616984,0.382706
1256.00,0.707462,0.292276,0.000262,0.704911,0.292851,0.707345,0.291681,0.707655,0.292339
1258.00,0.728860,0.270912,0.000228,0.727063,0.272502,0.728089,0.270728,0.728771,0.270794
1260.00,0.742126,0.257623,0.000251,0.741728,0.259764,0.741844,0.258046,0.742043,0.257688
1262.00,0.760426,0.239392,0.000182,0.761561,0.241552,0.761000,0.239762,0.760578,0.239436
1264.00,0.783279,0.216469,0.000253,0.786025,0.218093,0.784043,0.216247,0.783254,0.216358
1266.00,0.808837,0.191018,0.000145,0.812566,0.191775,0.808583,0.190573,0.808641,0.191083
1268.00,0.834822,0.164928,0.000250,0.839000,0.164764,0.833928,0.164889,0.835074,0.164983
1270.00,0.860239,0.139613,0.000148,0.863886,0.138628,0.859726,0.139953,0.860221,0.139497
1272.00,0.884010,0.115789,0.000201,0.886444,0.114358,0.884629,0.116107,0.883759,0.115835
1274.00,0.905693,0.094091,0.000216,0.906390,0.092495,0.906847,0.093984,0.905863,0.094151
1276.00,0.925241,0.074636,0.000123,0.923765,0.073249,0.925564,0.074306,0.925401,0.074584
1278.00,0.942174,0.057581,0.000246,0.938784,0.056616,0.941393,0.057382,0.942012,0.057543
1280.00,0.956885,0.042939,0.000176,0.951721,0.042471,0.955522,0.043016,0.956668,0.042982
1282.00,0.969307,0.030569,0.000124,0.962844,0.030638,0.968542,0.030837,0.969492,0.030611
1284.00,0.979265,0.020471,0.000264,0.972349,0.020939,0.980016,0.020648,0.979624,0.020426
1286.00,0.987286,0.012529,0.000185,0.980382,0.013222,0.989004,0.012489,0.987059,0.012493
1288.00,0.993287,0.006624,0.000089,0.987005,0.007377,0.994819,0.006481,0.992763,0.006664
1290.00,0.997013,0.002745,0.000243,0.992246,0.003332,0.997495,0.002649,0.997148,0.002761
1292.00,0.998875,0.000838,0.000287,0.996084,0.001068,0.997681,0.000892,0.999547,0.000804
1294.00,0.999010,0.000901,0.000089,0.998486,0.000616,0.996225,0.001069,0.999239,0.000910
1296.00,0.996849,0.003087,0.000064,0.999393,0.002086,0.993701,0.003153,0.996292,0.003151
1298.00,0.992015,0.007670,0.000315,0.998710,0.005737,0.990131,0.007395,0.991241,0.007688
1300.00,0.984260,0.015303,0.000438,0.996241,0.012171,0.984782,0.014574,0.983975,0.015188
1302.00,0.971849,0.027983,0.000167,0.991345,0.023009,0.975600,0.026790,0.972466,0.027741
1304.00,0.947241,0.052987,-0.000228,0.981142,0.044081,0.955920,0.051387,0.949018,0.052752
1306.00,0.860078,0.139977,-0.000055,0.937889,0.115819,0.880128,0.138959,0.863430,0.140635
1308.00,0.512228,0.485671,0.002101,0.365421,0.403859,0.462236,0.513834,0.506412,0.497499
1310.00,0.999086,0.001360,-0.000446,0.932973,0.006396,0.987057,0.001746,1.000168,0.001262
1312.00,0.984285,0.015743,-0.000028,0.947435,0.019459,0.981025,0.014637,0.986069,0.015499
1314.00,0.967982,0.031754,0.000264,0.942631,0.034382,0.968049,0.030439,0.969546,0.031700
1316.00,0.952809,0.046816,0.000375,0.933518,0.048835,0.954332,0.045614,0.953843,0.046953
1318.00,0.938089,0.061555,0.000356,0.922485,0.063241,0.940178,0.060559,0.938560,0.061811
1320.00,0.923382,0.076344,0.000275,0.910256,0.077858,0.925602,0.075554,0.923397,0.076636
1322.00,0.908472,0.091343,0.000185,0.897162,0.092795,0.910626,0.090727,0.908185,0.091614
1324.00,0.893280,0.106607,0.000113,0.883406,0.108081,0.895294,0.106120,0.892830,0.106823
1326.00,0.877804,0.122131,0.000065,0.869140,0.123701,0.879661,0.121733,0.877289,0.122285
1328.00,0.862075,0.137887,0.000038,0.854489,0.139616,0.863781,0.137540,0.861557,0.137984
1330.00,0.846147,0.153827,0.000026,0.839565,0.155770,0.847712,0.153501,0.845653,0.153882
1332.00,0.830077,0.169900,0.000022,0.824470,0.172098,0.831506,0.169566,0.829618,0.169928
1334.00,0.813933,0.186047,0.000020,0.809305,0.188525,0.815223,0.185679,0.813507,0.186064
1336.00,0.797768,0.202211,0.000021,0.794144,0.204971,0.798908,0.201787,0.797373,0.202230
1338.00,0.781649,0.218329,0.000022,0.779066,0.221350,0.782616,0.217831,0.781285,0.218365
1340.00,0.765628,0.234344,0.000027,0.764122,0.237571,0.766393,0.233764,0.765299,0.234409
1342.00,0.749764,0.250198,0.000038,0.749355,0.253542,0.750292,0.249537,0.749482,0.250301
1344.00,0.734113,0.265834,0.000053,0.734789,0.269172,0.734367,0.265112,0.733895,0.265981
1346.00,0.718721,0.281203,0.000076,0.720425,0.284373,0.718678,0.280458,0.718592,0.281391
1348.00,0.703637,0.296258,0.000105,0.706250,0.299068,0.703297,0.295549,0.703619,0.296472
1350.00,0.688910,0.310958,0.000132,0.692235,0.313197,0.688304,0.310360,0.689011,0.311166
1352.00,0.674589,0.325265,0.000147,0.678354,0.326725,0.673792,0.324862,0.674793,0.325422
1354.00,0.660722,0.339140,0.000138,0.664576,0.339647,0.659853,0.339005,0.660977,0.339199
1356.00,0.647356,0.352543,0.000101,0.650898,0.351995,0.646567,0.352718,0.647579,0.352475
1358.00,0.634525,0.365428,0.000047,0.637348,0.363842,0.633975,0.365901,0.634627,0.365251
1360.00,0.622246,0.377748,0.000007,0.624006,0.375285,0.622072,0.378432,0.622179,0.377537
1362.00,0.610520,0.389467,0.000013,0.611008,0.386438,0.610788,0.390196,0.610324,0.389335
1364.00,0.599355,0.400578,0.000067,0.598544,0.397406,0.600000,0.401121,0.599153,0.400608
1366.00,0.588789,0.411091,0.000120,0.586845,0.408248,0.589591,0.411221,0.588720,0.411260
1368.00,0.578894,0.420996,0.000109,0.576156,0.418950,0.579514,0.420611,0.579001,0.421175
1370.00,0.569733,0.430230,0.000037,0.566687,0.429391,0.569854,0.429472,0.569913,0.430272
1372.00,0.561305,0.438701,-0.000007,0.558569,0.439332,0.560852,0.437961,0.561391,0.438581
1374.00,0.553583,0.446373,0.000044,0.551809,0.448438,0.552830,0.446082,0.553507,0.446218
1376.00,0.546617,0.453269,0.000114,0.546273,0.456322,0.546041,0.453598,0.546478,0.453232
1378.00,0.540562,0.459358,0.000080,0.541708,0.462618,0.540514,0.460079,0.540509,0.459462
1380.00,0.535554,0.464454,-0.000008,0.537824,0.467079,0.536034,0.465096,0.535632,0.464579
1382.00,0.531638,0.468329,0.000033,0.534407,0.469622,0.532316,0.468467,0.531754,0.468336
1384.00,0.529029,0.470852,0.000119,0.531500,0.470345,0.529405,0.470340,0.529038,0.470719
1386.00,0.528257,0.471678,0.000065,0.529565,0.469386,0.527964,0.470874,0.528127,0.471577
1388.00,0.530040,0.469956,0.000005,0.529672,0.466652,0.529296,0.469622,0.529967,0.470072
1390.00,0.535419,0.464459,0.000123,0.533623,0.461403,0.535013,0.464977,0.535561,0.464614
1392.00,0.545492,0.454337,0.000171,0.543120,0.452664,0.545875,0.455103,0.545584,0.454213
1394.00,0.547371,0.452434,0.000195,0.545531,0.452634,0.548018,0.452623,0.547203,0.452285
1396.00,0.465371,0.534257,0.000373,0.464243,0.535457,0.465587,0.533862,0.465318,0.534377
1398.00,0.420603,0.579159,0.000238,0.420788,0.581922,0.420252,0.578388,0.420768,0.579309
1400.00,0.430244,0.569718,0.000038,0.432254,0.572870,0.429579,0.569556,0.430248,0.569531
