tag,stage,P,h,pad_frac,realized_pad_nm,seed,n_iter,order,warm_start,Fz_soft,Fz_hard,Fx_hard,Fy_hard,Ftot_hard,A_hard,R_hard,T_hard,eta_z_hard,identity_resid_hard,mean_Ez2_hard,max_Ez2_hard,Fz_best_history,fill,fill_active,s_flip_lr,s_flip_ud,s_inv,binarization_final,wall_s
P850_h200_pad0.04_s7777,stage1,850.0,200.0,0.04,33.203125,7777,80,5,False,0.41951280183080714,0.4195210544254303,0.07900911357279955,0.04599583014078245,0.5445259981390124,0.5446731298088743,0.1813938008562986,0.2739330693348271,0.7704334703195026,-0.00014713166986191073,8.752138525463433,73.015113809968,0.41951247028914673,0.42889404296875,0.5046681987934502,0.9080385126827802,0.3344462234240378,0.9074114141876216,0.0013411987271134509,72.11461305618286
P850_h200_pad0.08_s7777,stage1,850.0,200.0,0.08,66.40625,7777,80,5,False,0.41516315239748836,0.41515784031040776,0.0746777922066899,0.04378680573172102,0.5336224382488186,0.5337652968684516,0.17768565037118064,0.2885490527603677,0.7779992192097946,-0.00014285861963303503,8.661112213558216,60.57800609226811,0.41516287587674067,0.41448974609375,0.582218792866941,0.8457887223200076,0.3026413928947435,0.8464848448430498,0.0008042447263115264,70.67132782936096
P850_h200_pad0.08_s333,stage1,850.0,200.0,0.08,66.40625,333,80,5,False,0.4134464704769194,0.413427532588557,0.07536940274005959,0.04329633412289207,0.5320932694515086,0.5322357181123788,0.1781673552500694,0.28959692663755177,0.7769832026154468,-0.00014244866087020913,8.625014161473421,57.589769850862496,0.4134460414723544,0.40875244140625,0.5741598079561042,0.8407637475886849,0.34777820368839774,0.8382736442849092,0.0008462610736641187,72.31531929969788
P650_h400_pad0.12_s7777,stage1,650.0,400.0,0.12,76.171875,7777,80,5,False,0.4121641062857027,0.4121659100330822,0.0141454610529023,0.0016685071134557455,0.4279798781994402,0.42807607818622084,0.5351660385615118,0.03675788325226739,0.9630497390837878,-9.61999867806207e-05,8.598693920198553,30.099909227836378,0.41216298413318636,0.4512939453125,0.7698875468554769,0.19872463253969358,0.24504833834471754,0.28103907051524435,0.0005033990284887481,69.1559476852417
P850_h200_pad0.08_s1001,stage1,850.0,200.0,0.08,66.40625,1001,80,5,False,0.4092213269268685,0.40922895039556273,0.07762942634331067,0.043110614807984435,0.5299689915468578,0.5301119780889892,0.18554128012533253,0.2843467417856782,0.772175272370403,-0.00014298654213140694,8.537422436157138,53.134921193796416,0.409220999617632,0.40313720703125,0.5662722908093278,0.8792330289247312,0.1816736057216266,0.879577353601696,0.0007400705403896036,70.24850916862488
P650_h400_pad0.12_s1001,stage1,650.0,400.0,0.12,76.171875,1001,80,5,False,0.40486516447439513,0.4048935420772472,0.014020303202893497,0.001651616126282914,0.4205654614064236,0.42066067771982085,0.5424141764142344,0.03692514586594476,0.9627360761467013,-9.521631339726166e-05,8.446976214767101,30.18798451392142,0.4048641269231211,0.44287109375,0.7555185339441899,0.16266794391627773,0.1757014607440914,0.22520357077779526,0.0004551921617860944,71.56397986412048
P650_h400_pad0.12_s333,stage1,650.0,400.0,0.12,76.171875,333,80,5,False,0.40461324703937457,0.40467328239773526,0.014033387871811197,0.0016605529562977587,0.4203672232258442,0.4204622650954507,0.5419334125254514,0.037604322379097964,0.9626661167641101,-9.504186960651584e-05,8.442381109929508,30.28108284555501,0.4046114923526733,0.44189453125,0.7538525614327364,0.2204966769146119,0.23970515959384683,0.2849832795327818,0.0003573198470330512,67.3790295124054
P825_h200_pad0.08_s7777,stage1,825.0,200.0,0.08,64.453125,7777,80,5,False,0.40219273072150985,0.4022355462626607,0.11547314704564164,0.02446613598983734,0.5421748292981396,0.5423371357172754,0.14378763346150933,0.31387523082121527,0.7418926968324328,-0.00016230641913572708,8.391524534037456,79.37527690264635,0.40219062994817995,0.45062255859375,0.6329732510288066,0.6465193485489966,0.31185002837976544,0.6448411644114524,0.000659558729285421,67.92075800895691
P825_h200_pad0.08_s1001,stage1,825.0,200.0,0.08,64.453125,1001,80,5,False,0.40009253748771806,0.40005414629901653,0.11634756972922568,0.02403840549878343,0.5404401215270257,0.5406017262779916,0.13965163334747926,0.3197466403745291,0.7402376884392938,-0.00016160475096593796,8.346015698521674,77.74554200161029,0.4000900894528849,0.4488525390625,0.6304869684499315,0.6521861314594095,0.15114466699724444,0.6526029970382214,0.0007184934958029101,66.39250040054321
P825_h200_pad0.08_s333,stage1,825.0,200.0,0.08,64.453125,333,80,5,False,0.38722372135351363,0.3871799421076327,0.11896140709722129,0.0242286328118022,0.5303699820166562,0.5305274749971866,0.13701635805868143,0.33245616694413205,0.7300185818123345,-0.00015749298053036043,8.077431279934116,70.8723921535182,0.3872227875502207,0.443603515625,0.6231138545953361,0.6017768589786429,0.310342718928727,0.613999223762056,0.0004073823710798046,67.48759388923645
