lambda_nm,R,T,A_closure_residual,R_6000fs_window,T_6000fs_window,R_12000fs_window,T_12000fs_window,R_18000fs_window,T_18000fs_window
1242.00,0.001349,0.998237,0.000415,0.001332,0.998337,0.001351,0.998286,0.001349,0.998233
1244.00,0.001354,0.998267,0.000379,0.001379,0.998563,0.001351,0.998245,0.001355,0.998271
1246.00,0.000330,0.999343,0.000327,0.000322,0.999132,0.000330,0.999338,0.000330,0.999343
1248.00,0.007285,0.992420,0.000294,0.007324,0.992176,0.007292,0.992437,0.007286,0.992429
1250.00,0.080736,0.919001,0.000262,0.080866,0.919017,0.080717,0.918999,0.080736,0.919005
1252.00,0.344637,0.655110,0.000253,0.344500,0.655081,0.344677,0.655095,0.344644,0.655110
1254.00,0.623025,0.376716,0.000259,0.622504,0.376689,0.622967,0.376731,0.623028,0.376720
1256.00,0.723955,0.275803,0.000242,0.723679,0.276015,0.724033,0.275791,0.723945,0.275796
1258.00,0.750958,0.248823,0.000218,0.751379,0.249044,0.750867,0.248823,0.750954,0.248815
1260.00,0.766604,0.233182,0.000214,0.767130,0.233074,0.766688,0.233185,0.766612,0.233188
1262.00,0.784179,0.215609,0.000212,0.784010,0.215339,0.784098,0.215603,0.784181,0.215616
1264.00,0.804510,0.195290,0.000199,0.803863,0.195267,0.804606,0.195303,0.804507,0.195285
1266.00,0.826289,0.173527,0.000183,0.826093,0.173767,0.826210,0.173501,0.826300,0.173521
1268.00,0.848246,0.151581,0.000173,0.848804,0.151736,0.848291,0.151610,0.848241,0.151584
1270.00,0.869484,0.130346,0.000170,0.870088,0.130223,0.869466,0.130313,0.869462,0.130344
1272.00,0.889448,0.110381,0.000171,0.889324,0.110158,0.889394,0.110412,0.889455,0.110381
1274.00,0.907822,0.092003,0.000176,0.907073,0.091947,0.907920,0.091991,0.907815,0.092009
1276.00,0.924458,0.075365,0.000177,0.923892,0.075517,0.924349,0.075361,0.924457,0.075363
1278.00,0.939302,0.060519,0.000179,0.939532,0.060699,0.939368,0.060543,0.939320,0.060524
1280.00,0.952366,0.047454,0.000180,0.953214,0.047491,0.952418,0.047432,0.952357,0.047454
1282.00,0.963697,0.036124,0.000180,0.964426,0.036013,0.963578,0.036133,0.963722,0.036125
1284.00,0.973359,0.026469,0.000172,0.973341,0.026332,0.973449,0.026481,0.973346,0.026470
1286.00,0.981410,0.018418,0.000173,0.980624,0.018369,0.981465,0.018402,0.981432,0.018419
1288.00,0.987924,0.011908,0.000168,0.986887,0.011959,0.987772,0.011913,0.987901,0.011909
1290.00,0.992969,0.006874,0.000157,0.992345,0.006957,0.992996,0.006884,0.992978,0.006875
1292.00,0.996588,0.003260,0.000152,0.996775,0.003300,0.996722,0.003252,0.996558,0.003260
1294.00,0.998835,0.001015,0.000151,0.999782,0.000989,0.998733,0.001016,0.998826,0.001015
1296.00,0.999745,0.000092,0.000163,1.001048,0.000039,0.999590,0.000098,0.999757,0.000092
1298.00,0.999370,0.000453,0.000177,1.000488,0.000435,0.999482,0.000442,0.999360,0.000453
1300.00,0.997769,0.002060,0.000170,0.998242,0.002126,0.997978,0.002055,0.997809,0.002057
1302.00,0.994976,0.004880,0.000143,0.994578,0.005033,0.994932,0.004900,0.994963,0.004882
1304.00,0.990984,0.008880,0.000137,0.989773,0.009081,0.990724,0.008898,0.990934,0.008881
1306.00,0.985799,0.014037,0.000164,0.984047,0.014211,0.985675,0.014015,0.985838,0.014034
1308.00,0.979500,0.020331,0.000169,0.977511,0.020391,0.979678,0.020279,0.979543,0.020332
1310.00,0.972150,0.027728,0.000122,0.970199,0.027611,0.972442,0.027711,0.972086,0.027732
1312.00,0.963639,0.036217,0.000144,0.962076,0.035881,0.963827,0.036278,0.963607,0.036216
1314.00,0.953997,0.045829,0.000174,0.953072,0.045222,0.953922,0.045925,0.954077,0.045813
1316.00,0.943335,0.056562,0.000102,0.943099,0.055680,0.942901,0.056641,0.943352,0.056566
1318.00,0.931338,0.068497,0.000165,0.932039,0.067338,0.930829,0.068506,0.931330,0.068535
1320.00,0.917944,0.081909,0.000147,0.919706,0.080376,0.917549,0.081749,0.917883,0.081902
1322.00,0.902754,0.097143,0.000104,0.905726,0.095203,0.902564,0.096872,0.902604,0.097141
1324.00,0.884190,0.115570,0.000240,0.889152,0.112879,0.884624,0.115112,0.884276,0.115493
1326.00,0.858898,0.141058,0.000044,0.866836,0.136858,0.859807,0.140426,0.858888,0.140968
1328.00,0.803499,0.195827,0.000674,0.820612,0.186182,0.806483,0.194729,0.804196,0.195736
1330.00,0.524300,0.466412,0.009287,0.483075,0.382000,0.514603,0.460041,0.523699,0.466342
1332.00,0.907085,0.092970,-0.000056,0.890070,0.098329,0.903521,0.093200,0.906367,0.092919
1334.00,0.869334,0.130403,0.000263,0.861385,0.134082,0.867823,0.130467,0.869314,0.130335
1336.00,0.846000,0.153971,0.000030,0.841005,0.156953,0.844793,0.154030,0.845806,0.153941
1338.00,0.826493,0.173397,0.000110,0.823477,0.175970,0.825706,0.173413,0.826471,0.173321
1340.00,0.809018,0.190870,0.000113,0.807255,0.193299,0.808347,0.190985,0.808948,0.190868
1342.00,0.792513,0.207459,0.000028,0.791794,0.209661,0.791959,0.207564,0.792419,0.207409
1344.00,0.776580,0.223292,0.000127,0.776859,0.225325,0.776240,0.223479,0.776560,0.223284
1346.00,0.761321,0.238615,0.000064,0.762322,0.240391,0.761063,0.238861,0.761233,0.238637
1348.00,0.746433,0.253529,0.000038,0.748090,0.254886,0.746367,0.253754,0.746378,0.253528
1350.00,0.731964,0.267931,0.000105,0.734088,0.268816,0.732118,0.268154,0.731982,0.267965
1352.00,0.718037,0.281890,0.000073,0.720257,0.282194,0.718282,0.282045,0.718046,0.281938
1354.00,0.704544,0.295427,0.000028,0.706553,0.295066,0.704817,0.295421,0.704561,0.295425
1356.00,0.691490,0.308449,0.000062,0.692995,0.307508,0.691717,0.308302,0.691535,0.308415
1358.00,0.678984,0.320925,0.000090,0.679674,0.319628,0.679027,0.320735,0.678998,0.320908
1360.00,0.667056,0.332879,0.000065,0.666779,0.331522,0.666876,0.332751,0.667013,0.332890
1362.00,0.655682,0.344287,0.000030,0.654576,0.343229,0.655430,0.344302,0.655646,0.344310
1364.00,0.644878,0.355093,0.000028,0.643352,0.354680,0.644777,0.355242,0.644897,0.355093
1366.00,0.634702,0.365247,0.000051,0.633318,0.365651,0.634840,0.365391,0.634734,0.365216
1368.00,0.625205,0.374725,0.000071,0.624501,0.375804,0.625426,0.374703,0.625201,0.374710
1370.00,0.616433,0.383495,0.000072,0.616695,0.384781,0.616479,0.383333,0.616431,0.383530
1372.00,0.608430,0.391506,0.000064,0.609507,0.392371,0.608257,0.391431,0.608456,0.391532
1374.00,0.601269,0.398683,0.000048,0.602576,0.398652,0.601139,0.398824,0.601257,0.398670
1376.00,0.595057,0.404906,0.000038,0.595834,0.403981,0.595163,0.405054,0.595019,0.404923
1378.00,0.589975,0.409993,0.000032,0.589736,0.408750,0.590104,0.409899,0.589981,0.410007
1380.00,0.586317,0.413652,0.000031,0.585218,0.412958,0.586200,0.413496,0.586297,0.413623
1382.00,0.584562,0.415399,0.000039,0.583379,0.415810,0.584404,0.415496,0.584531,0.415413
1384.00,0.585288,0.414655,0.000057,0.584924,0.415868,0.585394,0.414778,0.585297,0.414644
1386.00,0.586631,0.413257,0.000112,0.587458,0.414130,0.586728,0.413104,0.586590,0.413246
1388.00,0.564017,0.435763,0.000220,0.565408,0.435442,0.563804,0.435734,0.564017,0.435778
1390.00,0.514123,0.485692,0.000184,0.514366,0.484913,0.514133,0.485816,0.514094,0.485676
1392.00,0.508524,0.491376,0.000100,0.507562,0.490529,0.508661,0.491362,0.508516,0.491399
1394.00,0.512670,0.487252,0.000079,0.511588,0.487252,0.512528,0.487134,0.512665,0.487243
1396.00,0.515886,0.484039,0.000075,0.515831,0.485037,0.515873,0.484187,0.515886,0.484072
1398.00,0.518034,0.481891,0.000074,0.519073,0.482744,0.518190,0.481892,0.518050,0.481886
1400.00,0.519686,0.480252,0.000062,0.520553,0.479870,0.519557,0.480135,0.519700,0.480276
