CQe,Cm,Cp,F,Qxx_im,Qxx_re,Qxy_im,Qxy_re,Qxz_im,Qxz_re,Qyy_im,Qyy_re,Qyz_im,Qyz_re,Qzz_im,Qzz_re,S_Qxz,S_px,Tx_im,Tx_re,beta,it,lr,mx_im,mx_re,my_im,my_re,mz_im,mz_re,px_im,px_re,py_im,py_re,pz_im,pz_re,t
,,,-1.2810290854604436,,,,,,,,,,,,,0.05608561597947586,1.3755005868715018,,,8.912509381337454,38,0.015446390350150272,,,,,,,,,,,,,137.8840413093567
,,,-1.281005646186804,,,,,,,,,,,,,0.05601282278288384,1.377352727991521,,,9.440608762859235,39,0.015224985647159489,,,,,,,,,,,,,141.4537868499756
1.6924303731038414e-14,1.8167308380451678e-14,4.1716577969719313e-13,-1.28100039140587,1.950151030566673e-40,2.9843336286649246e-40,2.6417084121736962e-39,8.100593720969403e-41,2.539423389596929e-37,-2.683658516142853e-37,-1.1453974760717944e-39,-1.3784793794237395e-40,7.755045898867794e-40,-8.067123923649115e-40,9.503825181970248e-40,-1.6058527806431607e-40,0.05594424646891036,1.3790555766299637,3.090880464186072e-40,-5.437971954930036e-38,9.999999999999998,40,0.015,9.68061999989836e-26,1.583634582262206e-25,5.126957658823572e-23,4.745546734500396e-23,2.0043787280608775e-26,-2.24147993406679e-25,1.1166691333628304e-30,4.1867797965985825e-33,-8.144963645655995e-34,-5.438385353534653e-34,-1.3292511027283955e-33,1.2889158961244302e-33,144.93450117111206
,,,-1.2810157282661565,,,,,,,,,,,,,0.05588114496832433,1.3805704709323512,,,10.592537251772884,41,0.014771587602596087,,,,,,,,,,,,,148.34337902069092
,,,-1.2810497836745616,,,,,,,,,,,,,0.05581582567186138,1.3820919653496162,,,11.22018454301963,42,0.014539904997395468,,,,,,,,,,,,,151.84503602981567
,,,-1.281099432984345,,,,,,,,,,,,,0.05576139114604942,1.3833038028876345,,,11.885022274370185,43,0.014305110968082953,,,,,,,,,,,,,155.23291778564453
,,,-1.2811473974731318,,,,,,,,,,,,,0.05571391972191513,1.3843496506824025,,,12.589254117941667,44,0.014067366430758003,,,,,,,,,,,,,158.58144211769104
,,,-1.2812109921777721,,,,,,,,,,,,,0.055664181347449694,1.385410406751834,,,13.335214321633233,45,0.0138268343236509,,,,,,,,,,,,,161.9690752029419
,,,-1.2812702105799307,,,,,,,,,,,,,0.05561411357223468,1.386493430027543,,,14.125375446227544,46,0.013583679495453005,,,,,,,,,,,,,165.30610918998718
,,,-1.281337267292092,,,,,,,,,,,,,0.05557271916495461,1.3873401128794491,,,14.96235656094434,47,0.013338068592337708,,,,,,,,,,,,,168.58225798606873
