P,h,pad,seed,J_hard,J_soft,A_hard_min,A_hard,fill,s_flip,wall_s,tag
1000.0,160.0,0.08,1001,0.30803611365963535,0.308022808722191,0.2860935524074251,"[0.2860935524074251, 0.31363102840314067, 0.33334940323370554]",0.4940843621399177,0.8341571496240724,141.09168791770935,P1000_h160_pad0.080_s1001
1000.0,140.0,0.08,7777,0.2973364514445713,0.29733695981360936,0.2772941660771289,"[0.2772941660771289, 0.28551706100105717, 0.351880311338891]",0.5447530864197531,0.7601997650088735,136.16298651695251,P1000_h140_pad0.080_s7777
1000.0,120.0,0.04,7777,0.2925516333476864,0.2925585940172451,0.25534610852258943,"[0.25534610852258943, 0.32190494411044285, 0.32797329004174663]",0.5416546969261706,0.7547252367420465,140.09526705741882,P1000_h120_pad0.040_s7777
1000.0,160.0,0.12,1001,0.286212352454693,0.28620855781405186,0.2767513858446605,"[0.27681440937493107, 0.2767513858446605, 0.3107365164667267]",0.6420241566014161,0.5010530590847282,146.67461848258972,P1000_h160_pad0.120_s1001
1000.0,120.0,0.08,1001,0.27261608489648476,0.2726104600537235,0.25009528054104235,"[0.25009528054104235, 0.27443791761556185, 0.30482331897682646]",0.6479766803840878,0.5463439067670635,134.24134254455566,P1000_h120_pad0.080_s1001
1000.0,140.0,0.12,1001,0.26828624039946586,0.2682819685659058,0.25816811305257314,"[0.2593820094226923, 0.25816811305257314, 0.29310052438506473]",0.7011661807580175,0.35318568025915875,142.1430561542511,P1000_h140_pad0.120_s1001
775.0,200.0,0.04,1001,0.25907771641821375,0.2590715972212088,0.2043461207321432,"[0.2043461207321432, 0.3079542684324109, 0.3731613441342867]",0.4706262568227521,0.5565804338437598,144.5978183746338,P775_h200_pad0.040_s1001
1000.0,120.0,0.12,1001,0.25200898521949244,0.25201173891946255,0.2319219418865086,"[0.24765802484619037, 0.2319219418865086, 0.2892184284694794]",0.7661391087047064,0.23662940748811448,141.28710746765137,P1000_h120_pad0.120_s1001
775.0,200.0,0.08,7777,0.24955451280741506,0.24955224745468307,0.20233679493635093,"[0.20233679493635093, 0.26592518767008033, 0.38358520998250023]",0.5260631001371742,0.31478143738893094,145.24416208267212,P775_h200_pad0.080_s7777
775.0,200.0,0.12,7777,0.24873001007204423,0.24873202987209647,0.20270404445770074,"[0.20270404445770074, 0.26442619051340355, 0.3682608925289198]",0.6341107871720116,0.2320749553339775,135.7224087715149,P775_h200_pad0.120_s7777
850.0,200.0,0.08,7777,0.24802236278412507,0.24800790175067616,0.20525289337166885,"[0.27931635522668596, 0.20525289337166885, 0.30215161965539483]",0.7170781893004116,0.1816550722654626,141.74933314323425,P850_h200_pad0.080_s7777
925.0,160.0,0.12,7777,0.24383783671195836,0.24383400967955327,0.19744310211114036,"[0.31341083530848163, 0.19744310211114036, 0.2776338695870658]",0.7812369845897543,0.1607990178359677,140.20897912979126,P925_h160_pad0.120_s7777
850.0,200.0,0.12,1001,0.22841580863396854,0.22841686975370545,0.20586260227961806,"[0.25698055061329594, 0.20586260227961806, 0.23265143618044037]",0.674198250728863,0.22847488308514832,123.28682565689087,P850_h200_pad0.120_s1001
775.0,160.0,0.04,1001,0.22653656467497324,0.22653133702642766,0.18236785335607508,"[0.18236785335607508, 0.23704754418680452, 0.3489883654117997]",0.5058172938810687,0.31300098277926636,142.28297972679138,P775_h160_pad0.040_s1001
775.0,160.0,0.08,1001,0.2262437679942832,0.22624281686223138,0.18250111798342483,"[0.18250111798342483, 0.23773994358157413, 0.33803126831304897]",0.6051097393689986,0.2005941867799426,144.2806761264801,P775_h160_pad0.080_s1001
775.0,160.0,0.12,333,0.22525383294048046,0.22525548250057567,0.18259159488860444,"[0.18259159488860444, 0.23855621951406936, 0.3187916446416299]",0.7375052061640983,0.2273170031185946,138.01561880111694,P775_h160_pad0.120_s333
925.0,140.0,0.12,7777,0.22200435625589796,0.22200090311830334,0.18235185323544234,"[0.2722750127676166, 0.18235185323544234, 0.24664369096422312]",0.7713452728029988,0.18148654223054428,144.1287715435028,P925_h140_pad0.120_s7777
850.0,160.0,0.04,7777,0.21434300880441823,0.21433099126424834,0.1923086406830421,"[0.22749591635421584, 0.1923086406830421, 0.23077643548598048]",0.6521832806664751,0.19965833606881112,143.3178732395172,P850_h160_pad0.040_s7777
775.0,140.0,0.04,1001,0.21226828095344344,0.21226909768137697,0.17038351174848676,"[0.17038351174848676, 0.22073892803474626, 0.3181104433536128]",0.5651393277793737,0.23807163617746982,137.27861404418945,P775_h140_pad0.040_s1001
775.0,140.0,0.08,1001,0.21184917194409966,0.21184272749590755,0.17019261350476367,"[0.17019261350476367, 0.22114920337137178, 0.31179627758562234]",0.6776406035665294,0.17569987292007228,137.8840229511261,P775_h140_pad0.080_s1001
1075.0,200.0,0.04,7777,0.21022710102295736,0.21023758793785724,0.16883145571875402,"[0.16883145571875402, 0.3035360175657839, 0.2206279059205356]",0.5794311979316289,0.7722890275617129,147.33536887168884,P1075_h200_pad0.040_s7777
925.0,120.0,0.08,7777,0.2078315326106703,0.20783311470665536,0.17322405127360818,"[0.23790725681078612, 0.17322405127360818, 0.23501206318970957]",0.7715192043895748,0.16125411377671026,139.26465320587158,P925_h120_pad0.080_s7777
