label,port,pol,term,re,im,abs,f_ED,f_MD,f_EQ,f_MQ
mut1_615,r,y,ladder,-0.2490514012008035,-0.5384548848077325,0.5932623900209688,0.4182512133966189,0.47834143693969444,0.06966046898881252,0.033746880674874156
mut1_615,r,y,residual,0.05998774785092709,-0.25731552191528995,0.26421545698683957,0.4182512133966189,0.47834143693969444,0.06966046898881252,0.033746880674874156
mut1_615,r,y,full,-0.1890636533498764,-0.7957704067230225,0.8179215153265788,0.4182512133966189,0.47834143693969444,0.06966046898881252,0.033746880674874156
champ585,t,x,bg,-0.642092227935791,0.7437216639518738,0.9825499186335989,0.16219226949650817,0.21643345649676676,0.5643395330737099,0.05703474093301533
champ585,t,x,ED,0.1910602642749346,-0.14443597778905445,0.23951153680916518,0.16219226949650817,0.21643345649676676,0.5643395330737099,0.05703474093301533
champ585,t,x,MD,0.2406554853497572,0.323388726124295,0.4031070959598968,0.16219226949650817,0.21643345649676676,0.5643395330737099,0.05703474093301533
champ585,t,x,EQ,-0.37063010489554993,-0.7540884453284113,0.8402476170943342,0.16219226949650817,0.21643345649676676,0.5643395330737099,0.05703474093301533
champ585,t,x,ladder,-0.5810065832066491,0.16858596695870298,0.6049709728448678,0.16219226949650817,0.21643345649676676,0.5643395330737099,0.05703474093301533
champ585,t,x,residual,0.49392313175677804,-0.09731798960179228,0.5034191605258564,0.16219226949650817,0.21643345649676676,0.5643395330737099,0.05703474093301533
champ585,t,x,full,-0.08708345144987106,0.0712679773569107,0.11252845023800509,0.16219226949650817,0.21643345649676676,0.5643395330737099,0.05703474093301533
champ585,r,x,bg,0.02713477611541748,0.18400923907756805,0.18599918317223715,0.16219226949650817,0.21643345649676676,0.5643395330737099,0.05703474093301533
champ585,r,x,ED,0.25860901736901776,-0.18722689037562731,0.3192687462691832,0.16219226949650817,0.21643345649676676,0.5643395330737099,0.05703474093301533
champ585,r,x,MD,-0.21401060999478488,-0.3003545680324528,0.3687999562476943,0.16219226949650817,0.21643345649676676,0.5643395330737099,0.05703474093301533
champ585,r,x,EQ,0.3247520578501762,0.6967728938003,0.7687368630505294,0.16219226949650817,0.21643345649676676,0.5643395330737099,0.05703474093301533
champ585,r,x,ladder,0.39648524133982654,0.393200674469788,0.558397096163471,0.16219226949650817,0.21643345649676676,0.5643395330737099,0.05703474093301533
champ585,r,x,residual,0.21620705516514782,-0.06927166264804119,0.22703315605701582,0.16219226949650817,0.21643345649676676,0.5643395330737099,0.05703474093301533
champ585,r,x,full,0.6126922965049744,0.3239290118217468,0.6930525628668815,0.16219226949650817,0.21643345649676676,0.5643395330737099,0.05703474093301533
champ585,t,y,bg,-0.642092227935791,0.7437216639518738,0.9825499186335989,0.29046259178913275,0.682141869763726,0.014925363962429168,0.012470174484712077
champ585,t,y,ED,-0.0381961687190856,-0.3826666554841895,0.38456822089750503,0.29046259178913275,0.682141869763726,0.014925363962429168,0.012470174484712077
champ585,t,y,MD,0.8468534875329868,-0.19933256328898707,0.8699967242088563,0.29046259178913275,0.682141869763726,0.014925363962429168,0.012470174484712077
champ585,t,y,EQ,-0.1649024133246791,-0.005850970790011165,0.16500618103419296,0.29046259178913275,0.682141869763726,0.014925363962429168,0.012470174484712077
champ585,t,y,ladder,0.001662677553431191,0.15587147438868598,0.15588034200870063,0.29046259178913275,0.682141869763726,0.014925363962429168,0.012470174484712077
champ585,t,y,residual,-0.06669090541912714,-0.21308624858006553,0.22327880821866736,0.29046259178913275,0.682141869763726,0.014925363962429168,0.012470174484712077
champ585,t,y,full,-0.06502822786569595,-0.05721477419137955,0.08661524580074473,0.29046259178913275,0.682141869763726,0.014925363962429168,0.012470174484712077
champ585,r,y,bg,0.02713477611541748,0.18400923907756805,0.18599918317223715,0.29046259178913275,0.682141869763726,0.014925363962429168,0.012470174484712077
champ585,r,y,ED,0.0030329232388631735,-0.599437369856596,0.5994450425218031,0.29046259178913275,0.682141869763726,0.014925363962429168,0.012470174484712077
champ585,r,y,MD,-0.923300151472344,0.11754311625107929,0.930752144175273,0.29046259178913275,0.682141869763726,0.014925363962429168,0.012470174484712077
champ585,r,y,EQ,0.1748017685952466,0.02463559941104629,0.1765292357156958,0.29046259178913275,0.682141869763726,0.014925363962429168,0.012470174484712077
champ585,r,y,ladder,-0.7183306835228167,-0.27324941511690237,0.7685468194925318,0.29046259178913275,0.682141869763726,0.014925363962429168,0.012470174484712077
champ585,r,y,residual,0.0024082086616716847,-0.16149685029447458,0.16151480465887355,0.29046259178913275,0.682141869763726,0.014925363962429168,0.012470174484712077
champ585,r,y,full,-0.715922474861145,-0.43474626541137695,0.8375854017952117,0.29046259178913275,0.682141869763726,0.014925363962429168,0.012470174484712077
mut22_651,t,x,bg,-0.642092227935791,0.7437216639518738,0.9825499186335989,0.07945027243918115,0.005066691071022278,0.8504501450625035,0.06503289142729317
mut22_651,t,x,ED,-0.11794150666848256,-0.08426601357994051,0.14495157825938437,0.07945027243918115,0.005066691071022278,0.8504501450625035,0.06503289142729317
mut22_651,t,x,MD,0.04336995541672908,0.03072178226035886,0.053148668262732304,0.07945027243918115,0.005066691071022278,0.8504501450625035,0.06503289142729317
mut22_651,t,x,EQ,0.24401195062431552,-0.8579153500527933,0.8919420272101154,0.07945027243918115,0.005066691071022278,0.8504501450625035,0.06503289142729317
