tag,theta,phi,F,Faf,T,co,Rtot,A,Rcross
A_P271_H200_wideangle,50.0,90.0,0.02028905786573887,0.020289065316319466,0.5065180063247681,0.031210871413350105,0.05149994045495987,0.4419820308685303,0.020289063453674316
B_P271_H215_s11_g96_o9,0.0,0.0,0.5048537850379944,0.5048537850379944,0.056696567684412,0.004551582038402557,0.5094053149223328,0.43389812111854553,0.5048537254333496
B_P271_H215_s11_g96_o9,0.0,45.0,0.5048537850379944,0.5048537850379944,0.056696567684412,0.004551582038402557,0.5094053149223328,0.43389812111854553,0.5048537254333496
B_P271_H215_s11_g96_o9,0.0,90.0,0.5048537850379944,0.5048537850379944,0.056696567684412,0.004551582038402557,0.5094053149223328,0.43389812111854553,0.5048537254333496
B_P271_H215_s11_g96_o9,20.0,0.0,0.13691338896751404,0.13691338896751404,0.202682763338089,0.15317624807357788,0.2900896668434143,0.5072275400161743,0.13691338896751404
B_P271_H215_s11_g96_o9,20.0,45.0,0.2337006777524948,0.23376113176345825,0.1158977672457695,0.10348677635192871,0.3401528000831604,0.5439494252204895,0.2366659939289093
B_P271_H215_s11_g96_o9,20.0,90.0,0.4925941824913025,0.4925941824913025,0.01984739489853382,0.0205371156334877,0.5131312608718872,0.4670213460922241,0.4925941824913025
B_P271_H215_s11_g96_o9,40.0,0.0,0.0933947041630745,0.0933947041630745,0.2586430013179779,0.25547075271606445,0.3488655388355255,0.39249148964881897,0.09339472651481628
B_P271_H215_s11_g96_o9,40.0,45.0,0.09269561618566513,0.11271624267101288,0.20580781996250153,0.2030782252550125,0.3241333067417145,0.4700589179992676,0.12105502188205719
B_P271_H215_s11_g96_o9,40.0,90.0,0.21051257848739624,0.21051254868507385,0.1773214340209961,0.09295952320098877,0.303472101688385,0.5192064642906189,0.21051256358623505
B_P271_H215_s11_g96_o9,50.0,0.0,0.11448998004198074,0.11448999494314194,0.23007619380950928,0.2963092625141144,0.4107992649078369,0.3591245412826538,0.11449000984430313
B_P271_H215_s11_g96_o9,50.0,45.0,0.08349478989839554,0.1366409957408905,0.21907493472099304,0.20036256313323975,0.34035053849220276,0.4405745565891266,0.13998791575431824
B_P271_H215_s11_g96_o9,50.0,90.0,0.04497819393873215,0.04497819393873215,0.386663556098938,0.07921259850263596,0.1241908073425293,0.4891456365585327,0.044978201389312744
A_P271_H215_s11_g96_o9,0.0,0.0,0.4981765151023865,0.4981765151023865,0.09124147891998291,0.016748648136854172,0.5149252414703369,0.3938332796096802,0.4981765151023865
A_P271_H215_s11_g96_o9,0.0,45.0,0.4981765151023865,0.4981765151023865,0.09124147891998291,0.016748648136854172,0.5149252414703369,0.3938332796096802,0.4981765151023865
A_P271_H215_s11_g96_o9,0.0,90.0,0.4981765151023865,0.4981765151023865,0.09124147891998291,0.016748648136854172,0.5149252414703369,0.3938332796096802,0.4981765151023865
A_P271_H215_s11_g96_o9,20.0,0.0,0.10513675957918167,0.10513681173324585,0.2550402879714966,0.16926708817481995,0.2744039297103882,0.47055578231811523,0.10513681173324585
A_P271_H215_s11_g96_o9,20.0,45.0,0.15440692007541656,0.15599915385246277,0.16524161398410797,0.12932553887367249,0.29155462980270386,0.5432037711143494,0.16222909092903137
A_P271_H215_s11_g96_o9,20.0,90.0,0.47071701288223267,0.47071701288223267,0.03976054489612579,0.040230654180049896,0.5109476447105408,0.44929182529449463,0.4707169830799103
A_P271_H215_s11_g96_o9,40.0,0.0,0.08688127249479294,0.08688127249479294,0.31605780124664307,0.23811006546020508,0.3249913156032562,0.3589508533477783,0.08688127249479294
A_P271_H215_s11_g96_o9,40.0,45.0,0.08899213373661041,0.12083844840526581,0.2297457456588745,0.19913819432258606,0.3344780206680298,0.4357762336730957,0.13533976674079895
A_P271_H215_s11_g96_o9,40.0,90.0,0.1873682290315628,0.1873682141304016,0.14997288584709167,0.10398465394973755,0.29135286808013916,0.5586742162704468,0.1873682141304016
A_P271_H215_s11_g96_o9,50.0,0.0,0.10151460021734238,0.10151460021734238,0.297232449054718,0.2699502110481262,0.3714648187160492,0.3313027024269104,0.10151460766792297
A_P271_H215_s11_g96_o9,50.0,45.0,0.07726143300533295,0.15100236237049103,0.23959462344646454,0.19030821323394775,0.3544241189956665,0.40598124265670776,0.16411587595939636
A_P271_H215_s11_g96_o9,50.0,90.0,0.08501484245061874,0.08501484245061874,0.2977908253669739,0.08854517340660095,0.1735600233078003,0.5286491513252258,0.08501483500003815
B_P271_H215_s23_g96_o9,0.0,0.0,0.4953751564025879,0.4953751564025879,0.042973801493644714,0.0263811107724905,0.5217563509941101,0.435269832611084,0.4953751564025879
B_P271_H215_s23_g96_o9,0.0,45.0,0.4953751564025879,0.4953751564025879,0.042973801493644714,0.0263811107724905,0.5217563509941101,0.435269832611084,0.4953751564025879
B_P271_H215_s23_g96_o9,0.0,90.0,0.4953751564025879,0.4953751564025879,0.042973801493644714,0.0263811107724905,0.5217563509941101,0.435269832611084,0.4953751564025879
B_P271_H215_s23_g96_o9,20.0,0.0,0.45662921667099,0.45662921667099,0.007156418636441231,0.0601993128657341,0.5168285965919495,0.47601497173309326,0.45662921667099
B_P271_H215_s23_g96_o9,20.0,45.0,0.17844317853450775,0.17855215072631836,0.10270534455776215,0.1497238576412201,0.333342969417572,0.5639516711235046,0.18361909687519073
B_P271_H215_s23_g96_o9,20.0,90.0,0.11683335155248642,0.11683335155248642,0.19116359949111938,0.18223294615745544,0.2990662753582001,0.5097700953483582,0.11683335900306702
B_P271_H215_s23_g96_o9,40.0,0.0,0.17197945713996887,0.17197942733764648,0.12975195050239563,0.14273452758789062,0.3147140145301819,0.5555340051651001,0.17197942733764648
B_P271_H215_s23_g96_o9,40.0,45.0,0.10203710198402405,0.12816587090492249,0.20930340886116028,0.19372805953025818,0.32648512721061707,0.46421143412590027,0.1327570229768753
B_P271_H215_s23_g96_o9,40.0,90.0,0.11970493942499161,0.1197049543261528,0.2529187500476837,0.24053862690925598,0.360243558883667,0.3868376910686493,0.1197049617767334
B_P271_H215_s23_g96_o9,50.0,0.0,0.04507748410105705,0.04507749155163765,0.295186311006546,0.11260475218296051,0.15768225491046906,0.5471314191818237,0.04507748782634735
