label,lam_nm,F,Faf,T,co,Rtot,A,Rcross
mut22_651,628.0,0.6284040808677673,0.6284040808677673,0.008381095714867115,0.0056333160027861595,0.6340373754501343,0.3575815260410309,0.6284040808677673
mut22_651,629.0,0.6335208415985107,0.6335208415985107,0.008649833500385284,0.006323686800897121,0.639844536781311,0.3515056371688843,0.6335208415985107
mut22_651,630.0,0.6383510231971741,0.6383510231971741,0.009104885160923004,0.007108109537512064,0.6454591751098633,0.3454359471797943,0.6383510231971741
mut22_651,630.5,0.6406313180923462,0.6406313180923462,0.009442494250833988,0.007538273930549622,0.6481695771217346,0.3423879146575928,0.6406313180923462
mut22_651,631.0,0.6428200602531433,0.6428201794624329,0.009799271821975708,0.007890942506492138,0.6507111191749573,0.339489609003067,0.6428201198577881
mut22_651,631.5,0.6450120210647583,0.6450120210647583,0.010170717723667622,0.008323595859110355,0.6533356308937073,0.3364936411380768,0.6450120210647583
mut22_651,632.0,0.6470448970794678,0.6470448970794678,0.010634193196892738,0.008726624771952629,0.6557715535163879,0.33359426259994507,0.6470448970794678
mut22_651,632.5,0.6490991115570068,0.6490989923477173,0.011162002570927143,0.009154759347438812,0.6582537889480591,0.33058419823646545,0.6490990519523621
mut22_651,633.0,0.6511455774307251,0.6511455774307251,0.011642343364655972,0.009564666077494621,0.6607102155685425,0.32764744758605957,0.6511455774307251
mut22_651,633.5,0.6531414985656738,0.6531415581703186,0.012182594276964664,0.009949665516614914,0.663091242313385,0.3247261643409729,0.6531414985656738
mut22_651,634.0,0.6549932956695557,0.6549934148788452,0.012869402766227722,0.010338442400097847,0.6653318405151367,0.32179874181747437,0.6549933552742004
mut22_651,634.5,0.6567464470863342,0.6567464470863342,0.01347229816019535,0.010701050981879234,0.6674475073814392,0.3190802037715912,0.6567464470863342
mut22_651,635.0,0.6585834622383118,0.6585834622383118,0.014215781353414059,0.011056607589125633,0.6696401834487915,0.31614404916763306,0.6585835218429565
mut22_651,635.5,0.6602966785430908,0.6602966785430908,0.014904522337019444,0.01142327580600977,0.671720027923584,0.31337544322013855,0.6602967977523804
mut22_651,636.0,0.6620581746101379,0.6620581746101379,0.015673846006393433,0.01171129196882248,0.6737694144248962,0.3105567395687103,0.6620581150054932
mut22_651,637.0,0.6654893755912781,0.6654893755912781,0.01713942550122738,0.012254218570888042,0.6777436137199402,0.3051169514656067,0.6654894351959229
mut22_651,638.0,0.668770968914032,0.668770968914032,0.018768105655908585,0.012681571766734123,0.6814526319503784,0.2997792661190033,0.6687710285186768
