run,theta,phi,alpha,F,T,co,A
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,20.0,45.0,0.0,0.452714055776596,0.0253878887742757,0.0168991573154926,0.5015655755996704
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,20.0,90.0,0.0,0.485476404428482,0.0191279370337724,0.0098225865513086,0.4855712950229645
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,30.0,0.0,0.0,0.2081671208143234,0.1837509125471115,0.1325378865003585,0.4755347371101379
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,30.0,45.0,0.0,0.3046121299266815,0.1010275334119796,0.0654287338256836,0.5154407620429993
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,30.0,90.0,0.0,0.330180287361145,0.1328287571668625,0.0079848458990454,0.5289961695671082
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,0.0,0.0,30.0,0.4208080470561981,0.0879583582282066,0.0054614311084151,0.4650213420391083
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,0.0,0.0,60.0,0.4212557673454284,0.0899418070912361,0.0054652048274874,0.4657524824142456
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,0.0,0.0,90.0,0.5182433128356934,0.0028306662570685,0.0191236436367034,0.4598021209239959
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,30.0,0.0,30.0,0.2346161454916,0.1582672297954559,0.0405420027673244,0.545939564704895
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,30.0,0.0,60.0,0.1058943271636962,0.1220927089452743,0.0024859425611793,0.5996836423873901
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,30.0,0.0,90.0,0.3298937976360321,0.1328911781311035,0.0080039883032441,0.5292011499404907
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,45.0,0.0,30.0,0.0801279470324516,0.2581465244293213,0.0698078572750091,0.5104691982269287
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,45.0,0.0,60.0,0.0200722645968198,0.2235719561576843,0.0040855556726455,0.4969463944435119
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,45.0,0.0,90.0,0.0162757206708192,0.3252822458744049,0.0717133283615112,0.5866552591323853
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,50.0,0.0,30.0,0.0618862025439739,0.2788974046707153,0.1067736446857452,0.458856463432312
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,50.0,0.0,60.0,0.0171647351235151,0.2435271441936493,0.0096438582986593,0.4564383327960968
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,50.0,0.0,90.0,0.0056219566613435,0.3212063014507293,0.1037615686655044,0.5693212747573853
