tag,campaign,stage,source,P,H,F,T,co,Rtot,A,Rcross,abs_rx,abs_ry,dphi_deg,phase_err_deg,offdiag,n_islands,fill
A_P262_H140_s11_g80_o7,rtfree,coarse,final,262.0,140.0,0.2884657382965088,0.44255566596984863,0.13962090015411377,0.42808666825294495,0.1293576955795288,0.288465678691864,0.2300521284341812,0.8962417840957642,223.78770446777344,43.78770446777344,5.43357091373764e-05,1,0.22625
A_P262_H170_s11_g80_o7,rtfree,coarse,final,262.0,170.0,0.2606525719165802,0.46380099654197693,0.15074613690376282,0.4113987386226654,0.12480023503303528,0.2606525421142578,0.19808433949947357,0.8851892948150635,231.18475341796875,51.18475341796875,4.696904943557456e-05,1,0.19875
A_P262_H200_s11_g80_o7,rtfree,coarse,final,262.0,200.0,0.486333966255188,0.06966841965913773,0.09735194593667984,0.5836858749389648,0.346645712852478,0.486333966255188,0.7615230679512024,0.7664557695388794,-228.20730590820312,48.207305908203125,8.025216811802238e-05,1,0.26875
A_P262_H230_s11_g80_o7,rtfree,coarse,final,262.0,230.0,0.1557920277118683,0.38478487730026245,0.0483848936855793,0.20417694747447968,0.4110381603240967,0.15579204261302948,0.6091409921646118,0.19313505291938782,204.0815887451172,24.081588745117188,8.756275201449171e-05,1,0.3225
A_P262_H260_s11_g80_o7,rtfree,coarse,final,262.0,260.0,0.0011781143257394433,0.5834737420082092,0.08285246789455414,0.08403058350086212,0.33249568939208984,0.0011781197972595692,0.2959451377391815,0.2836858034133911,-13.386665344238281,166.61333465576172,0.00015337155491579324,1,0.465625
B_P190_H110_s11_g80_o7,rtfree,coarse,final,190.0,110.0,0.017347507178783417,0.9553459882736206,0.008991015143692493,0.026338519528508186,0.018315494060516357,0.01734750345349312,0.2080591320991516,0.09689391404390335,-114.48880767822266,65.51119232177734,9.812958160182461e-05,1,0.1325
B_P190_H140_s11_g80_o7,rtfree,coarse,final,190.0,140.0,0.10365820676088333,0.541711688041687,0.20498664677143097,0.3086448907852173,0.1496434211730957,0.10365822911262512,0.3163197636604309,0.7191880941390991,-63.55026626586914,116.44973373413086,0.0003007817140314728,1,0.3325
B_P190_H170_s11_g80_o7,rtfree,coarse,final,190.0,170.0,0.14387010037899017,0.47084400057792664,0.24019859731197357,0.38406872749328613,0.14508727192878723,0.14387011528015137,0.3708416521549225,0.794111967086792,-70.90696716308594,109.09303283691406,0.00041271603549830616,1,0.315625
B_P190_H200_s11_g80_o7,rtfree,coarse,final,190.0,200.0,0.11523720622062683,0.5572866797447205,0.17292746901512146,0.2881651222705841,0.15454822778701782,0.11523763835430145,0.3058079779148102,0.6948453187942505,285.7532653808594,105.75326538085938,0.0013591483002528548,1,0.290625
B_P190_H230_s11_g80_o7,rtfree,coarse,final,190.0,230.0,0.05177236348390579,0.7016380429267883,0.11918102204799652,0.1709533929824829,0.12740856409072876,0.051772382110357285,0.5458293557167053,0.2097070962190628,-306.0793762207031,126.07937622070312,0.00027356899227015674,1,0.22875
B_P190_H260_s11_g80_o7,rtfree,coarse,final,190.0,260.0,0.017545804381370544,0.6051996946334839,0.09419533610343933,0.11174115538597107,0.28305912017822266,0.01754581369459629,0.43930530548095703,0.1746227741241455,-2.325693130493164,177.67430686950684,0.00021174931316636503,1,0.326875
B_P208_H110_s11_g80_o7,rtfree,coarse,final,208.0,110.0,0.03978028520941734,0.7115931510925293,0.08697046339511871,0.12675075232982635,0.16165608167648315,0.03978029638528824,0.4526505172252655,0.2204744517803192,61.78007125854492,118.21992874145508,0.00019928945403080434,1,0.345625
B_P208_H140_s11_g80_o7,rtfree,coarse,final,208.0,140.0,0.18247123062610626,0.4041351079940796,0.24740760028362274,0.4298790693283081,0.1659858226776123,0.1824713945388794,0.8354199528694153,0.40228256583213806,78.8592529296875,101.1407470703125,0.0007135820924304426,1,0.32125
B_P208_H170_s11_g80_o7,rtfree,coarse,final,208.0,170.0,0.22801725566387177,0.3664056956768036,0.2428196370601654,0.47083693742752075,0.16275736689567566,0.22801727056503296,0.8611375689506531,0.44734323024749756,-272.2021789550781,92.20217895507812,0.00015470021753571928,1,0.305
B_P208_H200_s11_g80_o7,rtfree,coarse,final,208.0,200.0,0.18748784065246582,0.45258328318595886,0.16483965516090393,0.35232752561569214,0.195089191198349,0.18748784065246582,0.39068037271499634,0.7429831027984619,265.52496337890625,85.52496337890625,3.829998604487628e-05,1,0.289375
B_P208_H230_s11_g80_o7,rtfree,coarse,final,208.0,230.0,0.09439576417207718,0.6149253845214844,0.13008873164653778,0.2244846224784851,0.16058999300003052,0.09439586848020554,0.22810238599777222,0.6300302743911743,284.3807678222656,104.38076782226562,0.0006536522414535284,1,0.22875
B_P208_H260_s11_g80_o7,rtfree,coarse,final,208.0,260.0,0.02888389676809311,0.5686496496200562,0.09310890734195709,0.12199283391237259,0.30935752391815186,0.028883900493383408,0.13566534221172333,0.47495323419570923,4.623368740081787,175.3766312599182,9.339021926280111e-05,1,0.42125
B_P226_H110_s11_g80_o7,rtfree,coarse,final,226.0,110.0,0.0808950811624527,0.5397292971611023,0.17236924171447754,0.2532643675804138,0.2070063352584839,0.08089509606361389,0.3456417918205261,0.6221418380737305,-64.82494354248047,115.17505645751953,0.00011350912973284721,1,0.33875
B_P226_H140_s11_g80_o7,rtfree,coarse,final,226.0,140.0,0.25385957956314087,0.32287463545799255,0.24777930974960327,0.5016388893127441,0.1754864752292633,0.25385957956314087,0.46029892563819885,0.8896080255508423,-90.8508071899414,89.1491928100586,0.0005630581290461123,1,0.300625
B_P226_H170_s11_g80_o7,rtfree,coarse,final,226.0,170.0,0.3090989291667938,0.26955631375312805,0.23440563678741455,0.5435045957565308,0.1869390904903412,0.30909889936447144,0.888973593711853,0.544734001159668,-261.1270446777344,81.12704467773438,7.095620094332844e-05,1,0.29125
B_P226_H200_s11_g80_o7,rtfree,coarse,final,226.0,200.0,0.2800213098526001,0.3154349625110626,0.1476050615310669,0.427626371383667,0.2569386661052704,0.2800213098526001,0.754134476184845,0.5352886319160461,-250.85116577148438,70.85116577148438,0.00012839227565564215,1,0.285625
B_P226_H230_s11_g80_o7,rtfree,coarse,final,226.0,230.0,0.0009444227325730026,0.7434840202331543,0.033775925636291504,0.034720346331596375,0.22179561853408813,0.0009444234892725945,0.15972547233104706,0.20959118008613586,-11.270153999328613,168.7298460006714,0.00011808865383500233,1,0.46875
B_P226_H260_s11_g80_o7,rtfree,coarse,final,226.0,260.0,0.24968065321445465,0.2960110902786255,0.028940021991729736,0.27862080931663513,0.425368070602417,0.249680757522583,0.37632420659065247,0.6446871161460876,-155.48507690429688,24.514923095703125,0.0005383132374845445,1,0.381875
B_P244_H110_s11_g80_o7,rtfree,coarse,final,244.0,110.0,0.13479042053222656,0.4096129536628723,0.22254574298858643,0.357336163520813,0.2330508828163147,0.13479042053222656,0.7337639331817627,0.4198366403579712,73.4493179321289,106.5506820678711,0.00016403576591983438,1,0.320625
B_P244_H140_s11_g80_o7,rtfree,coarse,final,244.0,140.0,0.3198283016681671,0.27074816823005676,0.22591398656368256,0.545742392539978,0.1835094392299652,0.3198283314704895,0.5161889791488647,0.9083136320114136,258.4453125,78.4453125,0.0002319096529390663,1,0.283125
B_P244_H170_s11_g80_o7,rtfree,coarse,final,244.0,170.0,0.3872548043727875,0.19551432132720947,0.20408445596694946,0.5913393497467041,0.21314632892608643,0.3872548043727875,0.8882420659065247,0.6274588704109192,-250.8129119873047,70.81291198730469,0.00033028569305315614,1,0.276875
