lam_nm,txx_re,txx_im,rxx_re,rxx_im,tyx_re,tyx_im,ryx_re,ryx_im,T,R,px_re,px_im,py_re,py_im,pz_re,pz_im,mx_re,mx_im,my_re,my_im,mz_re,mz_im,Qxx_re,Qxx_im,Qyy_re,Qyy_im,Qzz_re,Qzz_im,Qxy_re,Qxy_im,Qxz_re,Qxz_im,Qyz_re,Qyz_im,Tx_re,Tx_im,Ty_re,Ty_im,Tz_re,Tz_im,C_px,C_Qxz,E_up_re,E_up_im,E_dn_re,E_dn_im
1325.5,-0.25624245405197144,-0.3887583017349243,-0.33883973956108093,0.6508799195289612,-0.13182131946086884,0.1951325684785843,-0.28490564227104187,0.32816943526268005,0.272246791971853,0.7273234419903495,-5.689299847048858e-32,1.3363302725094438e-30,4.332129671310523e-31,6.6150187639938865e-31,1.6070860126448372e-30,1.933438845881308e-30,9.08882876218417e-23,-7.867865220899846e-23,-1.0424003796105471e-21,8.76934960881077e-22,1.4785850599496664e-22,-2.604285790042118e-22,6.823758475749012e-37,9.621568414205753e-37,-1.556558109771736e-37,-4.3798055914175884e-37,-5.267199617056991e-37,-5.241765098989765e-37,4.1128832187150145e-38,5.072816986809262e-37,1.2999506036620222e-36,1.6038413420084914e-36,2.381379966057946e-37,8.535985436636949e-38,-1.3543018732520775e-37,5.129292318958637e-38,9.982293490597513e-38,1.1339003847985665e-37,7.176382602735177e-37,-5.982853083169865e-37,6.112460188014587e-13,5.453591832294665e-13,-1.7096517850954773,-0.9015962698150227,-0.03807675379605895,1.032794379777674
1326.5,-0.3443475365638733,-0.4049380421638489,-0.19088348746299744,0.657383382320404,-0.1184721440076828,0.20422884821891785,-0.25252705812454224,0.3581981360912323,0.338295115279702,0.6606652369213197,-1.6998184425902242e-31,1.2279894764287933e-30,4.886811240853363e-31,6.24366154488154e-31,2.0626659869410033e-30,1.990670355639669e-30,5.345120631227686e-23,-6.469713352241886e-23,-1.225612880809724e-21,1.2753708518414613e-21,1.5538570939516092e-22,-3.202402450160856e-22,9.19463432774717e-37,1.005366706102917e-36,-2.1613402441630024e-37,-4.375132271056692e-37,-7.0332940097599394e-37,-5.678533287606715e-37,4.782746308809986e-38,4.801923090865517e-37,2.4826437028146157e-36,2.4609744822528146e-36,1.5674016687495097e-37,-4.397866477576582e-38,-1.382637648611061e-37,6.461569041121368e-38,1.1056372336471333e-37,1.0626349638935912e-37,7.557456285209854e-37,-7.846399146004403e-37,5.235087131036722e-13,1.5565176196180515e-12,-1.7894243046348821,-0.8520815775268864,0.13222796172303636,0.9288590046297815
1327.5,-0.46865716576576233,-0.39481407403945923,0.015531331300735474,0.6123391389846802,-0.09972630441188812,0.21546509861946106,-0.19890454411506653,0.3914691209793091,0.4318882365979795,0.568011533734408,-3.746462613078166e-31,1.1108316862292345e-30,5.5763822175584715e-31,5.59790478575959e-31,2.7478292448006413e-30,1.9370480151815143e-30,4.184392947713292e-24,-2.783659368406034e-23,-1.3610281278561541e-21,1.9233997369404193e-21,1.49247418817244e-22,-4.108386448439899e-22,1.2782004377863197e-36,9.964988164024609e-37,-3.0136083619554587e-37,-4.193465230031536e-37,-9.768400714324379e-37,-5.771522150923632e-37,4.1573198759311854e-38,4.4188460092143225e-37,4.547000889643828e-36,3.3125452792239004e-36,-1.8693399316945853e-38,-2.017746156604247e-37,-1.3787477810992846e-37,8.5029245493626e-38,1.2394535078786448e-37,9.385108097157101e-38,7.541085314189647e-37,-1.0705075876171935e-36,4.667308246863437e-13,4.013015584058064e-12,-1.877973911820091,-0.7583792952351394,0.33108393725570623,0.723075530949364
1328.5,-0.6332576870918274,-0.3097977638244629,0.2797504961490631,0.4299038350582123,-0.06965917348861694,0.22629158198833466,-0.10534956306219101,0.41269442439079285,0.5530502332614288,0.444492865854048,-7.4553534344519925e-31,1.0552902833301435e-30,6.276290697992314e-31,4.3531019102526185e-31,3.7378737670128396e-30,1.4988736772302313e-30,-4.686344284166032e-23,5.918768237483027e-23,-1.204247871331321e-21,2.963090304731972e-21,9.239994763659474e-23,-5.437666044793696e-22,1.8042702162293783e-36,7.954253568385945e-37,-4.1480379390527145e-37,-3.4997011421972765e-37,-1.3894661081514515e-36,-4.454553152203936e-37,5.87027626642023e-39,3.928860563218657e-37,8.130901994911199e-36,3.412147573478936e-36,-3.835434072640038e-37,-3.3136850768765293e-37,-1.2595816831515159e-37,1.1491858573683714e-37,1.3762967102587743e-37,6.992921306939063e-38,6.002405583678827e-37,-1.4954056260964779e-36,5.652633279390658e-13,9.81486978664276e-12,-1.9449295327261826,-0.5821503060568508,0.49419300084266304,0.31775615666326806
1329.5,-0.7691938877105713,-0.05496649071574211,0.46558141708374023,-0.04592009633779526,-0.02065478265285492,0.22210387885570526,0.037582818418741226,0.3647684156894684,0.6444373050420932,0.353343176506277,-1.309558625786925e-30,1.3094553235432941e-30,6.250943171852655e-31,2.1196025061261393e-31,4.746422737212341e-30,4.8359505838403613e-32,-3.606477622208254e-23,2.289770609924863e-22,-7.719965451033194e-23,4.275118822627432e-21,-9.909238671485566e-23,-6.8272204008990375e-22,2.3642103298211823e-36,6.983550404579186e-38,-5.1115162223896865e-37,-1.6152252428461883e-37,-1.8530589722298156e-36,9.168703138996761e-38,-9.22672450779755e-38,3.669269801230876e-37,1.3245800532578318e-35,3.6316054374831533e-37,-1.0158649202544836e-36,-1.7240328552680033e-37,-8.326546329677515e-38,1.4595260327193875e-37,1.37476281300559e-37,2.6831895450957343e-38,2.2367836699263148e-38,-1.9572941477788626e-36,1.1577456333122932e-12,2.2063889905181943e-11,-1.8752380180259571,-0.30080385134668214,0.35049923216689893,-0.3646034260996706
1330.5,-0.6193303465843201,0.3023105263710022,0.13125206530094147,-0.6531268358230591,0.02171402797102928,0.1754101812839508,0.1163381040096283,0.18038102984428406,0.5062019632637615,0.4898736386902433,-1.5590452929274655e-30,2.127125637367458e-30,4.060590109934722e-31,1.4902009123682175e-32,4.201144968213653e-30,-2.296461198202744e-30,1.5521414594654383e-22,3.746707614887805e-22,2.3005087074787356e-21,4.318082345995612e-21,-4.1594950322761245e-22,-6.173423014435228e-22,2.1397964328198997e-36,-1.1570588548834427e-36,-4.079593316443755e-37,1.025332322743074e-37,-1.731836093378706e-36,1.0545256106541403e-36,-2.0909694351745476e-37,4.540315988455716e-37,1.47963696732675e-35,-7.740509551803663e-36,-1.4329659430549708e-36,6.462391775449859e-37,-1.2629545714440725e-38,1.3021040499986676e-37,9.565543836056112e-38,-1.1502837814786072e-38,-9.752007368513221e-37,-1.7936394425191408e-36,2.340864895548496e-12,3.4882508204462006e-11,-1.5261700969070273,-0.1385385527633927,-0.48442777787670804,-0.8116239174827671
1331.5,-0.25883764028549194,0.3659980893135071,-0.5243805646896362,-0.7102192640304565,0.014101972803473473,0.12216950207948685,0.018873417750000954,0.02358584851026535,0.21607577828499927,0.7802988777717004,-1.062426432569191e-30,2.7755984190371585e-30,1.4522193820386794e-31,7.195890171582691e-32,2.120327052162639e-30,-3.177745185183638e-30,3.80199632343074e-22,3.0619120945343356e-22,3.6546324949269624e-21,2.5130867970985194e-21,-5.426147307944847e-22,-3.4221630748643665e-22,1.0838371876434939e-36,-1.6617125362202947e-36,-1.5286566305379757e-37,1.6565055232345837e-37,-9.30971407955458e-37,1.49606175062836e-36,-2.0009652436894655e-37,6.01225937415622e-37,9.393429226962458e-36,-1.3488646395274774e-35,-1.0250908043790352e-36,1.4436971384349056e-36,1.4244430496540902e-38,6.701220944942979e-38,4.5373494813428505e-38,-1.0362504199647077e-39,-1.4033829485938814e-36,-9.437481532101716e-37,2.9638042427385203e-12,3.364617509360791e-11,-1.2224241812271468,-0.33511732575759107,-1.279267193625375,-0.39265317935059024
1332.5,-0.054369017481803894,0.21423450112342834,-0.870652437210083,-0.4138839542865753,-0.01007449347525835,0.10169828683137894,-0.1010659784078598,-0.003719511441886425,0.05929644849676136,0.9395637607926537,-5.076911148624933e-31,2.8616482414213486e-30,5.163021904755192e-32,2.180560517463361e-31,6.986046691367106e-31,-2.638792859832582e-30,4.627277958170403e-22,1.6329870627949264e-22,3.473518854272517e-21,9.869562345567557e-22,-4.771974587849493e-22,-1.4970083262263884e-22,3.360304280566405e-37,-1.4137296919153197e-36,-2.335311057756228e-39,7.478949674876707e-38,-3.336952135467864e-37,1.3389398082232538e-36,-1.2125771949858118e-37,6.7454356369846345e-37,3.994466035475346e-36,-1.3810267465248808e-35,-4.363330103718887e-37,1.656488705062178e-36,-2.442549415091265e-39,2.3180063218335966e-38,2.7055380389522543e-38,2.6905195680843314e-38,-1.2167126336541459e-36,-3.2929726760271708e-37,2.8258119014974715e-12,2.5622584826591075e-11,-1.1796266904088122,-0.5831767335688919,-1.4592140455174507,0.20132997080189488
1333.5,0.007634032052010298,0.06167397275567055,-0.9671311378479004,-0.1398683488368988,-0.02490372583270073,0.09838628023862839,-0.17212620377540588,0.019012736156582832,0.01416201306038256,0.9848947069636274,-1.771244521936368e-31,2.747186852625354e-30,4.822694005105669e-32,3.1957809845223566e-31,9.476584618943709e-32,-1.942923928998388e-30,4.695221675280184e-22,5.824757927775665e-23,2.9345444861573397e-21,2.0868585281255888e-22,-3.878543884980686e-22,-6.599327455020849e-23,8.045683991637527e-39,-1.0651853131622128e-36,4.947071480953445e-38,-1.8272326640237455e-38,-5.751637830263775e-38,1.0834577556311398e-36,-5.120715363132576e-38,6.939671342653003e-37,9.290562880851609e-37,-1.244420578758899e-35,-4.1651347841281967e-38,1.6112984353671896e-36,-2.431553738955044e-38,4.1431027404006425e-39,2.6190202200790146e-38,4.6395654275491083e-38,-9.405667596554922e-37,-5.321909308854936e-38,2.527707584077984e-12,1.9218503405690455e-11,-1.2417752907604256,-0.73492083697317,-1.3703638820176602,0.5849886418326934
1334.5,0.011117706075310707,-0.05016019195318222,-0.9680594205856323,0.05382924526929855,-0.03139238432049751,0.09899204969406128,-0.2093472182750702,0.04810955002903938,0.013424555941114403,0.986177416034359,6.185022708879292e-33,2.613977736803921e-30,6.827221632098406e-32,3.7765964360732804e-31,-1.3502589798088992e-31,-1.4119635495494491e-30,4.556653939684118e-22,-1.0309792725219651e-23,2.4592950839680357e-21,-1.6589444952864564e-22,-3.1910266008925904e-22,-3.282447911682381e-23,-1.2155608623248375e-37,-7.93043635512912e-37,6.041197900483705e-38,-8.471706007597145e-38,6.114411250945949e-38,8.777604575642385e-37,-6.22216355701983e-40,6.9403946583387e-37,-7.157265083869649e-37,-1.104159570809493e-35,2.0205799009992644e-37,1.513991562613854e-36,-4.139161917968735e-38,-3.384271781107323e-39,2.990437884144044e-38,5.76187069463118e-38,-7.226511199696959e-37,6.105821752689426e-38,2.272232555258586e-12,1.5041895439593374e-11,-1.319030845325897,-0.8167691131546824,-1.2318316368744364,0.8064474169722985
1335.5,-0.0067602647468447685,-0.1301719844341278,-0.9370729923248291,0.18911953270435333,-0.0331512875854969,0.09992118179798126,-0.22859859466552734,0.07379287481307983,0.028073697151447786,0.9715746964511551,1.133141917933318e-31,2.5002052673976837e-30,9.136575705894626e-32,4.100672891521033e-31,-2.1322507075684907e-31,-1.035766408635453e-30,4.382661919364116e-22,-5.698760853945119e-23,2.0936274591822647e-21,-3.5407635544090837e-22,-2.702715041700973e-22,-2.0738122011281145e-23,-1.6894658154071865e-37,-5.974595890703343e-37,5.681155314089083e-38,-1.3001232295720167e-37,1.1213500872614375e-37,7.274720667623203e-37,3.716188201424336e-38,6.8853920536494395e-37,-1.654309187684222e-36,-9.894522146658557e-36,3.6146245331639278e-37,1.4189350743126575e-36,-5.389074626279759e-38,-6.160251260514378e-39,3.427641431391178e-38,6.385207463217983e-38,-5.6500297713410554e-37,1.0715010822823738e-37,2.0767671849128798e-12,1.2309186341781618e-11,-1.3903685364775664,-0.860590769350993,-1.1002539211793683,0.9377271526432058
1336.5,-0.03272298723459244,-0.19042205810546875,-0.8955625295639038,0.2887810170650482,-0.031975749880075455,0.10029833018779755,-0.23838739097118378,0.09535878151655197,0.04841355772553142,0.9513485655623912,1.8127758260124214e-31,2.4060723290939264e-30,1.129290610619681e-31,4.275521468251777e-31,-2.2734494199141624e-31,-7.62771197087994e-31,4.22138419397708e-22,-9.152791076077154e-23,1.810789527818658e-21,-4.541644711340142e-22,-2.355227679455205e-22,-1.7974620076921062e-23,-1.8073913993954948e-37,-4.536912988926363e-37,4.775290564299825e-38,-1.6196751408643029e-37,1.3298624492364568e-37,6.156587143156888e-37,6.809232278846827e-38,6.8089210236824334e-37,-2.2407675690335164e-36,-8.974058312257353e-36,4.762124647012034e-37,1.3368692454377749e-36,-6.326853544611797e-38,-6.90025625269485e-39,3.834805401996211e-38,6.722718521671857e-38,-4.487670401624997e-37,1.2336288065063486e-37,1.924512080333815e-12,1.0417410666230357e-11,-1.4540535148762812,-0.8843566968100641,-0.9828815293527642,1.0206513274951687
1337.5,-0.061586711555719376,-0.23629888892173767,-0.8517283201217651,0.36347833275794983,-0.0294807069003582,0.0996694415807724,-0.24283136427402496,0.11296071112155914,0.07043319761026293,0.9292848234142155,2.268951271050732e-31,2.3295531030709854e-30,1.3097239656045422e-31,4.362413846834912e-31,-2.1620421338355893e-31,-5.633299730589671e-31,4.078796408672136e-22,-1.1859492748622123e-22,1.5916545011825783e-21,-5.098017897800044e-22,-2.10382746480037e-22,-1.8840501729531366e-23,-1.7770663904030097e-37,-3.4774682321083048e-37,3.736487751911834e-38,-1.8438522019111545e-37,1.4034179044584605e-37,5.321320509851686e-37,9.328711840845665e-38,6.7305380347107205e-37,-2.6347356528215794e-36,-8.239577117424196e-36,5.6418886189153164e-37,1.2672271198628251e-36,-7.044539331353826e-38,-6.807755181939518e-39,4.178165577269774e-38,6.891438173261287e-38,-3.6253249295845163e-37,1.2673063628336994e-37,1.8054749365739564e-12,9.071031439193543e-12,-1.5099531569592355,-0.8954638822296849,-0.8813294869135658,1.0735624145627525
1338.5,-0.09139089286327362,-0.2725695073604584,-0.8081575632095337,0.42171433568000793,-0.026072382926940918,0.09819565713405609,-0.24415943026542664,0.12747648358345032,0.09296858787254748,0.9068257091451414,2.593405020267616e-31,2.2662323428877175e-30,1.459785097464822e-31,4.391863687175355e-31,-1.948247050356082e-31,-4.138749984943757e-31,3.9548867075094135e-22,-1.410499561372434e-22,1.417095806048638e-21,-5.416808113774741e-22,-1.9177264418333004e-22,-2.1431282593678767e-23,-1.6794401458898e-37,-2.6743410800859602e-37,2.670641049691241e-38,-2.0073347536361178e-37,1.4123761135079356e-37,4.681676223090002e-37,1.1510955243730138e-37,6.647579850956636e-37,-2.9191513516994913e-36,-7.639481249161716e-36,6.3628229902166485e-37,1.2078448965655886e-36,-7.613064684274218e-38,-6.333797478177043e-39,4.4618571265624254e-38,6.955112299459379e-38,-2.9683136820548844e-37,1.2422772447655976e-37,1.7096482537891856e-12,8.071154056454655e-12,-1.5599631616066794,-0.8987735808923942,-0.7922735885242125,1.1080406288145923
1339.5,-0.12120859324932098,-0.3017328679561615,-0.7657281160354614,0.46816617250442505,-0.022231467068195343,0.09611613303422928,-0.24351473152637482,0.13971000909805298,0.11546679583998766,0.8843374238772005,2.8307831788264463e-31,2.2127510874258142e-30,1.5851200658441394e-31,4.386430542889081e-31,-1.6889756659173457e-31,-2.995137698804723e-31,3.845956041500401e-22,-1.6033655582505038e-22,1.2749121502613951e-21,-5.59092632497368e-22,-1.7808959166135775e-22,-2.4871150924312515e-23,-1.550983002083812e-37,-2.0522215199877882e-37,1.6302073954046164e-38,-2.1259266312507228e-37,1.3879620202904474e-37,4.1781487792563106e-37,1.3456447298204526e-37,6.567601305674201e-37,-3.1325222625317414e-36,-7.138589075489464e-36,6.975376685340337e-37,1.156265440668373e-36,-8.076391988076242e-38,-5.664253262660822e-39,4.7005383602285017e-38,6.951442299200559e-38,-2.4565474204280504e-37,1.1867584350793102e-37,1.6302918657924135e-12,7.300921315112713e-12,-1.6050697828505218,-0.8968361955603846,-0.7132633879886231,1.1300332677728455
