Te_K,lambda_nm,eps_re,eps_im,T,R,A,Fx,Fy,Fz,Ftot,mean_Ez2_over_Einc2,within_trusted_Te(<=6000K)
800,1328.0,-0.110733,0.462852,0.905393,0.042630,0.051977,0.032603,0.000440,0.018916,0.051959,0.375551,1
800,1330.0,-0.121152,0.465514,0.906512,0.041860,0.051628,0.032734,0.000451,0.018424,0.051609,0.364242,1
800,1332.0,-0.131584,0.468181,0.906720,0.041623,0.051657,0.032850,0.000464,0.018323,0.051638,0.360724,1
800,1334.0,-0.142030,0.470856,0.906206,0.041817,0.051977,0.032955,0.000478,0.018523,0.051956,0.363135,1
800,1336.0,-0.152489,0.473534,0.905115,0.042365,0.052521,0.033050,0.000493,0.018956,0.052499,0.370086,1
800,1338.0,-0.162960,0.476219,0.903562,0.043199,0.053239,0.033137,0.000509,0.019571,0.053217,0.380503,1
800,1340.0,-0.173444,0.478910,0.901639,0.044269,0.054092,0.033217,0.000525,0.020327,0.054068,0.393559,1
800,1342.0,-0.183942,0.481607,0.899420,0.045532,0.055049,0.033292,0.000541,0.021191,0.055024,0.408611,1
800,1344.0,-0.194451,0.484309,0.896967,0.046949,0.056084,0.033362,0.000558,0.022139,0.056059,0.425130,1
800,1346.0,-0.204974,0.487019,0.894323,0.048496,0.057181,0.033428,0.000575,0.023151,0.057154,0.442754,1
800,1348.0,-0.215512,0.489734,0.891537,0.050141,0.058322,0.033492,0.000592,0.024210,0.058294,0.461123,1
800,1350.0,-0.226061,0.492455,0.888632,0.051871,0.059497,0.033553,0.000610,0.025305,0.059468,0.480027,1
800,1352.0,-0.236623,0.495180,0.885645,0.053661,0.060694,0.033613,0.000628,0.026423,0.060664,0.499217,1
800,1354.0,-0.247198,0.497913,0.882593,0.055501,0.061906,0.033672,0.000645,0.027557,0.061874,0.518550,1
800,1356.0,-0.257787,0.500652,0.879491,0.057383,0.063127,0.033730,0.000663,0.028701,0.063094,0.537917,1
800,1358.0,-0.268388,0.503396,0.876365,0.059287,0.064349,0.033787,0.000682,0.029847,0.064315,0.557156,1
800,1360.0,-0.279002,0.506147,0.873223,0.061209,0.065569,0.033845,0.000700,0.030990,0.065534,0.576197,1
1000,1240.0,0.347801,0.349647,0.875521,0.017333,0.107146,0.029165,0.001250,0.076697,0.107112,1.882194,1
1000,1242.0,0.337988,0.352064,0.872530,0.017027,0.110443,0.029331,0.001271,0.079807,0.110408,1.948198,1
1000,1244.0,0.328164,0.354486,0.869096,0.016925,0.113979,0.029493,0.001294,0.083156,0.113943,2.019341,1
1000,1246.0,0.318326,0.356912,0.865164,0.017057,0.117779,0.029651,0.001318,0.086773,0.117741,2.096195,1
1000,1248.0,0.308476,0.359343,0.860664,0.017454,0.121881,0.029804,0.001345,0.090694,0.121843,2.179600,1
1000,1250.0,0.298613,0.361779,0.855527,0.018152,0.126321,0.029951,0.001373,0.094956,0.126281,2.270292,1
1000,1252.0,0.288738,0.364221,0.849659,0.019194,0.131147,0.030092,0.001404,0.099608,0.131105,2.369332,1
1000,1254.0,0.278849,0.366668,0.842959,0.020628,0.136413,0.030226,0.001439,0.104705,0.136369,2.477902,1
1000,1256.0,0.268949,0.369120,0.835304,0.022511,0.142185,0.030351,0.001476,0.110312,0.142139,2.597396,1
1000,1258.0,0.259034,0.371576,0.826547,0.024913,0.148540,0.030466,0.001517,0.116509,0.148493,2.729511,1
1000,1260.0,0.249108,0.374038,0.816514,0.027913,0.155572,0.030570,0.001563,0.123389,0.155522,2.876244,1
1000,1262.0,0.239169,0.376505,0.804993,0.031613,0.163393,0.030660,0.001614,0.131067,0.163341,3.040003,1
1000,1264.0,0.229217,0.378978,0.791745,0.036127,0.172129,0.030735,0.001670,0.139668,0.172073,3.223467,1
1000,1266.0,0.219252,0.381454,0.776427,0.041615,0.181958,0.030790,0.001733,0.149376,0.181900,3.430559,1
1000,1268.0,0.209276,0.383938,0.758695,0.048247,0.193058,0.030823,0.001804,0.160368,0.192996,3.664947,1
1000,1270.0,0.199285,0.386426,0.738068,0.056260,0.205672,0.030829,0.001884,0.172893,0.205606,3.931934,1
1000,1272.0,0.189282,0.388919,0.713978,0.065941,0.220080,0.030800,0.001975,0.187234,0.220010,4.237464,1
1000,1274.0,0.179267,0.391417,0.685746,0.077645,0.236610,0.030730,0.002078,0.203726,0.236534,4.588469,1
1000,1276.0,0.169238,0.393920,0.652569,0.091806,0.255625,0.030608,0.002194,0.222741,0.255543,4.992698,1
1000,1278.0,0.159196,0.396431,0.613551,0.108943,0.277506,0.030421,0.002325,0.244672,0.277418,5.458081,1
1000,1280.0,0.149142,0.398945,0.567784,0.129637,0.302578,0.030152,0.002472,0.269858,0.302482,5.991353,1
1000,1282.0,0.139076,0.401464,0.514658,0.154418,0.330923,0.029785,0.002632,0.298402,0.330819,6.593802,1
1000,1284.0,0.128996,0.403990,0.453973,0.183747,0.362280,0.029300,0.002800,0.330066,0.362166,7.259192,1
1000,1286.0,0.118904,0.406520,0.387408,0.217342,0.395250,0.028687,0.002964,0.363476,0.395127,7.956582,1
1000,1288.0,0.108798,0.409056,0.319196,0.253856,0.426948,0.027955,0.003101,0.395761,0.426817,8.623016,1
1000,1290.0,0.098681,0.411597,0.257843,0.289925,0.452232,0.027152,0.003175,0.421768,0.452095,9.147110,1
1000,1292.0,0.088550,0.414144,0.216648,0.319515,0.463837,0.026389,0.003143,0.434166,0.463698,9.372563,1
1000,1294.0,0.078406,0.416696,0.209657,0.335432,0.454912,0.025826,0.002971,0.425980,0.454777,9.153685,1
1000,1296.0,0.068250,0.419254,0.244596,0.332378,0.423027,0.025615,0.002662,0.394627,0.422904,8.441252,1
1000,1298.0,0.058080,0.421817,0.316783,0.310497,0.372720,0.025813,0.002260,0.344541,0.372614,7.336418,1
1000,1300.0,0.047897,0.424386,0.410560,0.275562,0.313878,0.026351,0.001838,0.285601,0.313791,6.053899,1
1000,1302.0,0.037702,0.426960,0.508018,0.235553,0.256429,0.027085,0.001457,0.227817,0.256358,4.807306,1
1000,1304.0,0.027494,0.429539,0.597061,0.196661,0.206278,0.027878,0.001145,0.177199,0.206223,3.722445,1
1000,1306.0,0.017273,0.432125,0.671745,0.162490,0.165765,0.028637,0.000909,0.136175,0.165721,2.847900,1
1000,1308.0,0.007039,0.434716,0.731601,0.134045,0.134354,0.029318,0.000737,0.104264,0.134319,2.170845,1
1000,1310.0,-0.003208,0.437313,0.778017,0.111248,0.110735,0.029907,0.000617,0.080183,0.110706,1.662083,1
1000,1312.0,-0.013467,0.439914,0.813484,0.093306,0.093210,0.030407,0.000535,0.062243,0.093185,1.284543,1
1000,1314.0,-0.023739,0.442522,0.840300,0.079366,0.080334,0.030831,0.000481,0.049001,0.080313,1.006836,1
1000,1316.0,-0.034026,0.445135,0.860411,0.068640,0.070949,0.031189,0.000447,0.039295,0.070930,0.803882,1
1000,1318.0,-0.044323,0.447754,0.875365,0.060465,0.064170,0.031492,0.000427,0.032233,0.064152,0.656560,1
1000,1320.0,-0.054634,0.450380,0.886337,0.054319,0.059345,0.031750,0.000417,0.027160,0.059327,0.550824,1
1000,1322.0,-0.064959,0.453010,0.894279,0.049758,0.055963,0.031972,0.000415,0.023558,0.055945,0.475732,1
1000,1324.0,-0.075296,0.455646,0.899853,0.046471,0.053676,0.032164,0.000417,0.021077,0.053659,0.423801,1
1000,1326.0,-0.085646,0.458286,0.903575,0.044204,0.052220,0.032331,0.000424,0.019448,0.052203,0.389379,1
1000,1328.0,-0.096008,0.460935,0.905856,0.042752,0.051393,0.032478,0.000433,0.018464,0.051375,0.368111,1
1000,1330.0,-0.106384,0.463588,0.907001,0.041955,0.051044,0.032608,0.000444,0.017974,0.051026,0.356825,1
1000,1332.0,-0.116772,0.466247,0.907239,0.041695,0.051067,0.032723,0.000457,0.017867,0.051048,0.353216,1
1000,1334.0,-0.127175,0.468913,0.906757,0.041869,0.051374,0.032828,0.000471,0.018056,0.051354,0.355449,1
1000,1336.0,-0.137589,0.471582,0.905699,0.042399,0.051902,0.032922,0.000485,0.018474,0.051881,0.362157,1
1000,1338.0,-0.148016,0.474258,0.904181,0.043219,0.052600,0.033008,0.000500,0.019070,0.052578,0.372287,1
1000,1340.0,-0.158457,0.476941,0.902293,0.044277,0.053431,0.033088,0.000516,0.019804,0.053408,0.385027,1
1000,1342.0,-0.168910,0.479629,0.900107,0.045529,0.054364,0.033162,0.000532,0.020646,0.054340,0.399745,1
1000,1344.0,-0.179376,0.482323,0.897688,0.046937,0.055375,0.033232,0.000548,0.021571,0.055351,0.415925,1
1000,1346.0,-0.189855,0.485024,0.895075,0.048477,0.056448,0.033297,0.000565,0.022559,0.056422,0.433213,1
1000,1348.0,-0.200348,0.487730,0.892319,0.050117,0.057564,0.033361,0.000582,0.023595,0.057537,0.451257,1
1000,1350.0,-0.210853,0.490442,0.889442,0.051842,0.058715,0.033421,0.000599,0.024667,0.058688,0.469852,1
1000,1352.0,-0.221371,0.493159,0.886481,0.053630,0.059889,0.033481,0.000616,0.025764,0.059860,0.488754,1
1000,1354.0,-0.231902,0.495882,0.883454,0.055468,0.061079,0.033538,0.000633,0.026877,0.061049,0.507827,1
