lambda_op_nm,I_peak_Wcm2,E_cell_J,R_avg,T_avg,A_avg,Te_peak_K,I_refl_out_Wcm2,valid_trust(Te<=6000K),valid_model(Te<=8000K)
1294,1.0000e+08,5.5205e-14,0.323603,0.222678,0.453720,432.0,3.2360e+07,1,1
1294,1.2589e+08,6.9499e-14,0.323888,0.222356,0.453755,464.7,4.0775e+07,1,1
1294,1.5849e+08,8.7494e-14,0.324266,0.221932,0.453802,505.0,5.1393e+07,1,1
1294,1.9953e+08,1.1015e-13,0.324768,0.221368,0.453864,554.5,6.4800e+07,1,1
1294,2.5119e+08,1.3867e-13,0.325440,0.220616,0.453943,615.1,8.1747e+07,1,1
1294,3.1623e+08,1.7457e-13,0.326342,0.219611,0.454047,689.0,1.0320e+08,1,1
1294,3.9811e+08,2.1977e-13,0.327554,0.218267,0.454178,778.6,1.3040e+08,1,1
1294,5.0119e+08,2.7668e-13,0.329182,0.216475,0.454343,886.6,1.6498e+08,1,1
1294,6.3096e+08,3.4832e-13,0.331365,0.214097,0.454538,1016.2,2.0908e+08,1,1
1294,7.9433e+08,4.3851e-13,0.334272,0.210974,0.454754,1171.2,2.6552e+08,1,1
1294,1.0000e+09,5.5205e-13,0.338107,0.206937,0.454956,1355.6,3.3811e+08,1,1
1294,1.2589e+09,6.9499e-13,0.343095,0.201843,0.455062,1574.5,4.3193e+08,1,1
1294,1.5849e+09,8.7494e-13,0.349443,0.195644,0.454913,1833.4,5.5383e+08,1,1
1294,1.9953e+09,1.1015e-12,0.357269,0.188521,0.454210,2138.5,7.1285e+08,1,1
1294,2.5119e+09,1.3867e-12,0.366481,0.181068,0.452451,2495.9,9.2056e+08,1,1
1294,3.1623e+09,1.7457e-12,0.376598,0.174526,0.448876,2910.9,1.1909e+09,1,1
1294,3.9811e+09,2.1977e-12,0.386599,0.170901,0.442500,3386.0,1.5391e+09,1,1
1294,5.0119e+09,2.7668e-12,0.394932,0.172760,0.432308,3920.0,1.9793e+09,1,1
1294,6.3096e+09,3.4832e-12,0.399841,0.182552,0.417607,4508.0,2.5228e+09,1,1
1294,7.9433e+09,4.3851e-12,0.399908,0.201739,0.398353,5143.2,3.1766e+09,1,1
1294,1.0000e+10,5.5205e-12,0.394495,0.230297,0.375208,5819.9,3.9450e+09,1,1
1294,1.2589e+10,6.9499e-12,0.383830,0.266865,0.349305,6535.3,4.8321e+09,0,1
1294,1.5849e+10,8.7494e-12,0.368695,0.309410,0.321895,7290.0,5.8434e+09,0,1
1294,1.9953e+10,1.1015e-11,0.350494,0.355095,0.294411,8093.7,6.9933e+09,0,0
1294,2.5119e+10,1.3867e-11,0.338785,0.385302,0.275913,9172.3,8.5099e+09,0,0
1294,3.1623e+10,1.7457e-11,0.331049,0.405934,0.263016,10580.8,1.0469e+10,0,0
1294,3.9811e+10,2.1977e-11,0.325306,0.421419,0.253275,12000.0,1.2951e+10,0,0
1294,5.0119e+10,2.7668e-11,0.320911,0.433326,0.245762,12000.0,1.6084e+10,0,0
1294,6.3096e+10,3.4832e-11,0.317511,0.442566,0.239923,12000.0,2.0034e+10,0,0
1294,7.9433e+10,4.3851e-11,0.314865,0.449771,0.235363,12000.0,2.5011e+10,0,0
1294,1.0000e+11,5.5205e-11,0.312798,0.455410,0.231792,12000.0,3.1280e+10,0,0
1300,1.0000e+05,5.5205e-17,0.263330,0.422819,0.313851,300.1,2.6333e+04,1,1
1300,1.2589e+05,6.9499e-17,0.263330,0.422819,0.313851,300.1,3.3151e+04,1,1
1300,1.5849e+05,8.7494e-17,0.263331,0.422818,0.313851,300.2,4.1735e+04,1,1
