order,Te,lam,T_7,T,dT,R_7,R,dR,A_7,A,dA,Fz_7,Fz,dFz,Ftot_7,Ftot,dFtot,Fx_7,Fx,dFx,Fy_7,Fy,dFy
"[11,11]",4000.0,1302.0,0.00026114031865428306,0.00022364194169320758,-3.7498376961075486e-05,0.16695124758391172,0.16465884140151907,-0.0022924061823926534,0.832787612097434,0.8351175166567877,0.0023299045593536682,0.7743664137071544,0.7790937417242549,0.004727328017100518,0.8326516926193711,0.8349562764996186,0.002304583880247457,0.04494194462611357,0.04282764796429281,-0.0021142966618207595,0.013343334286103046,0.01303488681107089,-0.00030844747503215586
"[11,11]",4000.0,1268.0,0.18587613838590109,0.14834514514984867,-0.03753099323605241,0.19496235275347965,0.24045307415997896,0.04549072140649932,0.6191615088606193,0.6112017806901724,-0.007959728170446878,0.45198704394354383,0.4844516380755112,0.032464594131967395,0.6190441395635129,0.6110680325595678,-0.007976107003945132,0.08178863538959802,0.07765648916020376,-0.004132146229394257,0.08526846023037098,0.048959905323852845,-0.03630855490651813
"[11,11]",4000.0,1306.0,0.000712976970893929,0.002053586914934152,0.001340609944040223,0.14778482081621538,0.14719085670714155,-0.0005939641090738357,0.8515022022128907,0.8507555563779242,-0.0007466458349665306,0.7964257529229277,0.7976201634350241,0.0011944105120963444,0.8513635063856683,0.8505918773130607,-0.000771629072607527,0.04233019735166019,0.04056356758363319,-0.001766629768026995,0.012607556111080375,0.012408146294403557,-0.00019940981667681754
"[11,11]",4000.0,1292.0,0.014303538002918295,0.00784468375069484,-0.006458854252223456,0.21731917413243548,0.21334310844833115,-0.00397606568410433,0.7683772878646462,0.778812207800974,0.010434919936327836,0.6996700606007559,0.7140797469243699,0.014409686323614057,0.7682504121073752,0.7786596125810896,0.010409200473714408,0.05295086086246125,0.04975791800590867,-0.003192942856552583,0.015629490644158063,0.01482194765081095,-0.0008075429933471125
"[11,11]",6000.0,1302.0,0.0007360326452990402,9.718609113359283e-05,-0.0006388465541654474,0.4104362504737007,0.4024412595313383,-0.00799499094236239,0.5888277168810002,0.5974615543775281,0.008633837496527907,0.5186360566478698,0.5301775407145904,0.01154148406672062,0.5887321625111087,0.5973398732996625,0.008607710788553824,0.05351751632463769,0.051078896278637535,-0.0024386200460001575,0.01657858953860122,0.01608343630643453,-0.0004951532321666903
"[11,11]",6000.0,1268.0,0.2645847126846487,0.20985650211061035,-0.05472821057403837,0.24267613848550637,0.33688696853705485,0.09421083005154848,0.4927391488298449,0.45325652935233485,-0.03948261947751003,0.27143234098986263,0.297568151288994,0.026135810299131368,0.49264420816155224,0.45315041730631334,-0.03949379085523891,0.08663949837982338,0.08398857275144947,-0.002650925628373907,0.13457236879186624,0.07159369326586984,-0.0629786755259964
"[11,11]",6000.0,1306.0,0.00048628808768832067,0.0020847676637847806,0.00159847957609646,0.3880469301488282,0.3798776747916129,-0.0081692553572153,0.6114667817634835,0.6180375575446024,0.006570775781118976,0.5441646018911549,0.5531520578088621,0.008987455917707221,0.6113679885069666,0.6179124191810037,0.006544430674037094,0.051220838342653854,0.04913095053889397,-0.0020898878037598836,0.01598254827315793,0.01562941083324765,-0.00035313743991027824
"[11,11]",6000.0,1292.0,0.021525613083636114,0.011342113059632064,-0.01018350002400405,0.45189835573484394,0.4498773358355287,-0.002021019899315246,0.52657603118152,0.5387805511048392,0.01220451992331928,0.44718773058588457,0.4641463057124131,0.01695857512652854,0.5264890704360198,0.538668690616454,0.01217962018043417,0.060631011639252684,0.057055171562223936,-0.0035758400770287482,0.01867032821088252,0.017467213341816896,-0.0012031148690656232
"[11,11]",8000.0,1302.0,0.002027415534474208,0.00031096449636043057,-0.0017164510381137772,0.5884657547326443,0.5815111738813409,-0.006954580851303405,0.4095068297328815,0.4181778616222987,0.008671031889417202,0.3364606790155907,0.34829574044005107,0.011835061424460391,0.40944010449019264,0.4180880202701478,0.008647915779955162,0.05547704344460104,0.05295999448304877,-0.0025170489615522693,0.017502382030000922,0.016832285347047973,-0.0006700966829529496
"[11,11]",8000.0,1268.0,0.3091113807573293,0.2775981406269235,-0.031513240130405795,0.24476607344589213,0.33917101854330484,0.0944049450974127,0.4461225457967786,0.3832308408297717,-0.06289170496700691,0.1664739590142836,0.19032917483323764,0.02385521581895403,0.4460396654856212,0.38313879789814304,-0.06290086758747815,0.0829219535184599,0.08515029487549756,0.002228341357037658,0.19664375295287773,0.10765932818940782,-0.0889844247634699
"[11,11]",8000.0,1306.0,0.0004019343478757643,0.001640355698512512,0.0012384213506367477,0.5724161853747415,0.5632254635811095,-0.009190721793632006,0.42718188027738274,0.435134180720378,0.007952300442995275,0.3565656285926704,0.3671175564044199,0.010551927811749517,0.4271125588653929,0.43504114169306185,0.00792858282766895,0.05354623139261214,0.051401723216246926,-0.0021445081763652105,0.017000698880110392,0.016521862072395088,-0.0004788368077153042
"[11,11]",8000.0,1292.0,0.02947239963836005,0.015607468844418864,-0.013864930793941185,0.6042993893924924,0.6096265209379069,0.005327131545414532,0.36622821096914754,0.3747660102176742,0.008537799248526656,0.28457858507937184,0.2985448769539737,0.013966291874601855,0.36616751107234125,0.37468419737153064,0.008516686299189391,0.06187531602956829,0.058067774359436226,-0.0038075416701320655,0.019713609963401126,0.018071546058120714,-0.0016420639052804123
