lambda_op_nm,I_peak_Wcm2,E_cell_J,E_per_10um_pixel_nJ_equiv,T_avg,R_avg,A_avg,Fz_avg,Te_peak_K,I_out_Wcm2,valid_trust(Te<=6000K),valid_model(Te<=8000K),T_avg_G05,T_avg_G2
1306,1.0000e+07,1.0868e-14,1.5967e-03,0.003369,0.008151,0.988480,0.952991,329.6,3.3694e+04,1,1,0.003365,0.003372
1306,1.2589e+07,1.3681e-14,2.0101e-03,0.003368,0.008132,0.988500,0.953008,337.2,4.2398e+04,1,1,0.003362,0.003371
1306,1.5849e+07,1.7224e-14,2.5306e-03,0.003366,0.008109,0.988526,0.953030,346.7,5.3343e+04,1,1,0.003358,0.003370
1306,1.9953e+07,2.1684e-14,3.1858e-03,0.003363,0.008079,0.988558,0.953059,358.6,6.7101e+04,1,1,0.003354,0.003369
1306,2.5119e+07,2.7298e-14,4.0107e-03,0.003360,0.008040,0.988601,0.953095,373.5,8.4389e+04,1,1,0.003348,0.003367
1306,3.1623e+07,3.4366e-14,5.0492e-03,0.003355,0.007989,0.988656,0.953142,392.0,1.0610e+05,1,1,0.003340,0.003365
1306,3.9811e+07,4.3264e-14,6.3566e-03,0.003349,0.007924,0.988726,0.953202,415.1,1.3334e+05,1,1,0.003329,0.003362
1306,5.0119e+07,5.4467e-14,8.0025e-03,0.003342,0.007840,0.988819,0.953281,443.7,1.6748e+05,1,1,0.003316,0.003358
1306,6.3096e+07,6.8570e-14,1.0074e-02,0.003332,0.007729,0.988939,0.953383,479.1,2.1022e+05,1,1,0.003298,0.003354
1306,7.9433e+07,8.6324e-14,1.2683e-02,0.003318,0.007586,0.989096,0.953515,522.8,2.6359e+05,1,1,0.003276,0.003347
1306,1.0000e+08,1.0868e-13,1.5967e-02,0.003301,0.007398,0.989301,0.953688,576.4,3.3007e+05,1,1,0.003246,0.003339
1306,1.2589e+08,1.3681e-13,2.0101e-02,0.003277,0.007154,0.989569,0.953910,641.8,4.1256e+05,1,1,0.003207,0.003327
1306,1.5849e+08,1.7224e-13,2.5306e-02,0.003245,0.006841,0.989914,0.954193,721.5,5.1438e+05,1,1,0.003156,0.003312
1306,1.9953e+08,2.1684e-13,3.1858e-02,0.003203,0.006445,0.990351,0.954545,817.8,6.3913e+05,1,1,0.003091,0.003292
1306,2.5119e+08,2.7298e-13,4.0107e-02,0.003147,0.005962,0.990891,0.954964,933.9,7.9044e+05,1,1,0.003007,0.003264
1306,3.1623e+08,3.4366e-13,5.0492e-02,0.003072,0.005406,0.991522,0.955426,1073.0,9.7146e+05,1,1,0.002901,0.003225
1306,3.9811e+08,4.3264e-13,6.3566e-02,0.002974,0.004833,0.992193,0.955855,1239.0,1.1840e+06,1,1,0.002769,0.003172
1306,5.0119e+08,5.4467e-13,8.0025e-02,0.002847,0.004391,0.992761,0.956077,1436.3,1.4270e+06,1,1,0.002608,0.003100
1306,6.3096e+08,6.8570e-13,1.0074e-01,0.002688,0.004393,0.992919,0.955733,1670.1,1.6957e+06,1,1,0.002418,0.003002
1306,7.9433e+08,8.6324e-13,1.2683e-01,0.002492,0.005435,0.992073,0.954161,1946.0,1.9797e+06,1,1,0.002202,0.002870
1306,1.0000e+09,1.0868e-12,1.5967e-01,0.002264,0.008563,0.989173,0.950220,2269.6,2.2638e+06,1,1,0.001968,0.002699
1306,1.2589e+09,1.3681e-12,2.0101e-01,0.002011,0.015400,0.982588,0.942172,2645.7,2.5323e+06,1,1,0.001731,0.002484
1306,1.5849e+09,1.7224e-12,2.5306e-01,0.001752,0.028136,0.970112,0.927713,3076.7,2.7772e+06,1,1,0.001507,0.002229
1306,1.9953e+09,2.1684e-12,3.1858e-01,0.001507,0.049121,0.949372,0.904432,3561.7,3.0073e+06,1,1,0.001309,0.001946
1306,2.5119e+09,2.7298e-12,4.0107e-01,0.001294,0.080072,0.918634,0.870662,4095.7,3.2493e+06,1,1,0.001142,0.001661
1306,3.1623e+09,3.4366e-12,5.0492e-01,0.001118,0.121283,0.877599,0.826284,4672.1,3.5366e+06,1,1,0.001004,0.001402
1306,3.9811e+09,4.3264e-12,6.3566e-01,0.000978,0.171391,0.827631,0.772912,5285.2,3.8925e+06,1,1,0.000888,0.001188
1306,5.0119e+09,5.4467e-12,8.0025e-01,0.000863,0.227908,0.771229,0.713291,5932.0,4.3235e+06,1,1,0.000789,0.001020
1306,6.3096e+09,6.8570e-12,1.0074e+00,0.000765,0.287960,0.711275,0.650495,6613.2,4.8285e+06,0,1,0.000705,0.000890
1306,7.9433e+09,8.6324e-12,1.2683e+00,0.000683,0.348955,0.650362,0.587243,7332.5,5.4214e+06,0,1,0.000638,0.000785
1306,1.0000e+10,1.0868e-11,1.5967e+00,0.000618,0.408120,0.591262,0.526363,8103.0,6.1751e+06,0,0,0.000588,0.000697
1306,1.2589e+10,1.3681e-11,2.0101e+00,0.000570,0.447924,0.551506,0.485325,9150.9,7.1756e+06,0,0,0.000549,0.000624
1306,1.5849e+10,1.7224e-11,2.5306e+00,0.000534,0.475852,0.523614,0.456466,10524.8,8.4580e+06,0,0,0.000518,0.000570
1306,1.9953e+10,2.1684e-11,3.1858e+00,0.000505,0.496974,0.502521,0.434625,12000.0,1.0085e+07,0,0,0.000493,0.000531
1306,2.5119e+10,2.7298e-11,4.0107e+00,0.000483,0.513276,0.486240,0.417762,12000.0,1.2143e+07,0,0,0.000474,0.000502
1306,3.1623e+10,3.4366e-11,5.0492e+00,0.000466,0.525955,0.473579,0.404646,12000.0,1.4740e+07,0,0,0.000459,0.000480
1306,3.9811e+10,4.3264e-11,6.3566e+00,0.000453,0.535857,0.463691,0.394401,12000.0,1.8016e+07,0,0,0.000447,0.000463
1306,5.0119e+10,5.4467e-11,8.0025e+00,0.000442,0.543613,0.455945,0.386375,12000.0,2.2146e+07,0,0,0.000438,0.000450
