Te_K,lambda_nm,eps_re,eps_im,T,R,A,Fx,Fy,Fz,Ftot,mean_Ez2_over_Einc2,within_trusted_Te(<=6000K)
3000,1376.0,-0.065194,0.488005,0.059492,0.082294,0.858214,0.021552,0.005610,0.830867,0.858029,16.211294,1
3000,1378.0,-0.075071,0.490638,0.060111,0.084010,0.855879,0.021516,0.005622,0.828555,0.855692,16.102815,1
3000,1380.0,-0.084959,0.493274,0.060701,0.085620,0.853679,0.021493,0.005639,0.826359,0.853491,15.997506,1
3500,1200.0,0.825627,0.268898,0.772276,0.042720,0.185004,0.045341,0.003629,0.136008,0.184978,4.200008,1
3500,1202.0,0.817000,0.271052,0.775196,0.035328,0.189476,0.046698,0.003769,0.138981,0.189449,4.264812,1
3500,1204.0,0.808364,0.273212,0.777509,0.028587,0.193904,0.048106,0.003919,0.141851,0.193876,4.325661,1
3500,1206.0,0.799715,0.275375,0.779154,0.022550,0.198296,0.049564,0.004080,0.144623,0.198268,4.382817,1
3500,1208.0,0.791057,0.277543,0.780051,0.017276,0.202673,0.051072,0.004252,0.147320,0.202645,4.437011,1
3500,1210.0,0.782386,0.279714,0.780110,0.012815,0.207075,0.052627,0.004437,0.149981,0.207045,4.489520,1
3500,1212.0,0.773705,0.281887,0.779241,0.009203,0.211556,0.054226,0.004636,0.152664,0.211526,4.542091,1
3500,1214.0,0.765014,0.284068,0.777343,0.006462,0.216195,0.055869,0.004849,0.155447,0.216164,4.596965,1
3500,1216.0,0.756309,0.286252,0.774335,0.004584,0.221081,0.057553,0.005078,0.158418,0.221049,4.656742,1
3500,1218.0,0.747595,0.288439,0.770124,0.003552,0.226324,0.059280,0.005324,0.161687,0.226291,4.724540,1
3500,1220.0,0.738871,0.290631,0.764637,0.003314,0.232049,0.061054,0.005590,0.165371,0.232015,4.803633,1
3500,1222.0,0.730134,0.292827,0.757810,0.003801,0.238389,0.062880,0.005877,0.169597,0.238353,4.897451,1
3500,1224.0,0.721387,0.295028,0.749597,0.004920,0.245483,0.064769,0.006188,0.174488,0.245446,5.009302,1
3500,1226.0,0.712628,0.297232,0.739968,0.006568,0.253464,0.066738,0.006527,0.180160,0.253424,5.142152,1
3500,1228.0,0.703860,0.299440,0.728911,0.008640,0.262450,0.068809,0.006898,0.186702,0.262408,5.298200,1
3500,1230.0,0.695078,0.301654,0.716439,0.011041,0.272520,0.071007,0.007307,0.194161,0.272476,5.478363,1
3500,1232.0,0.686286,0.303872,0.702544,0.013733,0.283723,0.073367,0.007764,0.202546,0.283676,5.682445,1
3500,1234.0,0.677483,0.306093,0.687190,0.016736,0.296074,0.075940,0.008282,0.211803,0.296024,5.908613,1
3500,1236.0,0.668669,0.308320,0.670266,0.020189,0.309545,0.078783,0.008879,0.221830,0.309492,6.153589,1
3500,1238.0,0.659844,0.310551,0.651568,0.024372,0.324059,0.081959,0.009582,0.232462,0.324003,6.412560,1
3500,1240.0,0.651008,0.312785,0.630674,0.029758,0.339567,0.085554,0.010429,0.243524,0.339507,6.680503,1
3500,1242.0,0.642160,0.315025,0.606801,0.037077,0.356122,0.089697,0.011476,0.254884,0.356057,6.953629,1
3500,1244.0,0.633302,0.317269,0.578559,0.047433,0.374008,0.094592,0.012809,0.266537,0.373939,7.231743,1
3500,1246.0,0.624432,0.319517,0.543328,0.062593,0.394078,0.100629,0.014576,0.278799,0.394004,7.523288,1
3500,1248.0,0.615550,0.321770,0.495329,0.086044,0.418627,0.108711,0.017073,0.292764,0.418547,7.857393,1
3500,1250.0,0.606657,0.324027,0.416107,0.127972,0.455921,0.122012,0.021126,0.312694,0.455832,8.347198,1
3500,1252.0,0.597754,0.326289,0.233772,0.254685,0.511543,0.136144,0.029316,0.345980,0.511440,9.186400,1
3500,1254.0,0.588839,0.328556,0.195911,0.306798,0.497292,0.120330,0.034705,0.342160,0.497194,9.036698,1
3500,1256.0,0.579914,0.330827,0.153663,0.350810,0.495527,0.108473,0.045029,0.341929,0.495431,8.982929,1
3500,1258.0,0.570975,0.333102,0.104001,0.393177,0.502823,0.097200,0.065275,0.340251,0.502726,8.891918,1
3500,1260.0,0.562027,0.335381,0.047707,0.426638,0.525656,0.084876,0.106153,0.334523,0.525552,8.696612,1
3500,1262.0,0.553068,0.337666,0.017478,0.399503,0.583019,0.072779,0.171959,0.338161,0.582900,8.745558,1
3500,1264.0,0.544096,0.339956,0.085788,0.259523,0.654689,0.071635,0.187204,0.395716,0.654554,10.181230,1
3500,1266.0,0.535113,0.342249,0.156325,0.173132,0.670543,0.077713,0.125185,0.467513,0.670411,11.966794,1
3500,1268.0,0.526120,0.344548,0.165467,0.168607,0.665926,0.079204,0.076984,0.509613,0.665801,12.977821,1
3500,1270.0,0.517114,0.346851,0.151111,0.181906,0.666982,0.077566,0.051826,0.537469,0.666860,13.617768,1
3500,1272.0,0.508098,0.349159,0.131869,0.193577,0.674554,0.074853,0.038485,0.561095,0.674433,14.144678,1
3500,1274.0,0.499071,0.351471,0.112839,0.200781,0.686380,0.071863,0.030808,0.583588,0.686259,14.637868,1
3500,1276.0,0.490031,0.353788,0.095293,0.203911,0.700796,0.068876,0.026027,0.605770,0.700674,15.118467,1
3500,1278.0,0.480981,0.356111,0.079498,0.203754,0.716748,0.065997,0.022847,0.627781,0.716625,15.589984,1
