lambda_op_nm,I_peak_Wcm2,E_cell_J,E_per_10um_pixel_nJ_equiv,T_avg,R_avg,A_avg,Fz_avg,Te_peak_K,I_out_Wcm2,valid_trust(Te<=6000K),valid_model(Te<=8000K)
1302,1.5849e+07,8.7494e-15,2.5306e-03,0.515854,0.226080,0.258065,0.229485,312.3,8.1757e+06,1,1
1302,1.9953e+07,1.1015e-14,3.1858e-03,0.515842,0.226095,0.258063,0.229482,315.5,1.0292e+07,1,1
1302,2.5119e+07,1.3867e-14,4.0107e-03,0.515827,0.226114,0.258059,0.229479,319.5,1.2957e+07,1,1
1302,3.1623e+07,1.7457e-14,5.0492e-03,0.515807,0.226137,0.258055,0.229475,324.5,1.6311e+07,1,1
1302,3.9811e+07,2.1977e-14,6.3566e-03,0.515783,0.226168,0.258050,0.229469,330.8,2.0534e+07,1,1
1302,5.0119e+07,2.7668e-14,8.0025e-03,0.515751,0.226206,0.258043,0.229462,338.7,2.5849e+07,1,1
1302,6.3096e+07,3.4832e-14,1.0074e-02,0.515710,0.226255,0.258034,0.229454,348.5,3.2539e+07,1,1
1302,7.9433e+07,4.3851e-14,1.2683e-02,0.515658,0.226319,0.258023,0.229442,360.9,4.0960e+07,1,1
1302,1.0000e+08,5.5205e-14,1.5967e-02,0.515591,0.226401,0.258008,0.229427,376.3,5.1559e+07,1,1
1302,1.2589e+08,6.9499e-14,2.0101e-02,0.515503,0.226508,0.257989,0.229408,395.5,6.4898e+07,1,1
1302,1.5849e+08,8.7494e-14,2.5306e-02,0.515389,0.226647,0.257964,0.229384,419.4,8.1684e+07,1,1
1302,1.9953e+08,1.1015e-13,3.1858e-02,0.515239,0.226830,0.257932,0.229351,449.0,1.0280e+08,1,1
1302,2.5119e+08,1.3867e-13,4.0107e-02,0.515040,0.227071,0.257889,0.229308,485.6,1.2937e+08,1,1
1302,3.1623e+08,1.7457e-13,5.0492e-02,0.514776,0.227392,0.257832,0.229250,530.6,1.6279e+08,1,1
1302,3.9811e+08,2.1977e-13,6.3566e-02,0.514422,0.227822,0.257756,0.229174,585.8,2.0480e+08,1,1
1302,5.0119e+08,2.7668e-13,8.0025e-02,0.513947,0.228399,0.257655,0.229071,653.0,2.5758e+08,1,1
1302,6.3096e+08,3.4832e-13,1.0074e-01,0.513305,0.229176,0.257519,0.228934,734.7,3.2387e+08,1,1
