wavelength_nm,K_re_over_k0,K_im_over_k0,pole_residual,bound_both_claddings,Ez_localization_fraction
1406.0,-0.8524853279579495,-8.768377348142419,3.0531133177191805e-16,False,
1407.0,-0.7948369589440735,-8.787126142924643,2.618455766672135e-16,False,
1408.0,-0.7371735590665789,-8.806098139287464,1.6653345369377348e-16,False,
1409.0,-0.6794954033200932,-8.825293877377966,2.618455766672135e-16,False,
1410.0,-0.6218027729096213,-8.844713926626445,5.551115123125783e-17,False,
1411.0,-0.5640959671730569,-8.86435887493095,5.117875266520903e-16,False,
1412.0,-0.5063753040946718,-8.884229328220064,2.7336071744532853e-16,False,
1413.0,-0.4486411314479351,-8.904325921126539,1.942890293094024e-16,False,
1414.0,-0.3908937845728707,-8.924649282874562,8.326672684688674e-17,False,
1415.0,-0.33313366214801454,-8.945200071192179,2.7755575615628914e-17,False,
1416.0,-0.2753611399559191,-8.965978959155192,1.1102230246251565e-16,False,
1417.0,-0.21757665827410164,-8.98698664705068,2.9893669801409083e-16,False,
1418.0,-0.1597806356895431,-9.008223828071413,1.6653345369377348e-16,False,
1419.0,-0.10197355609892292,-9.029691221303352,3.3306690738754696e-16,False,
1420.0,-0.044155893221335805,-9.051389559724845,6.684427777288335e-16,False,
1421.0,0.013671856291902028,-9.073319600920442,1.5700924586837752e-16,True,0.006063587495263249
1422.0,0.07150913996975142,-9.095482093649295,4.440892098500626e-16,True,0.030795045381043242
1423.0,0.12935541425836086,-9.117877810136651,3.3766115072321297e-16,True,0.05412863295127761
1424.0,0.1872101006576657,-9.140507534513532,1.2412670766236366e-16,True,0.07617027509860708
1425.0,0.24507259598553632,-9.163372073117708,1.1102230246251565e-16,True,0.0970155181669304
1426.0,0.30294227282562886,-9.186472210505272,1.1102230246251565e-16,True,0.1167507704204059
1427.0,0.36081847770004366,-9.20980878481969,3.554447978966673e-16,True,0.13545436611737627
1428.0,0.41870053193166434,-9.233382622081747,1.1102230246251565e-16,True,0.1531974872936431
1429.0,0.4765877208539381,-9.257194535240219,2.2887833992611187e-16,True,0.17004495814537343
1430.0,0.5344793347836951,-9.281245390049392,2.7755575615628914e-16,True,0.18605594833539552
1431.0,0.5923746060165473,-9.305536026447488,2.220446049250313e-16,True,0.2012845604987069
1432.0,0.6502727397000302,-9.330067302171205,4.47545209131181e-16,True,0.21578036751368979
1433.0,0.7081729463599215,-9.354840082855683,2.7755575615628914e-16,True,0.22958888437997607
1434.0,0.7660743760636118,-9.379855249408921,0.0,True,0.24275195853407835
