tag,kind,certified,P,h,Q_target,fill,rho_sha256,Q_r,lambda_r,fwhm_r,Q_source,eta_Dz_lamE,eta_Dz_P_lamE,eta_source,eta_regression_rel,T_parent_lamE,R_parent_lamE,T_bg,T_bg_min,T_bg_n,T_bg_defined,R_bg,T_at_lambda_r,C_res,C_res_ext,res_depth,lam_op_pos,dT_max_pos,S_T_pos,T0_pos,T1_pos,contrast_pos,dR_pos,dA_pos,channel_pos,A0_pos,Ftot0_pos,Fz0_pos,eta_z_pos,mean_Ez2_pos,rayleigh_margin_nm_pos,at_window_edge_pos,loaded_Q_pos,loaded_pole_shift_nm,unresolved_pos,dT_order_change,dT_at_highest_order,highest_order,linear_response,S_T_spread_rel,frac_dT_from_Re,lam_op_neg,dT_max_neg,T0_neg,channel_neg,dT_lamE,T0_lamE,A0_lamE,Fz0_lamE,eta_z_lamE,A_to_R_dominant,Ftot0_max,T0_max,gamma_nr_over_gamma_r_est,Q_loaded_est,Q_loaded_exact,eta_Dz_P_critical,multipole_dominant,abs_delta_eps_pos,Te,order_B,order_A,identity_resid_max,wall_s
fr_Q20_final3_h380,qdz_uncertified,False,825.0,380.0,20.0,0.29522705078125,574872ef67b744b2,20.599674478025147,1285.378941134106,62.398021993274384,exact pole computed here (not certified),0.13893976684062354,0.09887199804896511,computed here,,0.025770474945494656,0.9742295250506087,0.1900804238529794,0.09874405494929242,21,True,0.8099195761470042,0.07134817422289072,0.11873224963008869,0.7130444363301345,0.8889243474197914,1261.2277971023454,0.0024979890620471477,0.07281440182547924,0.028848451387751658,0.031346440449798806,1.0865900574166603,-0.0032922673653281494,0.0007942783032809375,"R->T,A",0.9533994001794429,0.9532212670473781,0.9009781485663588,0.9451930834035592,20.705613918013253,10.0,True,7.531661079219756,1.5894141752394262,False,,,,False,0.4407762953662909,1.1096116935726046,1357.2277971023454,-0.007972758446504608,0.15147175241154093,T->R,0.0003164410329428713,0.029436626109980255,0.8824979208558146,0.8527740276401233,0.9665268489003715,False,0.9550414661621978,0.29229395703032357,4.71516354513009,3.6043893259324484,7.531661079219756,0.020968943516515345,,0.0343062498547238,1000.0,9,9,0.00034038891008603134,3136.134380340576
fr_Q500_final0_h380,qdz_uncertified,False,825.0,380.0,500.0,0.23333740234375,293d9af25b7a84d0,7.685398543636355,1268.7014749011842,165.07946435018536,exact pole computed here (not certified),0.16332073863591956,0.12009585604260588,computed here,,0.2742927986593741,0.7257072013411204,0.23413011216066124,0.07450612120612297,23,True,0.7658698878393205,0.1964514492601967,0.03767866290046454,0.6879612020678304,0.915167510031935,1399.7277971023454,0.010687454925015993,0.2533712358844626,0.5054620861609105,0.5161495410859265,1.0211439299160683,-0.0002529709060461703,-0.010434484018969736,"A->T (absorption to transmission, useful)",0.4889435982486635,0.48868341621019495,0.4425247815382294,0.9055449128396214,7.578854080733972,148.5,True,10.159060022599464,0.7379809569520148,False,,,,True,0.043805231865811055,0.8375812599245,1319.2277971023454,-0.010612615785331542,0.19269308508349844,T->R,-0.007845561686552233,0.10889028501518797,0.8122782472162234,0.7814333991866711,0.9622387347893326,False,0.8317629803940894,0.505340750117115,2.13676867574565,2.4501005136470377,10.159060022599464,0.05620442559169258,,0.04218101114638553,1000.0,9,9,0.0002593996586275349,3163.845915079117
fr_Q500_final3_h600,qdz_uncertified,False,825.0,600.0,500.0,0.27313232421875,ffb19e477d7446e0,6.1796825647742075,1367.728830198211,221.32671312190368,exact pole computed here (not certified),0.16626216342000252,0.11767742886923782,computed here,,0.177265367312648,0.8227346326875102,0.1895065839733319,0.1723515897399236,41,True,0.8104934160270164,0.2539381337994555,0.06443154982612362,0.685786737926947,0.7027313265711381,1363.2277971023454,-0.0017795352196356556,-0.04445628823582381,0.04728186426878132,0.04550232904914567,0.9623632602657204,0.0012634980079487268,0.000516037211687026,"T->R,A",0.9112115585368906,0.9108941877865085,0.8790933680547734,0.9650883492746707,16.138980679779888,112.0,False,7.809344094203839,2.1177774400921408,False,,,,True,0.16784471932844222,0.8195946250946184,1265.2277971023454,-0.007041152928667999,0.08155754686217674,"T,A->R",-0.004129991874720636,0.054453964553154044,0.8910701265004819,0.863389040100482,0.9691352781782339,True,0.9227836714330339,0.08324278929856321,1.683536088904221,2.3028132881557712,7.809344094203839,0.06989896423653837,,0.04002887533470842,1000.0,9,9,0.0004215867912361615,2559.7588860988617
fr_Q500_fresh4242_h700,qdz_certified,True,825.0,700.0,500.0,0.09271240234375,31ee885c094ffacb,451.8401226817607,1298.6438290656808,2.874122424892177,certified exact pole,0.08166235302644971,0.05450777547887547,certification,2.317996220820123e-13,0.9172942359621353,0.08270576403795415,0.9723673903886265,0.964737246456141,38,True,0.027632609611234926,0.675393496814829,0.29697389357379755,0.29697389357379755,0.3026122870539396,1328.7277971023454,0.002399507413997193,0.0630700239186048,0.9074129158308744,0.9098124232448715,1.002644339056823,-9.385840649519042e-05,-0.0023056490075020752,"A->T (absorption to transmission, useful)",0.06691930280891412,0.0668872928328391,0.03350704815748734,0.500947889178685,0.6599644617439745,77.5,False,,,False,,,,True,0.02949166351325098,0.8356829472981161,1261.2277971023454,-0.0013129914344696125,0.9051134546011234,T->A,0.002107869560606712,0.9155630598915625,0.06311260798133267,0.031326974612785045,0.4965641551483131,False,0.07920636887696539,0.9172513855471863,57.01726009279802,7.788029320223793,,0.0009559872815733647,frac_MD,0.038045132456171,1000.0,9,9,6.294791354188867e-05,2610.35951089859
fr_Q50_final0_h680,qdz_uncertified,False,825.0,680.0,50.0,0.2679443359375,c5306c7dad95b95b,6.4887135319220475,1292.729159458617,199.22734346321073,exact pole computed here (not certified),0.0832606124271061,0.05239168648463536,computed here,,0.06461909590209762,0.9353809040405888,0.4317419120716404,0.30722034990555536,13,True,0.5682580879272318,0.1588367335646481,0.2729051785069923,0.43537726968926954,0.8258560293202175,1261.2277971023454,0.01419190607267723,0.4136828167688248,0.10213382801909199,0.11632573409176922,1.1389540208952544,-0.006252048579489938,-0.007939857493187263,"R,A->T (useful)",0.7466543737382838,0.7464916764227005,0.6501565412105992,0.870949485098409,14.94141711427538,10.0,True,11.892461292160537,0.95081297878437,False,,,,True,0.24715460151219126,0.9963977676274919,1395.2277971023454,-0.005937324225789145,0.10580725529428903,T->A,0.0038816552419115857,0.09219301880165509,0.8640308157122697,0.8300934695996731,0.9609414819232992,False,0.8720522899129987,0.16226449698247078,0.7870169252514048,3.6310308202644417,11.892461292160537,0.06656996158996119,,0.0343062498547238,1000.0,9,9,0.0004587813806306018,3094.4172797203064
fr_Q50_final2_h680,qdz_uncertified,False,825.0,680.0,50.0,0.2568359375,b637e0a4d2fa9c77,31.871551010535285,1297.8613078354228,40.721623726639756,exact pole computed here (not certified),0.05842670138055193,0.03930893269109955,computed here,,0.5220897289241948,0.4779102726819986,,,3,False,,0.4146311166668039,,,0.6218974522172311,1314.1499573260803,0.013253084741727206,0.35605818441756826,0.16555914245280787,0.17881222719453507,1.0800504553561876,-0.0017271739025857685,-0.011525910839141451,"A->T (absorption to transmission, useful)",0.7811254735304457,0.7809024998520223,0.7168063572712658,0.9179204284876762,14.567027318994219,62.92216022373486,False,36.21742154965996,0.12694595733069036,False,,,,True,0.20416326304792737,1.0236005099183199,1399.2277971023454,-0.004577433216530924,0.15883067751747737,"T,R->A",0.010794698823723026,0.16757532500386113,0.7680886635825901,0.7117485014847719,0.926883276334509,False,0.8993443595124547,0.17262765252064205,2.900397641791365,8.171359419625071,36.21742154965996,0.013552946025297856,,0.03722168263989296,1000.0,9,9,0.00040696044794386044,3410.7198138237
fr_Q50_fresh8080_h480,qdz_uncertified,False,825.0,480.0,50.0,0.144287109375,02eb2afb97b3154d,44.23678543535539,1299.6685520691858,29.37981454299912,exact pole computed here (not certified),0.11752653455940766,0.09353704528297214,computed here,,0.2514963004277651,0.7485036995725485,0.8584104951230888,0.7862206764101034,21,True,0.1415895048768239,0.23496456356674233,0.6234459315563464,0.6234459315563464,0.7508520330637048,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,735.5670595169067
jzfz_final1,jzfz_baseline,True,825.0,575.0,,0.2816162109375,f091dc631ccfb657,,,,none,0.10053657250275475,0.06312948241136986,certification,0.0,0.014435321807874631,0.9855646781948817,0.0936237040238514,7.676486761563407e-05,46,True,0.9063762959755141,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,frac_EQ,,,,9,,11.821229696273804
jzfz_final3,jzfz_baseline,True,825.0,525.0,,0.31756591796875,b6db683ab862df03,219.61097193271746,1271.1169257725505,5.788039252255504,certified exact pole,0.11140471805054879,0.07093482533495613,certification,6.480801920560945e-12,0.01774728867442804,0.9822527113242743,0.026146931602693085,0.001051630480239049,11,True,0.9738530683969965,0.7497457824356571,0.723598850832964,0.9214206307846443,0.9389706512628649,1265.986494370746,0.007269158185073815,0.21031222562374477,0.07801350421932754,0.08528266240440135,1.0931782036689093,0.011633820348926585,-0.01890297853400047,"A->T,R",0.8897623051124162,0.8895717617658161,0.7620844636179276,0.8566868873008919,17.30934030325839,14.75869726840051,False,183.88521415002555,0.12267321563535916,False,,,,True,0.05390949314734919,0.8426805869622953,1399.2277971023454,-0.0020447027215421965,0.07288360947813642,"T->R,A",-0.0003401151905330097,0.0024937083339482626,0.9921259693450705,0.9552068475898736,0.9629925174872302,True,0.9955745708570988,0.07809437010764296,36.06422719170164,5.9251463897212036,183.88521415002555,0.001966902686085512,frac_EQ,0.034563650132629804,1000.0,9,9,0.0003893264668572982,3023.139792442322
pilot_h525_Q100_fresh4242,qdz_certified,True,825.0,525.0,100.0,0.140625,3b1b365474876c17,808.700692451386,1380.2525680729389,1.7067532907496687,certified exact pole,0.03022647708009449,0.010599140017559995,certification,9.044799335678656e-14,0.9612993650184981,0.038700634981543185,0.9615845337042772,0.9612428102352327,46,True,0.03841546629573721,0.5125956795114939,0.44898885419278334,0.44898885419278334,0.4661432388439589,1329.2277971023454,0.003499836175491766,0.09192307729513889,0.8557846645497009,0.8592845007251927,1.0040896224488123,2.668506458924913e-05,-0.0035265212400810153,"A->T (absorption to transmission, useful)",0.09583212836467814,0.09578845440511746,0.06265729523868004,0.6541215810173109,1.2328142495265175,78.0,False,,,False,,,,True,0.03764455765535092,0.9096702613180555,1399.7277971023454,0.0013790201274164193,0.8370200547948731,"A->T,R",0.003039947952042321,0.867794612308103,0.08647869224182547,0.05494034935579232,0.6355449908515526,False,0.11361473028141103,0.8856869301586874,19.84364901741534,38.79842208893933,,0.000534132608788731,frac_ED_eff,0.03807353146212443,1000.0,9,9,8.638969275928665e-05,2640.850743293762
pilot_h525_Q50_fresh8080,qdz_certified,True,825.0,525.0,50.0,0.236328125,c1794773503bc98e,,,,none,0.19410409734547238,0.12774381187810296,certification,1.5085787819497326e-13,0.7604680577079279,0.23953194229215588,0.7450810457094843,0.6450876624128068,46,True,0.2549189542904668,,,,,1261.2277971023454,0.01473398202809234,0.42948390134410286,0.21911974618570768,0.23385372821380002,1.0672416899187398,-0.00251234771869821,-0.012221634309394158,"A->T (absorption to transmission, useful)",0.7025737770619975,0.7024429262213988,0.6755181245371923,0.9616697660704747,15.52425827812108,10.0,True,,,False,,,,True,0.03400632011166728,0.9611564737822248,1399.2277971023454,-0.010118639614089708,0.17291343044367913,T->R,0.00959141645189382,0.15705591671352476,0.7104888678414694,0.6864206938823542,0.9663414774092017,False,0.7579217838178677,0.21911974618570768,,,,,frac_ED_eff,0.0343062498547238,1000.0,9,9,0.00035086519632121504,1983.4375312328339
pilot_h675_Q100_warm_final1,qdz_certified,True,825.0,675.0,100.0,0.28240966796875,e647a4457d87758f,79.13888358273805,1294.1158455055058,16.352465272681474,certified exact pole,0.04359122990505163,0.029104212375896166,certification,4.226095355788168e-12,0.16562866459577535,0.8343713354116895,0.10299827146616394,0.10007472211851132,18,True,0.8970017285349303,0.07813007006127931,0.024868201404884632,0.5685233239094776,0.6609058590924723,1266.2277971023454,-0.003018605723284773,-0.08730166079181721,0.03408856016353977,0.031069954440254996,0.9114481307276394,0.015517989793663922,-0.01249938407037915,A->R (absorption to reflection; NO transmission opening),0.4323474129381979,0.4322380585442236,0.2969861388181016,0.6870892855162962,6.741501647372111,15.0,False,68.64018885566635,0.5496318713671826,False,,,,False,0.34726524970244976,0.8454946972946901,1295.2277971023454,-0.008342721385568838,0.12496926759086388,"T,A->R",-0.008155908380159033,0.1256801086787555,0.7627701466182819,0.7214236022880984,0.9460062688903386,False,0.9308703088973038,0.12593879748975992,5.332229862119425,12.497790716057473,68.64018885566635,0.0054581691203252035,frac_EQ,0.03457672736012494,1000.0,9,9,0.00040664470934814734,3232.5306828022003
