iteration,F_co,S_ED,S_MD,balance,learning_rate,projection_beta,elapsed_time_s
17,3.143409490585327,21.320627212524414,25.20755958557129,0.8458029084547881,0.019372819894918916,2.1877616239495525,32.30599403381348
18,2.9639666080474854,17.816356658935547,21.069284439086914,0.845608056146534,0.019297764858882512,2.290867652767773,34.03174424171448
19,2.9637608528137207,17.94770622253418,20.906484603881836,0.8584755669157722,0.019218631515885005,2.3988329190194904,35.779258489608765
20,2.9864354133605957,18.47661590576172,21.25017547607422,0.8694806274218231,0.019135454576426007,2.51188643150958,37.55344343185425
21,3.0224218368530273,19.168367385864258,22.011877059936523,0.8708193005834762,0.019048270524660196,2.6302679918953817,39.29921627044678
22,3.063720703125,19.96573829650879,22.952428817749023,0.8698747507308897,0.01895711760239413,2.7542287033381663,41.05342960357666
23,3.1094717979431152,20.876651763916016,24.05426025390625,0.8678983075575946,0.018862035792312146,2.884031503126606,42.8867564201355
24,3.1600422859191895,21.92241859436035,25.344829559326172,0.864966108493425,0.018763066800438634,3.0199517204020156,44.65556740760803
25,3.2187345027923584,23.18662452697754,26.947574615478516,0.860434560728832,0.018660254037844385,3.162277660168379,46.40899085998535
26,3.2908496856689453,24.8138427734375,29.08717918395996,0.8530852241292676,0.018553642601605067,3.3113112148259107,48.157034397125244
27,3.3848211765289307,27.064544677734375,32.182342529296875,0.8409749741832993,0.01844327925502015,3.467368504525316,49.93193197250366
28,3.5115299224853516,30.32684898376465,37.004024505615234,0.8195554237394322,0.018329212407100996,3.630780547701013,51.720359086990356
29,3.6615090370178223,34.3515739440918,44.0960578918457,0.7790168914496856,0.01821149209133704,3.801893963205612,53.501946210861206
30,3.735041856765747,35.02553176879883,50.099273681640625,0.6991225459947852,0.018090169943749474,3.9810717055349727,55.223647117614746
31,3.689082384109497,31.37128448486328,51.02275085449219,0.6148489440392579,0.017965299180241964,4.168693834703354,56.995126724243164
32,3.8954265117645264,40.06937789916992,60.354820251464844,0.6638968972523243,0.017836934573258398,4.365158322401659,58.77136516571045
33,3.8306047916412354,40.36660385131836,52.62581253051758,0.7670495125924963,0.017705132427757894,4.57088189614875,60.56208300590515
34,3.7938413619995117,38.73857116699219,50.95009994506836,0.7603237522351723,0.017569950556517566,4.786300923226383,62.36259484291077
35,3.8699090480804443,37.25104522705078,61.691009521484375,0.6038326413523385,0.017431448254773944,5.011872336272723,64.23349094390869
36,3.9894890785217285,43.92633056640625,66.45097351074219,0.6610336650569106,0.017289686274214115,5.248074602497726,66.02436208724976
37,3.8201045989990234,40.080257415771484,51.90032958984375,0.7722543909165063,0.017144726796328034,5.495408738576246,67.79933524131775
38,4.064063549041748,50.6898193359375,66.84672546386719,0.7582992133748755,0.016996633405133656,5.754399373371569,69.58936285972595
39,3.803277015686035,38.347110748291016,52.45076370239258,0.7311068141137677,0.01684547105928689,6.025595860743578,71.40817832946777
40,4.065387725830078,50.741146087646484,66.95616149902344,0.7578263889632592,0.016691306063588582,6.309573444801932,73.17297005653381
41,3.860269069671631,42.25752639770508,53.34370040893555,0.7921746349382573,0.016534206039901057,6.606934480075958,74.95187878608704
42,3.992161750793457,47.60090255737305,61.64992904663086,0.7721160963764911,0.016374239897486896,6.918309709189365,76.8246238231659
43,3.90781831741333,40.81570816040039,60.737979888916016,0.671996471319062,0.016211477802783106,7.2443596007499025,78.60744333267212
44,3.938762664794922,42.632816314697266,61.86170196533203,0.689163326585946,0.01604599114862375,7.5857757502918375,80.40769124031067
45,3.9951705932617188,47.851165771484375,61.69765853881836,0.7755750688881823,0.015877852522924733,7.943282347242814,82.16135025024414
46,3.910429000854492,44.58378982543945,55.895713806152344,0.7976244829801492,0.01570713567684432,8.31763771102671,83.94016242027283
47,4.009774208068848,49.14958572387695,61.847999572753906,0.7946835154475744,0.015533915492433442,8.709635899560805,85.72274804115295
48,3.957930564880371,46.5693244934082,58.845699310302734,0.7913802544488417,0.015358267949789966,9.120108393559095,87.46436548233032
49,3.957066059112549,46.80227279663086,58.4516716003418,0.8007003309783254,0.015180270093731303,9.549925860214355,89.28971695899963
50,4.031444072723389,50.615238189697266,62.71715545654297,0.8070397616289854,0.015,9.999999999999998,91.14938640594482
