lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol,substrate,order
1342.5,-4.900524920744899e-31,2.262867324312327e-30,1.0203067823509439e-25,6.752162008535312e-26,-4.807179219795194e-37,-1.5318271879338968e-37,2.659901014005088e-32,-6.88156447775626e-32,7.558953807991306e-24,3.0282715039058027e-24,-1.7560438845615396e-38,-5.768904644032527e-39,1.63969475933886e-34,6.040516640813875e-34,-6.797812666075997e-22,-2.1786108701276497e-22,2.343808193731536e-40,-4.775724911438516e-41,1.7423187516787215e-12,1.8411081144750845e-12,1.2509122030749153e-12,2.461887295774089e-13,5.08052779880613e-12,1.8128359930624076e-12,1.2180787513331755e-12,7.383547306060791,8.50325870513916,7.108067512512207,8.20894718170166,silica,11
1332.5,1.3303263640655927e-30,9.132926414361215e-31,-1.6870455720711537e-25,4.0061807772190957e-25,-3.6701001581221155e-37,-7.91804582684906e-37,1.258786271470363e-31,-5.397592377395196e-32,8.357575486810875e-24,1.0186645246515422e-23,-1.688153870786279e-38,-2.1004499521122867e-38,4.3452856711342167e-33,3.97267803052566e-35,-5.210918181123491e-22,-1.1295172027173367e-21,-6.105446297502787e-41,-2.05437395382474e-39,8.773891429084079e-13,5.7603221423791405e-12,3.840787026869943e-12,1.17346448993633e-12,1.1651962802093822e-11,5.670867844828592e-12,1.5722821074348492e-12,51.17280578613281,58.482513427734375,49.299442291259766,55.93174743652344,silica,13
1322.5,4.268840162873433e-31,1.742722633782319e-30,-2.694696522149091e-26,-7.433471772206526e-27,-2.1107598959197005e-37,5.096183313282112e-38,-2.7447587074622968e-33,-1.15976316259058e-32,5.888832637002155e-24,1.5847615873895315e-24,-3.496656273119823e-39,6.9139269756349365e-40,1.1116127272301952e-34,-4.101587758577737e-34,-2.8386230612467777e-22,6.824425596127322e-23,-6.133456553057332e-41,-1.6630780689161086e-41,1.109993511862122e-12,3.271181384568688e-13,2.214537262125308e-13,3.3382481661242384e-14,1.691947858192764e-12,3.6703455766776153e-13,9.304791552991813e-13,0.8245442509651184,0.7577800750732422,0.7814633846282959,0.7206870913505554,air,11
1324.5,4.352403302233913e-31,1.7428022556731015e-30,-2.612973950373581e-26,-7.747049383054974e-27,-2.1009600459450034e-37,5.175710057002588e-38,-2.7312933048651468e-33,-1.1356297936507283e-32,5.8741344777736e-24,1.577884253986738e-24,-3.436785636235489e-39,6.961149328244237e-40,1.1129861198204984e-34,-4.0905871443917755e-34,-2.8267211439532015e-22,6.936443355195292e-23,-6.208339914264718e-41,-1.6431980074713898e-41,1.1058663547745813e-12,3.231627585042546e-13,2.1850387647164803e-13,3.283672020757349e-14,1.6803697099580573e-12,3.6116550093170576e-13,9.286012752187202e-13,0.8181557655334473,0.7495405077934265,0.7753321528434753,0.7128247022628784,air,11
1326.5,4.434665641062472e-31,1.7428141898622e-30,-2.689585111816476e-26,-7.394547768407125e-27,-2.0911389987210365e-37,5.252267155431394e-38,-2.733982745845336e-33,-1.1016125543104419e-32,5.8583565177722004e-24,1.5705883340323334e-24,-3.3610594798575225e-39,6.966303230101671e-40,1.1142922765810354e-34,-4.109411604287834e-34,-2.8141800405939557e-22,7.04109403829456e-23,-6.087935119805221e-41,-1.6584186722624124e-41,1.101685904572768e-12,3.190905743496577e-13,2.1571668488426885e-13,3.2289550331998145e-14,1.6687827141386925e-12,3.553702673643682e-13,9.266505279949027e-13,0.8119328618049622,0.7414453029632568,0.7693625092506409,0.7051010727882385,air,11
1328.5,4.515883365110441e-31,1.7427704709421982e-30,-2.671688356397335e-26,-7.535885264005113e-27,-2.0815748092668123e-37,5.327276941124612e-38,-2.723907195032005e-33,-1.0725860971112477e-32,5.8431184431292334e-24,1.5639305363702623e-24,-3.287819250782835e-39,6.9341595380834475e-40,1.097735192242745e-34,-4.0949676277217e-34,-2.8023542470254418e-22,7.145217723174433e-23,-6.077049057646559e-41,-1.6290527833985393e-41,1.0974743140814864e-12,3.1522687603750474e-13,2.129366959236435e-13,3.1765817265330534e-14,1.657403703307965e-12,3.4974708194175345e-13,9.246218454636828e-13,0.8059414029121399,0.7335919737815857,0.7636160254478455,0.6976072192192078,air,11
1330.5,4.596292681973621e-31,1.742720780255854e-30,-2.6481898354250624e-26,-7.417939575045575e-27,-2.0722127650971403e-37,5.401128248172687e-38,-2.738922376963932e-33,-1.044655893104493e-32,5.8278763659205426e-24,1.5569777928999534e-24,-3.215384459908132e-39,7.019829931079811e-40,1.0944763424616846e-34,-4.086310824957482e-34,-2.790758936379834e-22,7.246744491843967e-23,-6.066526478163989e-41,-1.6266610421005416e-41,1.0932960377196158e-12,3.114535770041285e-13,2.102475089788539e-13,3.1257840260602e-14,1.6462549639632001e-12,3.442769081517534e-13,9.225800952352336e-13,0.8002025485038757,0.7259818911552429,0.7581115961074829,0.6903455257415771,air,11
1332.5,4.678704330137743e-31,1.7426735714339904e-30,-2.655057496311075e-26,-7.426988496265072e-27,-2.0628875715720185e-37,5.476379041823228e-38,-2.6865253193023577e-33,-1.0176481220342639e-32,5.812704297925747e-24,1.550049049185359e-24,-3.160812944053285e-39,6.904293978741861e-40,1.1108140835565287e-34,-4.079095541623661e-34,-2.7791014266572157e-22,7.35138937157037e-23,-6.048322241287587e-41,-1.6364938118822e-41,1.0892470569184376e-12,3.077388687266773e-13,2.0761248242167198e-13,3.075952976555513e-14,1.6353579378323423e-12,3.3892596337716955e-13,9.20624730195877e-13,0.7945652604103088,0.7183443307876587,0.7527061104774475,0.683057427406311,air,11
1334.5,4.757772736467348e-31,1.7425098716940132e-30,-2.5939275447228205e-26,-7.546737288949985e-27,-2.053733615907962e-37,5.54778091542211e-38,-2.6849692835570134e-33,-9.950949222263415e-33,5.7970852090914645e-24,1.5432952867595492e-24,-3.094120031494995e-39,6.9672370831481006e-40,1.0964116200401463e-34,-4.061544841490865e-34,-2.7677472954764275e-22,7.449932901055267e-23,-6.081032394406339e-41,-1.6114942845702553e-41,1.085021903347633e-12,3.041068558352863e-13,2.050306507013816e-13,3.0275170377704036e-14,1.624434580262005e-12,3.3368902952627194e-13,9.184707420662806e-13,0.7891383767127991,0.7110021710395813,0.7475048899650574,0.676051676273346,air,11
1336.5,4.83601698731546e-31,1.7422562387604586e-30,-2.6520888024182976e-26,-7.469253694335645e-27,-2.044660391828308e-37,5.617603030237879e-38,-2.6808339762778673e-33,-9.636846381873804e-33,5.7823742888381905e-24,1.5369081408600205e-24,-3.0131631553554e-39,7.019334887824562e-40,1.0796193072063301e-34,-4.087126444171147e-34,-2.756470552908454e-22,7.546695050854611e-23,-6.01781557273457e-41,-1.5860883307416897e-41,1.0807289058084513e-12,3.005324538330392e-13,2.0250098724118176e-13,2.9801757873884456e-14,1.6135641047565567e-12,3.285534197440404e-13,9.162220352557726e-13,0.7838428616523743,0.703765869140625,0.742431640625,0.6691468954086304,air,11
1338.5,4.914321884207966e-31,1.741986494245723e-30,-2.6806201491227983e-26,-7.08543882037873e-27,-2.0357425146451713e-37,5.68728045339167e-38,-2.7090644128496588e-33,-9.36297515419279e-33,5.7672800763746826e-24,1.53015304262141e-24,-2.9598403706792055e-39,6.918977166289137e-40,1.084228917301072e-34,-4.089312289582408e-34,-2.7453465748394636e-22,7.642763976373516e-23,-5.96886096976618e-41,-1.607349739551428e-41,1.0764822856151187e-12,2.9703547696413125e-13,2.0004785466213196e-13,2.934120020297156e-14,1.6029068174443534e-12,3.235520370160091e-13,9.139768780906734e-13,0.778730571269989,0.696681559085846,0.737534761428833,0.6623872518539429,air,11
1340.5,4.990073788829659e-31,1.741545811290546e-30,-2.6794506829888755e-26,-7.320140177712782e-27,-2.0268125353542348e-37,5.753609288866585e-38,-2.658350988728552e-33,-9.14472687311779e-33,5.752058669250886e-24,1.5233888012948645e-24,-2.8965945845346434e-39,6.9380696839885585e-40,1.0764399293572035e-34,-4.095617561455779e-34,-2.7342723425521895e-22,7.736228460374167e-23,-5.92929183513104e-41,-1.5908608428922753e-41,1.0720200755808645e-12,2.935830802147605e-13,1.975844258987006e-13,2.888765775681884e-14,1.5920752394511445e-12,3.1860500342025464e-13,9.11512834074495e-13,0.7736626267433167,0.6896762847900391,0.7326853275299072,0.6557029485702515,air,11
1342.5,5.067370023928219e-31,1.741169746927449e-30,-2.5806618577205353e-26,-7.191231301798006e-27,-2.0180432636627103e-37,5.820876513027875e-38,-2.614251121381047e-33,-8.93830759140761e-33,5.737633173087707e-24,1.5169837775714693e-24,-2.852490548588874e-39,6.854660407314136e-40,1.0798013836761885e-34,-4.039635526881326e-34,-2.7235194551938164e-22,7.829685854565968e-23,-5.991693189628769e-41,-1.5703563919725695e-41,1.0677437147489877e-12,2.9024225226900506e-13,1.951816167292874e-13,2.8448855932721845e-14,1.5816164396800018e-12,3.137968951881427e-13,9.091830995167171e-13,0.7687940001487732,0.682781994342804,0.7280252575874329,0.6491241455078125,air,11
1332.5,4.687338217319359e-31,1.740098954055337e-30,-3.1693152850263686e-26,-9.079043026560099e-27,-2.0655936257498004e-37,5.502573888061485e-38,-2.6779591628947094e-33,-9.564833883090685e-33,5.807318492134312e-24,1.5481911053493748e-24,-3.1354979016208434e-39,6.445379082978485e-40,1.217894536992964e-34,-4.4430741376317075e-34,-2.7826518977390593e-22,7.384571119581497e-23,-6.176977455374816e-41,-1.639838874799393e-41,1.0865137597674241e-12,3.0865565816302666e-13,2.0860337682285022e-13,3.092459007741167e-14,1.6346973848307128e-12,3.3996925049955684e-13,9.177159579921186e-13,0.7970651984214783,0.7200769782066345,0.7550678849220276,0.6848281025886536,air,13
