lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol
1325.5,-1.6560407744496006e-31,4.023919149178011e-30,-9.670805987247324e-26,-1.120927579256123e-25,4.412952455881067e-38,-7.216242212473515e-38,2.2158195702747524e-31,-1.74473090091013e-31,1.4464808925683578e-24,4.7569285203638074e-24,-5.61102004938309e-38,-6.077848408135636e-38,4.3283681289018285e-33,2.6678372602603416e-33,1.782442679589746e-23,-1.9105602617666117e-22,1.977534946405574e-39,-6.398543177734879e-40,5.5687877433708094e-12,1.4006752096862975e-13,3.8324065798305294e-14,7.264481625569974e-14,5.819824146393444e-12,1.0749238409395731e-13,6.017241597842086e-12,14.820273399353027,16.859607696533203,14.40986442565918,16.0699405670166
1326.0,-4.8897375586538516e-32,4.0878104994971985e-30,-9.150666416935289e-26,-9.708946096244044e-26,7.090548576236581e-38,-7.853883568884193e-38,1.5422205130059867e-31,-1.766065266782799e-31,1.2808613712347292e-24,4.378972208471676e-24,-5.677537009083338e-38,-4.2876225989991426e-38,2.7711031105668993e-33,2.6941514042858116e-33,5.1304761503865457e-23,-1.7147197376461733e-22,1.9912940390652195e-39,-5.0105696551377426e-40,5.720276850023913e-12,1.2167741581004174e-13,7.179717732952482e-14,8.548891044984843e-14,5.999240353613328e-12,1.245639983753972e-13,6.249248773748493e-12,16.5040225982666,18.61549186706543,16.037078857421875,17.74055290222168
1326.5,1.197467677565996e-31,4.170127931481245e-30,-1.2409473694813724e-25,-1.367367192221883e-25,1.0895190116803263e-37,-9.293552059276282e-38,9.144043679160649e-32,-1.4853536198929961e-31,7.479737048362308e-25,4.177420456189287e-24,-4.981663676095267e-38,-2.61701375141386e-38,1.7436267291560898e-33,3.223805757534309e-33,1.147317228488003e-22,-1.6507783966363395e-22,2.158318422435519e-39,-3.952306859060424e-40,5.93891955505595e-12,1.5324165293004213e-13,1.2784871189855967e-13,1.1438385874954684e-13,6.334393778634098e-12,1.8096680224824887e-13,6.587219826605057e-12,19.019495010375977,21.316661834716797,18.465288162231445,20.30870246887207
1327.0,3.145543538730988e-31,4.2277180669523084e-30,-1.3528309603577508e-25,-1.5875593250594174e-25,1.4529626642028856e-37,-1.1542643627059065e-37,7.491625918093389e-32,-1.299259809999076e-31,3.1915737341098495e-25,4.437739316276063e-24,-4.541404824386167e-38,-2.150350261857917e-38,1.817879029752447e-33,3.598192557103129e-33,1.6947146345653208e-22,-1.8943886685878244e-22,2.2719948831163185e-39,-4.31721850652037e-40,6.1205486145624095e-12,2.4457561252497803e-13,2.073345607287009e-13,1.5334839491699776e-13,6.725807182733086e-12,2.8186383820869064e-13,6.89554149431019e-12,21.8270206451416,24.463464736938477,21.173969268798828,23.3033390045166
1327.5,5.535673078056262e-31,4.278386737343525e-30,-1.8951235314540282e-25,-1.6371101399064381e-25,1.8855722796745966e-37,-1.4849565513038243e-37,4.218652429527777e-32,-9.271730566464074e-32,-2.1084979794414343e-25,4.7519778749279365e-24,-3.6338249101403654e-38,-1.235225416278442e-38,1.3294890957900434e-33,4.325501084368575e-33,2.428005113922875e-22,-2.218528393374356e-22,2.4447589445855385e-39,-5.456097935405787e-40,6.324056171254225e-12,4.0882963714086294e-13,3.271742606467965e-13,2.1170124172560748e-13,7.2717613107674925e-12,4.4951494796560866e-13,7.259434958413877e-12,25.587770462036133,28.665966033935547,24.800724029541016,27.30296516418457
1328.0,8.458025479276943e-31,4.288859274549055e-30,-2.20461768328502e-25,-1.5475337010029729e-25,2.318054477248803e-37,-1.9713571940108965e-37,3.8490344035459054e-32,-7.480845248952384e-32,-6.035439046796373e-25,5.498163068899388e-24,-3.2493089174570776e-38,-1.0557050359536887e-38,1.6702821798357023e-33,4.6770042069111276e-33,3.0796192009904976e-22,-2.887160412038538e-22,2.5408328290938965e-39,-7.142525692833996e-40,6.482518249508339e-12,6.72455446925104e-13,5.073720094265055e-13,2.9148939866215603e-13,7.953835104522105e-12,7.1180051100236e-13,7.603219750861165e-12,30.286834716796875,33.9976806640625,29.331308364868164,32.38203430175781
1328.5,1.1922915391173048e-30,4.242228236029045e-30,-2.681662889694242e-25,-1.6092242863285318e-25,2.7286357887735805e-37,-2.649873912695866e-37,4.1623811505337473e-32,-5.694532630022561e-32,-8.556843022688708e-25,6.474652327326048e-24,-2.8638565517721455e-38,-1.0235493166360392e-38,2.4461809114012837e-33,4.7800421376621476e-33,3.6908246083629003e-22,-3.837735910341688e-22,2.6121615906056163e-39,-9.608474243319562e-40,6.576463118580639e-12,1.0682132828612332e-12,7.737465047625503e-13,3.9991915944969227e-13,8.818342065654116e-12,1.1027806640492875e-12,7.908391057709002e-12,36.176822662353516,40.699405670166016,35.00786209106445,38.77040481567383
1329.0,1.5840739373130493e-30,4.1021045668539275e-30,-3.291773334077617e-25,-1.297389738295467e-25,3.0453652604932427e-37,-3.5648234493868933e-37,4.2239592263593593e-32,-3.475815427476435e-32,-9.308876363694836e-25,7.537198726059172e-24,-2.3440695873645653e-38,-8.751756741370498e-39,2.982461734217512e-33,5.003274078201835e-33,4.1775739354306875e-22,-5.08958335936132e-22,2.6283503543464777e-39,-1.3302254048491031e-39,6.538347033045989e-12,1.6311221700035147e-12,1.1644925459225966e-12,5.429515392585022e-13,9.876913288230602e-12,1.6659210962086201e-12,8.097095429939263e-12,43.34856033325195,48.8742561340332,41.91701126098633,46.56953430175781
1329.5,1.9828344187938592e-30,3.835623509610535e-30,-3.860697176691586e-25,-5.748694554036666e-26,3.1341322540272623e-37,-4.6971136277689345e-37,5.058272427821193e-32,-2.0675049508811796e-32,-6.126180959112613e-25,8.891515757312112e-24,-2.0182354372547953e-38,-8.748032416284666e-39,3.649547080364702e-33,4.9561083586326296e-33,4.3393776896815065e-22,-6.695557767831679e-22,2.524754479379012e-39,-1.7382230221816646e-39,6.294607697726033e-12,2.3913974807769125e-12,1.6606322312193701e-12,7.183025224996634e-13,1.1064939932221978e-11,2.40778283712551e-12,8.061153611036421e-12,51.17265319824219,57.82806396484375,49.44828796386719,55.11773681640625
1330.0,2.3455965617555165e-30,3.38521821801461e-30,-4.259000930340131e-25,9.752903679818559e-27,2.821667971555312e-37,-6.0573069744161286e-37,6.749610797609232e-32,-8.757240346136452e-33,1.9816457701110034e-25,1.0407605316784145e-23,-1.661576364441951e-38,-1.0593890236228756e-38,4.5068428740995105e-33,4.586221367728527e-33,3.92295043234686e-22,-8.618852516577537e-22,2.3151886632404757e-39,-2.1179017220449444e-39,5.718720781335376e-12,3.3635105513897906e-12,2.305740327484709e-12,9.241624705476192e-13,1.2312134130757494e-11,3.3620668329300943e-12,7.634203112429041e-12,59.213138580322266,67.06583404541016,57.18034744262695,63.949676513671875
1330.5,2.5492670738169463e-30,2.7831207083338026e-30,-4.456057595528015e-25,1.0346713141095463e-25,1.9753400070634907e-37,-7.360106954252275e-37,9.074217957249207e-32,-6.1428644826688054e-33,1.7995426716080655e-24,1.1624459151484892e-23,-1.467397176762848e-38,-1.4231217689558678e-38,5.367870782328337e-33,3.5217879862254045e-33,2.7366472847933997e-22,-1.0465817982642555e-21,1.8530656915990033e-39,-2.4320109263652978e-39,4.796922262072707e-12,4.382693292118776e-12,2.982929442299363e-12,1.116881681603439e-12,1.3279426678094285e-11,4.362003828711002e-12,6.724572928412327e-12,65.15364837646484,73.95222473144531,62.880008697509766,70.55133819580078
1331.0,2.523690466622662e-30,2.1536346860929545e-30,-3.824196571693764e-25,2.4576790339795134e-25,7.100747007852309e-38,-8.285581388032689e-37,1.0399314137023828e-31,-6.688973897860355e-33,3.445324247822601e-24,1.2181242645927039e-23,-1.264746396160528e-38,-1.5515557392367852e-38,5.362534366688039e-33,3.159333828954427e-33,9.89329229860717e-23,-1.1784178039739258e-21,1.3506292495130827e-39,-2.6371072643463894e-39,3.702657696957196e-12,5.2295699097387534e-12,3.529007006231822e-12,1.2507249939329047e-12,1.3711959606860675e-11,5.181951680989446e-12,5.482252537978023e-12,67.26615142822266,76.49453735351562,64.88526153564453,73.01421356201172
