# xy-averaged squared field magnitudes vs z from final3/prod/fields_normalized.npz, lambda = 1302.2820 nm
# z_nm is the FDTDX domain coordinate (z=0 at the domain bottom, inside the glass PML); +z: glass -> ITO -> a-Si:H -> air
# E normalized to the incident Ex phasor; Dz in units of eps0*E_inc
z_nm,dz_nm,region,E2_xyavg,Ex2_xyavg,Ey2_xyavg,Ez2_xyavg,Dz2_xyavg
1805.2656,12.8497,aSi,1.31838780e+00,8.47413559e-01,1.86287900e-01,2.84686341e-01,7.25462645e+00
1818.1153,12.8497,aSi,1.25521204e+00,8.16170623e-01,1.77369689e-01,2.61671726e-01,8.31024958e+00
1830.9651,12.8497,aSi,1.20871872e+00,7.88900433e-01,1.70356183e-01,2.49462102e-01,9.35256086e+00
1843.8148,12.8497,aSi,1.17499218e+00,7.66800214e-01,1.64704266e-01,2.43487700e-01,1.03231320e+01
1856.6646,12.8497,aSi,1.15202113e+00,7.51308607e-01,1.60107607e-01,2.40604918e-01,1.11674520e+01
1869.5143,12.8497,aSi,1.13866817e+00,7.43723940e-01,1.56378404e-01,2.38565826e-01,1.18380290e+01
1882.3640,12.8497,aSi,1.13410186e+00,7.44953762e-01,1.53386519e-01,2.35761582e-01,1.22971638e+01
1895.2138,12.8497,aSi,1.13747192e+00,7.55356513e-01,1.51026153e-01,2.31089251e-01,1.25191034e+01
1908.0635,12.8497,aSi,1.14773223e+00,7.74660576e-01,1.49197224e-01,2.23874431e-01,1.24914289e+01
1920.9133,12.8497,aSi,1.16356504e+00,8.01953696e-01,1.47795484e-01,2.13815860e-01,1.22155281e+01
1933.7630,12.8497,aSi,1.18337843e+00,8.35733528e-01,1.46708272e-01,2.00936625e-01,1.17061848e+01
1946.6127,12.8497,aSi,1.20536232e+00,8.74015505e-01,1.45814333e-01,1.85532486e-01,1.09902766e+01
1959.4625,12.8497,aSi,1.22758397e+00,9.14481978e-01,1.44986696e-01,1.68115301e-01,1.01046961e+01
1972.3122,12.8497,aSi,1.24811107e+00,9.54661679e-01,1.44097452e-01,1.49351939e-01,9.09371999e+00
1985.1619,12.8497,aSi,1.26514815e+00,9.92125296e-01,1.43023787e-01,1.29999066e-01,8.00593201e+00
1998.0117,12.8497,aSi,1.27717222e+00,1.02468024e+00,1.41654446e-01,1.10837536e-01,6.89094970e+00
2010.8614,12.8497,aSi,1.28305448e+00,1.05054759e+00,1.39896026e-01,9.26108666e-02,5.79625251e+00
2023.7112,12.8497,aSi,1.28215528e+00,1.06850594e+00,1.37678431e-01,7.59709185e-02,4.76430881e+00
2036.5609,12.8497,aSi,1.27438745e+00,1.07799561e+00,1.34958914e-01,6.14329305e-02,3.83012631e+00
2049.4106,12.8497,aSi,1.26023532e+00,1.07916719e+00,1.31724345e-01,4.93437921e-02,3.01945620e+00
2062.2604,12.8497,aSi,1.24073220e+00,1.07287503e+00,1.27991558e-01,3.98656114e-02,2.34778514e+00
2075.1101,12.8497,aSi,1.21739294e+00,1.06061294e+00,1.23805652e-01,3.29743482e-02,1.82010619e+00
2087.9599,12.8497,aSi,1.19210677e+00,1.04439752e+00,1.19236224e-01,2.84730178e-02,1.43144926e+00
2100.8096,12.8497,aSi,1.16699721e+00,1.02660680e+00,1.14371803e-01,2.60186098e-02,1.16813754e+00
2113.6593,12.8497,aSi,1.14426087e+00,1.00978760e+00,1.09313110e-01,2.51601529e-02,1.00965025e+00
2126.5091,12.8497,aSi,1.12599384e+00,9.96443999e-01,1.04165353e-01,2.53844906e-02,9.30898041e-01
2139.3588,12.8497,aSi,1.11402139e+00,9.88825034e-01,9.90300050e-02,2.61663466e-02,9.04729781e-01
2152.2085,12.8497,aSi,1.10974127e+00,9.88725460e-01,9.39965751e-02,2.70192395e-02,9.04485648e-01
2165.0583,12.8497,aSi,1.11399696e+00,9.97317988e-01,8.91353002e-02,2.75436734e-02,9.06388239e-01
2177.9080,12.8497,aSi,1.12698606e+00,1.01502510e+00,8.44904353e-02,2.74705221e-02,8.91612471e-01
2190.7578,12.8497,aSi,1.14821504e+00,1.04144193e+00,8.00743437e-02,2.66987621e-02,8.47899283e-01
2203.6075,12.8497,aSi,1.17650395e+00,1.07531198e+00,7.58615167e-02,2.53304558e-02,7.70660507e-01
2216.4572,12.8497,aSi,1.21004193e+00,1.11454832e+00,7.17802859e-02,2.37133326e-02,6.63595498e-01
2229.3070,12.8497,aSi,1.24649142e+00,1.15627331e+00,6.76936258e-02,2.25244876e-02,5.39058611e-01
2242.1567,12.8497,aSi,1.28315662e+00,1.19680272e+00,6.33388393e-02,2.30150600e-02,4.18938429e-01
2255.0065,12.8497,aSi,1.31744667e+00,1.23128355e+00,5.80908408e-02,2.80722827e-02,3.39621388e-01
2267.8562,12.8497,aSi,1.35494751e+00,1.25202957e+00,5.00732097e-02,5.28447339e-02,3.97242555e-01
2282.6600,16.7578,air,1.46521314e+00,1.25170004e+00,3.53069741e-02,1.78206130e-01,1.78206130e-01
2301.9315,21.7852,air,1.39730507e+00,1.25950485e+00,2.07618308e-02,1.17038388e-01,1.17038388e-01
2325.7147,25.7813,air,1.38305106e+00,1.29172140e+00,1.25889626e-02,7.87406999e-02,7.87406999e-02
2351.4959,25.7813,air,1.39401863e+00,1.33167969e+00,7.94510659e-03,5.43938383e-02,5.43938383e-02
