tag,stage,P,h,pad_frac,realized_pad_nm,seed,n_iter,order,warm_start,Fz_soft,Fz_hard,Fx_hard,Fy_hard,Ftot_hard,A_hard,R_hard,T_hard,eta_z_hard,identity_resid_hard,mean_Ez2_hard,max_Ez2_hard,Fz_best_history,fill,fill_active,s_flip_lr,s_flip_ud,s_inv,binarization_final,wall_s,warm_from
F3_P750_h500_pad0.08_s1001_h525,stage2,750.0,525.0,0.08,58.59375,1001,100,5,True,0.9347786829371499,0.9345301730152256,0.028077118762643887,0.012162174056296394,0.9747694658341659,0.9749954168150345,0.013476625053125033,0.01152795813184035,0.9587191697838983,-0.00022595098086863885,19.49636959617339,88.01521289104794,0.9475688728306599,0.4017333984375,0.5643004115226338,0.7391471429536162,0.3546796158503143,0.7416096055537098,0.0008758863863200996,107.15416407585144,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P750_h500_pad0.08_s1001/rho_raw_final.npy
SCRATCH_s4096_P825_h600_pad0.12,stage2,825.0,600.0,0.12,96.6796875,4096,150,5,False,0.9300810413605467,0.9294754616828309,0.027163587472177512,0.013210705649907162,0.9698497548049155,0.970056295182384,0.014931860199177634,0.015011844618438356,0.958370569336066,-0.0002065403774684782,19.39091712049744,112.0572420561975,0.9552309596821756,0.27947998046875,0.476780508121616,1.0081562984374282,0.37792319924737783,1.0064218347039464,0.0015690084203725434,159.3618733882904,
F3_P750_h500_pad0.08_s1001_centre,stage2,750.0,500.0,0.08,58.59375,1001,100,5,True,0.9293081877286794,0.9293052728115272,0.02852652548030371,0.011275244934351291,0.9691070432261822,0.9693231917746011,0.016177713091504235,0.01449909513389453,0.9589294385043845,-0.00021614854841889297,19.38736660363677,85.08005303798176,0.9430689362958156,0.4307861328125,0.6051097393689986,0.609270034136773,0.3085629724425723,0.6152865191993206,0.0009657733493102957,109.53059554100037,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P750_h500_pad0.08_s1001/rho_raw_final.npy
F3_P750_h500_pad0.08_s1001_pad0.04,stage2,750.0,500.0,0.04,29.296875,1001,100,5,True,0.9294915263978885,0.9293052311721559,0.028548897396717725,0.011303189780709117,0.9691573183495826,0.9693734862833401,0.01598759256173878,0.014638921154921214,0.9588796509886626,-0.00021616793375744958,19.387365734947245,85.0537785459825,0.9429931868096986,0.4310302734375,0.5071818442976156,0.6081668300979421,0.3093922931339659,0.6141907247664401,0.00082387090719683,110.30337429046631,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P750_h500_pad0.08_s1001/rho_raw_final.npy
F3_P750_h500_pad0.08_s1001_pad0.12,stage2,750.0,500.0,0.12,87.890625,1001,100,5,True,0.9285225771953524,0.928525180836484,0.028595133766171364,0.012059598545241383,0.9691799131478969,0.9694024570386484,0.017129190921943982,0.013468352039407624,0.9580524402539811,-0.00022254389075149206,19.37109215696441,86.8850613055216,0.9431817140800814,0.42413330078125,0.7235526863806747,0.6198612316213344,0.20144820330702418,0.6203253733798325,0.0006068771594723548,114.98172640800476,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P750_h500_pad0.08_s1001/rho_raw_final.npy
F3_P750_h500_pad0.08_s1001_P725,stage2,725.0,500.0,0.08,56.640625,1001,100,5,True,0.9216957874597942,0.9218817772482072,0.032684229206631485,0.013084408213638663,0.9676504146684773,0.9678858383546415,0.012099736438623538,0.020014425206734975,0.952701268219938,-0.0002354236861641379,19.232496041532748,80.63989619115281,0.9373189890746377,0.4718017578125,0.6627229080932785,0.5585973933572007,0.2263381938775733,0.5645866500207298,0.0009088637912613626,113.0514304637909,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P750_h500_pad0.08_s1001/rho_raw_final.npy
F3_P750_h500_pad0.08_s1001_h475,stage2,750.0,475.0,0.08,58.59375,1001,100,5,True,0.9206260826806267,0.9206975915295964,0.029645970411847297,0.011582250361969203,0.9619258123034129,0.9621413444422001,0.022314125861070608,0.015544529696729252,0.9571399163568634,-0.00021553213878722222,19.207791304214254,83.15597353371066,0.9363825108327156,0.4461669921875,0.6267146776406035,0.5638445323267284,0.2836155082112895,0.5710766944739316,0.0012608999552597274,115.15959596633911,/home/user/ENZ/enz_jz_inverse_design/outputs/stage1/runs/P750_h500_pad0.08_s1001/rho_raw_final.npy
CTRL_robustP925_at_P825_h600_pad0.12,stage2,825.0,600.0,0.12,96.6796875,0,100,5,True,0.8782065931976456,0.8781892269762809,0.020758202892458257,0.005758656447069463,0.9047060863158086,0.9048811574552172,0.04397434878155485,0.051144493763227966,0.9706900840608788,-0.0001750711394086224,18.32097265438259,95.25984128781516,0.8771875978782365,0.2572021484375,0.4387755102040816,0.9370302176857446,0.7939017691026631,0.8192047030595896,0.0003058962872603848,110.72932028770447,/home/user/ENZ/enz_robust_aito_campaign/outputs/stage4/runs/finalist1_P925_h240_pad0.040_warm/rho_raw_final.npy
CTRL_directEz_at_P825_h600_pad0.12,stage2,825.0,600.0,0.12,96.6796875,0,100,5,True,0.5099517874310228,0.5099561802089089,0.026988060083821177,0.0009153781325610072,0.5378596184252911,0.5379551647432381,0.21919768315598698,0.24284715210077484,0.9481213363849921,-9.554631794705948e-05,10.638815582729942,49.953715492421196,0.518518070343566,0.3468017578125,0.5916284881299458,0.2431750556873655,0.32818981295325655,0.36185606244207424,0.00032858337746728797,112.66067433357239,/home/user/ENZ/enz_direct_enz_excitation/outputs/geometries/rho_hard_binary.npy
CTRL_robustP800_at_P825_h600_pad0.12,stage2,825.0,600.0,0.12,96.6796875,0,100,5,True,0.36531413865895773,0.35233631443235836,0.029719700999111722,0.008690183141856954,0.39074619857332704,0.39081114106131287,0.4002913095750218,0.20889754936366534,0.9017011956067419,-6.494248798583069e-05,7.350516020433408,26.072671797744572,0.3680773842339581,0.50146484375,0.8554768846314036,0.5418242474202335,0.5323058912228705,0.19980516312959096,0.003971312998653998,110.73267340660095,/home/user/ENZ/enz_robust_aito_campaign/outputs/stage4/runs/finalist0_P800_h200_pad0.040_warm/rho_raw_final.npy
