h_nm,t_re,t_im,r_re,r_im,tbg_re,tbg_im,rbg_re,rbg_im,T,R,A
252.5,-0.2587355375289917,-0.8653090596199036,-0.4040463268756866,0.1440057605504989,0.364536702632904,0.9122208952903748,0.1869918406009674,0.0,0.8158793492372662,0.1841791479212138,-5.8497158480025346e-05
255.0,-0.1988412886857986,-0.8667013049125671,-0.4434206783771515,0.1111140251159668,0.3537580370903015,0.9164547324180604,0.1869918406009674,0.0,0.7909001248999821,0.2091581204356915,-5.8245335673584586e-05
257.5,-0.1407478898763656,-0.8636638522148132,-0.4779929220676422,0.0738858431577682,0.3429301977157593,0.9205611944198608,0.1869918406009674,0.0,0.7659320863142941,0.2341281482920318,-6.02346063258985e-05
260.0,-0.0846674665808677,-0.8566251397132874,-0.5075268745422363,0.0330141298472881,0.3320547938346863,0.9245396852493286,0.1869918406009674,0.0,0.7411982076402907,0.258866783028824,-6.499066911463958e-05
262.5,-0.0307242572307586,-0.8459746837615967,-0.5318812131881714,-0.0108644859865307,0.3211331665515899,0.9283897280693054,0.1869918406009674,0.0,0.7168572386470399,0.2832095442038509,-6.678285089078972e-05
265.0,0.0210212711244821,-0.8320541977882385,-0.5509902238845825,-0.0571760386228561,0.3101669251918793,0.9321107268333436,0.1869918406009674,0.0,0.693015159899745,0.3070520115260911,-6.717142583612112e-05
267.5,0.0705569609999656,-0.8151454925537109,-0.5648412704467773,-0.1054118797183036,0.2991575598716736,0.9357022643089294,0.1869918406009674,0.0,0.6697222514479186,0.3303459477660735,-6.819921399214834e-05
270.0,0.1179072260856628,-0.7954652309417725,-0.5734487771987915,-0.1551333963871002,0.2881067395210266,0.9391636848449708,0.1869918406009674,0.0,0.6469790159933335,0.3530901128699528,-6.912886328630519e-05
272.5,0.163118228316307,-0.7731582522392273,-0.5768330097198486,-0.2059789896011352,0.2770157754421234,0.9424946904182434,0.1869918406009674,0.0,0.6247396117365405,0.3753293989344007,-6.901067094117197e-05
275.0,0.2062510997056961,-0.7482728958129883,-0.5750048160552979,-0.2576737403869629,0.2658862769603729,0.9456946849822998,0.1869918406009674,0.0,0.6028978858295816,0.397171173778112,-6.905960769360009e-05
277.5,0.2473913431167602,-0.7206971049308777,-0.567880392074585,-0.3100969493389129,0.2547198832035064,0.948763370513916,0.1869918406009674,0.0,0.58127905453698,0.4187847816341865,-6.383617116650919e-05
280.0,0.2866170108318329,-0.6897303462028503,-0.5548754930496216,-0.3635546863079071,0.2435180693864822,0.9517000317573548,0.1869918406009674,0.0,0.5595775034661989,0.4404804890622974,-5.799252849636449e-05
282.5,0.3185435831546783,-0.6525329947471619,-0.5297597646713257,-0.414363831281662,0.2322825342416763,0.9545044898986816,0.1869918406009674,0.0,0.5395247828940104,0.460468686875544,6.530230445611629e-06
285.0,0.3510221540927887,-0.6238374710083008,-0.5138043165206909,-0.4611436426639557,0.221014603972435,0.9571763277053832,0.1869918406009674,0.0,0.5172919736703695,0.4827643946392171,-5.6368309586607435e-05
287.5,0.3821107447147369,-0.5930195450782776,-0.4855441153049469,-0.5120865702629089,0.2097159475088119,0.9597151875495912,0.1869918406009674,0.0,0.498291943794586,0.501787712722475,-7.965651706109966e-05
290.0,0.4156257212162018,-0.5505817532539368,-0.452996164560318,-0.5638325810432434,0.1983881592750549,0.9621205925941468,0.1869918406009674,0.0,0.4759735693435198,0.5240887957280885,-6.236507160839455e-05
292.5,0.4422794878482818,-0.5055813789367676,-0.4127885997295379,-0.6144282221794128,0.18703293800354,0.9643924236297609,0.1869918406009674,0.0,0.4513855970961048,0.5486702074576406,-5.580455374543103e-05
295.0,0.4647285938262939,-0.4572598040103912,-0.3655321896076202,-0.6637026071548462,0.1756516098976135,0.96653014421463,0.1869918406009674,0.0,0.4252505332010377,0.5747964766605337,-4.700986157135656e-05
297.5,0.4823203980922699,-0.4049800932407379,-0.3105646073818207,-0.711407482624054,0.1642458438873291,0.9685335755348206,0.1869918406009674,0.0,0.3968474499020258,0.6031958318509508,-4.3281752976631616e-05
300.0,0.4938108026981354,-0.3483770191669464,-0.2468683421611786,-0.7569912672042847,0.1528172641992569,0.9704024791717528,0.1869918406009674,0.0,0.3654292592966051,0.6346020701467392,-3.1329443344274566e-05
