lam_nm,T_full,R_full,T_A_EDonly,R_A_EDonly,T_B_ED_EQ,R_B_ED_EQ,T_C_ED_EQ_MD,R_C_ED_EQ_MD,T_D_plus_2nd,R_D_plus_2nd,T_X_exact_integral,R_X_exact_integral,T_noED,R_noED,T_noEQ,R_noEQ
1319.0,0.04431684933120441,0.7174820313534447,0.35371889081877284,0.23840547884874455,0.05585814967386378,0.22630952056015963,0.020205535537975317,0.48939614617690685,0.02123439835772635,0.4775196868553756,0.05168748925659219,0.6785296023074937,0.3959928661068237,0.6199243862347967,0.060399286761696196,0.17055882901839892
1320.0,0.057455623160256084,0.7051881969180726,0.3596343462242848,0.22659421626216883,0.09121443218464777,0.18566956932502543,0.025797230350362476,0.4969476050254757,0.025905185245441255,0.4872569615286935,0.06221755178520902,0.6673529126925569,0.36120083427259475,0.6799864229667404,0.02534296186352062,0.19753889855206433
1321.0,0.07380490734382766,0.688899479820237,0.3656129607425126,0.21311337111170373,0.14964029754146924,0.15650182983128508,0.03384401366188248,0.506261177404321,0.03289870843509467,0.49915203562127586,0.07469434424758577,0.6525074935224011,0.32282476939098526,0.7505186844925571,0.003405019761029249,0.25493710201737163
1322.0,0.09359662849925066,0.6689745335040308,0.3715556917097091,0.1981375442428603,0.24277217846162985,0.15124111087200118,0.04506950955304235,0.519115592171584,0.042947328857779306,0.5149782733299669,0.0891716093110384,0.6345115820239257,0.28195002210778686,0.8328157924434647,0.008382931080515655,0.3622777391661771
1323.0,0.1184338045714963,0.643220764120457,0.3770564456591447,0.18148654035529987,0.3934148488477107,0.19195144763219632,0.061043837686960055,0.5366707332305285,0.05753176373543004,0.5360823662888679,0.10662967943624659,0.6114027898766651,0.2371081376567065,0.9323156210784797,0.06382649204894872,0.5536078060225036
1324.0,0.1501071881552473,0.6096944519142448,0.38173488003739275,0.16300108902850063,0.6420553086262698,0.3204872632267367,0.08423004716371846,0.562386079212592,0.07905539331119599,0.5661088581268793,0.12782994428861036,0.5817408138345551,0.18831134293677596,1.055966064602884,0.2158230572719029,0.8928872070012618
1325.0,0.19123787305635906,0.5654668915261754,0.3842863389849964,0.1436400970796775,1.0665819696533627,0.6247235142747365,0.11894867109565622,0.6014346503015734,0.11169350015335672,0.610482859200567,0.15413675821650438,0.5433059306918605,0.13588760500185612,1.214286352573659,0.5579932994047405,1.5027480880715165
1326.0,0.24695858345927937,0.5061647071795256,0.38252855753268705,0.125900962331893,1.8249479714193029,1.287909549847996,0.17345788327935366,0.6659779412625275,0.16349248833130045,0.6817173564135914,0.18786758408539872,0.49339576094198284,0.0831693935443555,1.4254023012688397,1.2910861717649271,2.641017558996578
1327.0,0.3243805323723493,0.42555603235414446,0.3705194391425629,0.11864122075315649,3.2607125071069785,2.737546698192396,0.2635130826072055,0.777919612466707,0.24985254267382292,0.8019787850892292,0.23137375064945195,0.4288636595396235,0.0417049313371822,1.714511092971088,2.87553897677304,4.870345623249684
1328.0,0.43332951652500723,0.31967010245939503,0.33319294713167746,0.15041395868163887,6.154226172408066,6.010318537041954,0.4210550375085604,0.9844992848552371,0.40217036816283236,1.0178869752408553,0.2864966689080967,0.35277810008924354,0.05209836264652828,2.1084241771316155,6.4309880723887165,9.50016692739938
1329.0,0.5587033423344463,0.2209201820399686,0.2391996698821268,0.3003357878414562,11.726583476506255,13.001660948874289,0.6773729457813751,1.340375954813023,0.6521906508535504,1.3778737560976762,0.33538759953104896,0.3066485176634139,0.2365639495728532,2.513539981676591,13.994736500914055,18.68081086885713
1330.0,0.573274313851493,0.29083842816294236,0.07737637512661734,0.6708032784148611,19.295871559643746,23.812336733052845,0.9320493668106941,1.7415296692059736,0.9049349890071117,1.7586429698973403,0.2998749922777162,0.43898415798112983,0.7795588657850058,2.4010940536620837,25.65005554360591,31.658061277494472
1331.0,0.33392400188839827,0.628769888015701,0.0015087204390454342,1.000019356107102,20.46091021495639,27.640916680251888,0.8203402695833476,1.6618073148844448,0.8029372996553297,1.6340706926234667,0.1385452442057551,0.7724759053718427,1.3191825074498216,1.3166130205659878,29.741696762162945,34.496963814247145
1332.0,0.10681547222680086,0.8774115377746623,0.07534038980968397,0.9815739129292976,14.935885369053091,21.76980244724927,0.4929080749580426,1.2297958210827367,0.48577210676084986,1.178621427779501,0.026551257657504313,0.9624429740083275,1.3324865037648488,0.4118220697927765,23.376054043574673,25.793639999598717
1333.0,0.01795249742007935,0.9511388196215657,0.16522040583648917,0.8453218129541636,10.062478354275918,15.635599620641909,0.2716744117667162,0.9105081227352687,0.26895686691563325,0.8571940388090455,0.0007486849091129934,0.9908722316050566,1.1379534146043389,0.08834842452020866,16.764539105700752,17.760078089684793
1334.0,0.00018368325731829414,0.9496462252792076,0.22879922548004322,0.7244811986226019,7.0319644976220514,11.543884186169386,0.15487238618548957,0.7256501687062228,0.15332057623543052,0.6767846910382,0.009531086484660212,0.9632743748930581,0.9502898773935238,0.030868004597411562,12.359104751793065,12.648169971246928
1335.0,0.008752396473299515,0.9277010575562057,0.2713988349196102,0.6368594284578211,5.2294474418856005,8.986190422060114,0.09474315482639856,0.6214583392739157,0.09310325686512702,0.5777951289712933,0.02791901629385963,0.926749851436135,0.8074381310243881,0.06031076004328892,9.616405965629848,9.563477917151406
1336.0,0.026817050673786154,0.899363043817564,0.300940266144587,0.5720255133062433,4.079308544248182,7.289234100052396,0.06214211398057853,0.5552413286975949,0.05993319749843198,0.5164479981772936,0.048257012675163614,0.8895237593929379,0.6971460188811712,0.11485206605977132,7.800152504800762,7.565826972574872
1337.0,0.04825128847060178,0.8712923582920666,0.3227026453304616,0.5233762078807991,3.3129841537591354,6.117026291412088,0.044342975422467366,0.5114912934429146,0.041401501939176494,0.476901814286543,0.06833702649563803,0.8561170542127498,0.6113624018571279,0.17368672494757767,6.551189788953679,6.219130549944012
1338.0,0.07105350033597178,0.8441446897243531,0.3396367318354178,0.4851439889076718,2.7713050947630085,5.260491046658034,0.034820221311649475,0.4797885186588094,0.031080055388230988,0.44889052894510134,0.08784575031724956,0.8254616375864441,0.5414671945139665,0.2310274991285508,5.642284334749059,5.254878095201127
1339.0,0.09410389917386296,0.8180756255605994,0.35279990870292727,0.45464425771890116,2.378960729863883,4.61833847745162,0.030388995727349776,0.4553150223518724,0.025846640769723362,0.4276429893610097,0.10647138151729955,0.7969754968489152,0.48382536394376385,0.28400060061885446,4.964018765976524,4.5467098635044865
1340.0,0.11728796208305266,0.7932306241559957,0.36384819699317916,0.4292447994808155,2.0797125988436735,4.112664873764399,0.029193682092362047,0.4356317612423877,0.02386053145101627,0.4108446125240516,0.12451774738027889,0.7704845049660035,0.43463297437457094,0.3330742258882394,4.433206216728611,3.9998126619161143
1341.0,0.14056402736006113,0.7689074591782121,0.37309653012011773,0.40777439068891613,1.8468413403406443,3.7049971241981354,0.030232653997308668,0.4188370828631123,0.024121662199572926,0.3966586294411612,0.14219381987223054,0.7451473400070066,0.39187629152104786,0.37835364336468685,4.007835923554949,3.567660855338528
