h_nm,lam_nm,R_p0550,R_bare,clean,AR_gain
225.0,1311.0,0.012117258798831,0.0349659484513376,True,0.022848689652506603
225.0,1312.0,0.0125925318122056,0.0349659484513376,True,0.022373416639132004
225.0,1313.0,0.0130654936062453,0.0349659484513376,True,0.0219004548450923
225.0,1314.0,0.0135134704704396,0.0349659484513376,True,0.021452477980898003
225.0,1315.0,0.0139724287503738,0.0349659484513376,True,0.020993519700963803
225.0,1316.0,0.0144311223683409,0.0349659484513376,True,0.020534826082996702
225.0,1317.0,0.0148873307203494,0.0349659484513376,True,0.0200786177309882
225.0,1318.0,0.0153210162317969,0.0349659484513376,True,0.019644932219540702
225.0,1319.0,0.0157898641544021,0.0349659484513376,True,0.019176084296935503
225.0,1320.0,0.0162078838293675,0.0349659484513376,True,0.018758064621970102
225.0,1321.0,0.016661492023188,0.0349659484513376,True,0.018304456428149603
225.0,1322.0,0.0171049977279318,0.0349659484513376,True,0.017860950723405804
225.0,1323.0,0.0175262762601455,0.0349659484513376,True,0.017439672191192104
225.0,1324.0,0.0179724631242747,0.0349659484513376,True,0.016993485327062904
225.0,1325.0,0.0184155701897233,0.0349659484513376,True,0.016550378261614304
225.0,1326.0,0.0188690164540166,0.0349659484513376,True,0.016096931997321002
225.0,1327.0,0.0192904847345443,0.0349659484513376,True,0.015675463716793302
225.0,1328.0,0.0197472452242146,0.0349659484513376,True,0.015218703227123005
225.0,1329.0,0.0201913438632002,0.0349659484513376,True,0.014774604588137404
225.0,1330.0,0.0206669335529851,0.0349659484513376,True,0.014299014898352502
225.0,1331.0,0.021131298748473,0.0349659484513376,True,0.013834649702864604
225.0,1332.0,0.021613621014164,0.0349659484513376,True,0.013352327437173604
225.0,1333.0,0.0220680601872345,0.0349659484513376,True,0.012897888264103104
225.0,1334.0,0.0225521913049254,0.0349659484513376,True,0.012413757146412203
225.0,1335.0,0.0230311374070591,0.0349659484513376,True,0.011934811044278505
225.0,1336.0,0.0235228463478422,0.0349659484513376,True,0.011443102103495403
225.0,1337.0,0.0240375926749059,0.0349659484513376,True,0.010928355776431704
225.0,1338.0,0.0245320917475883,0.0349659484513376,True,0.010433856703749304
225.0,1339.0,0.0250383949918875,0.0349659484513376,True,0.009927553459450102
225.0,1340.0,0.0255254009836513,0.0349659484513376,True,0.009440547467686303
225.0,1341.0,0.0260799826826348,0.0349659484513376,True,0.008885965768702802
225.0,1342.0,0.0265954950929364,0.0349659484513376,True,0.008370453358401204
225.0,1343.0,0.0271395764878942,0.0349659484513376,True,0.007826371963443404
225.0,1344.0,0.0276834667923846,0.0349659484513376,True,0.007282481658953004
225.0,1345.0,0.0282562561020482,0.0349659484513376,True,0.006709692349289403
225.0,1346.0,0.0287937515433861,0.0349659484513376,True,0.0061721969079515035
225.0,1347.0,0.0293709504266176,0.0349659484513376,True,0.005594998024720004
225.0,1348.0,0.0299658774980084,0.0349659484513376,True,0.005000070953329203
225.0,1349.0,0.0305207651832835,0.0349659484513376,True,0.004445183268054102
