case,h_nm,lam_nm,order,f_t_re,f_t_im,f_r_re,f_r_im,f_T,f_R,b_t_re,b_t_im,b_r_re,b_r_im,b_T,b_R
uniform,225.0,1306.0,9,-0.3516118824481964,-0.6171350479125977,-0.5604785680770874,0.4258579015731811,0.5044865832408485,0.4954911776060556,-0.3516119122505188,-0.6171350479125977,-0.6521279215812683,0.2650026381015777,0.5044866041985506,0.4954972243067007
uniform,225.0,1308.0,9,-0.3561359941959381,-0.6169777512550354,-0.5556418895721436,0.4286558032035827,0.5074943919056496,0.4924837070674108,-0.3561359643936157,-0.6169777512550354,-0.6491076350212097,0.2667376399040222,0.507494370678291,0.4924896903843958
uniform,225.0,1310.0,9,-0.3606830835342407,-0.6167945265769958,-0.5507634878158569,0.4314055144786834,0.5105277747631085,0.4894511374337051,-0.3606829643249511,-0.6167944073677063,-0.6460615992546082,0.2684426605701446,0.510527541714314,0.4894570520453997
uniform,225.0,1312.0,9,-0.3652546107769012,-0.6165842413902283,-0.5458416938781738,0.4341072738170624,0.5135870574245489,0.486392279956676,-0.3652545511722564,-0.6165841817855835,-0.6429886817932129,0.2701176404953003,0.513586940380244,0.4863979846209219
uniform,225.0,1314.0,9,-0.3698500096797943,-0.6163465976715088,-0.5408774614334106,0.4367600977420807,0.5166721581213887,0.4833078112663225,-0.3698500692844391,-0.6163466572761536,-0.6398894786834717,0.2717622816562652,0.5166722756851928,0.4833132826608244
uniform,225.0,1316.0,9,-0.3744686841964721,-0.6160807013511658,-0.5358716249465942,0.43936288356781,0.5197822260211815,0.4801981418799243,-0.3744687139987945,-0.616080641746521,-0.6367647051811218,0.2733756601810455,0.519782174898716,0.4802035413438235
uniform,225.0,1318.0,9,-0.379111111164093,-0.6157861351966858,-0.5308240652084351,0.4419154226779938,0.5229177989085443,0.4770634290050788,-0.379111111164093,-0.6157861948013306,-0.6336140632629395,0.2749577760696411,0.5229178723159755,0.4770685597857351
uniform,225.0,1320.0,9,-0.3837771415710449,-0.6154622435569763,-0.5257346630096436,0.444416880607605,0.5260786676366287,0.4739032996588576,-0.3837770819664001,-0.6154621839523315,-0.6304376721382141,0.2765080034732818,0.5260785485180185,0.4739083344358307
uniform,225.0,1322.0,9,-0.3884668052196502,-0.615108072757721,-0.5206038951873779,0.4468666911125183,0.5292643999292793,0.4707182553101212,-0.3884667754173279,-0.6151080131530762,-0.6272356510162354,0.278026133775711,0.5292643034482616,0.4707230929680302
uniform,225.0,1324.0,9,-0.3931790292263031,-0.6147230863571167,-0.5154328346252441,0.4492636024951935,0.5324742219237573,0.4675087915367734,-0.3931789994239807,-0.6147230267524719,-0.6240087747573853,0.2795112729072571,0.5324741252077629,0.4675135026564483
uniform,225.0,1326.0,9,-0.3979149162769317,-0.6143066883087158,-0.5102207660675049,0.4516075253486633,0.5357089878964992,0.4642745870780551,-0.3979149460792541,-0.614306628704071,-0.6207565665245056,0.2809633910655975,0.5357089383830173,0.4642791420023728
uniform,225.0,1328.0,9,-0.4026733636856079,-0.6138582229614258,-0.5049690008163452,0.4538973569869995,0.5389677557192414,0.4610165024652417,-0.4026733934879303,-0.6138582825660706,-0.6174798011779785,0.2823818624019623,0.5389678528980514,0.4610208210763967
uniform,225.0,1330.0,9,-0.4074544012546539,-0.6133769154548645,-0.4996775686740875,0.4561323523521423,0.5422503295147125,0.4577343954983464,-0.4074543714523315,-0.613376796245575,-0.6141785979270935,0.2837661802768707,0.5422501589881003,0.4577385952206159
uniform,225.0,1332.0,9,-0.4122582972049713,-0.6128620505332947,-0.4943464696407318,0.4583119750022888,0.5455567965982171,0.4544282984767536,-0.4122581481933594,-0.6128619909286499,-0.6108530163764954,0.2851160168647766,0.5455566006768464,0.4544325506890984
uniform,225.0,1334.0,9,-0.417084276676178,-0.6123131513595581,-0.4889767467975616,0.4604354500770569,0.5488866891783637,0.4510990625963886,-0.4170842468738556,-0.6123132109642029,-0.6075032949447632,0.2864308953285217,0.5488867373116237,0.4511029111674424
uniform,225.0,1336.0,9,-0.4219326078891754,-0.6117292046546936,-0.4835679829120636,0.4625019431114197,0.5522397454276247,0.4477460414794807,-0.4219326078891754,-0.6117292046546936,-0.6041297912597656,0.2877102792263031,0.5522397454276247,0.4477500094600453
uniform,225.0,1338.0,9,-0.4268020093441009,-0.6111101508140564,-0.4781222641468048,0.4645107090473175,0.5556155716081408,0.4443710982925087,-0.4268020987510681,-0.611110270023346,-0.60073322057724,0.2889537215232849,0.5556157936263233,0.444374655487259
uniform,225.0,1340.0,9,-0.4316941499710083,-0.6104546189308167,-0.4726375043392181,0.4664612114429474,0.55901468089316,0.4409722722888265,-0.4316940903663635,-0.6104545593261719,-0.5973128080368042,0.2901609539985657,0.5590145566593527,0.4409759698701698
uniform,225.0,1342.0,9,-0.4366067945957184,-0.6097623109817505,-0.467116504907608,0.4683523774147033,0.5624355689809528,0.4375517785871041,-0.4366067349910736,-0.6097622513771057,-0.5938698649406433,0.2913311719894409,0.5624354442440421,0.4375552682573591
uniform,225.0,1344.0,9,-0.4415404796600342,-0.6090324521064758,-0.4615589082241058,0.4701835215091705,0.5658785228972398,0.4341091696597932,-0.4415404498577118,-0.609032392501831,-0.5904044508934021,0.2924640774726867,0.5658784239770549,0.4341126522466893
uniform,225.0,1346.0,9,-0.4464955031871795,-0.6082642078399658,-0.4559646546840668,0.4719542264938354,0.5693435809055538,0.4306445582265547,-0.4464954733848572,-0.6082642078399658,-0.5869162678718567,0.2935593426227569,0.5693435542923488,0.4306477931337342
uniform,225.0,1348.0,9,-0.4514704942703247,-0.6074571013450623,-0.4503351151943207,0.4736632406711578,0.5728297371712366,0.4271585815401852,-0.4514705538749695,-0.6074570417404175,-0.5834064483642578,0.2946162819862366,0.572829718576191,0.4271618376043911
uniform,225.0,1350.0,9,-0.45646533370018,-0.6066104173660278,-0.4446710646152496,0.4753100275993347,0.5763367993270032,0.4236519780425399,-0.4564653038978576,-0.6066104769706726,-0.5798751711845398,0.2956344485282898,0.5763368444331505,0.4236549413129253
uniform,225.0,1352.0,9,-0.4614805281162262,-0.6057233810424805,-0.4389715492725372,0.4768940508365631,0.579865092171965,0.420123956794038,-0.4614804685115814,-0.6057234406471252,-0.5763222575187683,0.2966136336326599,0.5798651093670601,0.4201269921682993
uniform,225.0,1354.0,9,-0.4665147662162781,-0.604795515537262,-0.433238536119461,0.4784141480922699,0.5834136427118111,0.4165757262737859,-0.4665147066116333,-0.6047953963279724,-0.5727485418319702,0.29755300283432,0.5834134429044475,0.416578681666369
uniform,225.0,1356.0,9,-0.4715679883956909,-0.6038258671760559,-0.427472323179245,0.4798698723316192,0.5869820455504744,0.4130076814558254,-0.4715679585933685,-0.6038258075714111,-0.5691544413566589,0.2984522581100464,0.5869819454611839,0.4130105284869962
