set,id,f_ED,f_MD,f_EQ,f_MQ,T,R
P0550_hfam,h233.75,0.5148091097186812,0.0225507690757883,0.4623195610489891,0.0003205601565412,0.9656081007988494,0.0344250686064706
P0550_hfam,h235,0.5121510217890335,0.024245367803873,0.4632766293236972,0.0003269810833963,0.9598594881497506,0.0401748837282888
P0550_hfam,h236.25,0.5097264870560682,0.0260189133906623,0.4639210837502657,0.0003335158030037,0.953247916430995,0.0467903702780195
P0550_hfam,h237.5,0.507509189649129,0.0278739409891412,0.4642766873629155,0.0003401819988143,0.9458208669774476,0.0542163813759944
P0550_hfam,h238.75,0.5054720297954071,0.0298134431544942,0.4643675532399693,0.0003469738101294,0.9376445789803084,0.062394324578664
P0550_hfam,h240,0.503588052924249,0.0318403629449954,0.4642176943103878,0.0003538898203678,0.9287805689538928,0.0712623606446178
P0550_hfam,h242.5,0.5001777977504166,0.0361708206419496,0.4632832918271789,0.0003680897804548,0.9092317243233172,0.090812044177904
P0550_hfam,h245,0.4970727597202144,0.0408956053898938,0.4616488385407871,0.0003827963491046,0.887692319171006,0.1123563148429524
P0550_hfam,h247.5,0.4940819258144934,0.0460491720318808,0.4594709112801915,0.0003979908734343,0.864655035855991,0.1353971443039548
P0550_hfam,h250,0.4910321140192766,0.0516709788845586,0.4568832254432187,0.000413681652946,0.840579600361566,0.1594744220965609
P0550_hfam,h252.5,0.4877634752881896,0.0578043668265264,0.4540022767585283,0.0004298811267557,0.8158793492372662,0.1841791479212138
P0550_hfam,h255,0.4841362399833316,0.0644984880019886,0.4509186765375139,0.0004465954771657,0.7909001248999821,0.2091581204356915
P0550_hfam,h257.5,0.4800215263042197,0.0718077510221955,0.4477068355206307,0.0004638871529539,0.7659320863142941,0.2341281482920318
P0550_hfam,h260,0.4753067028070624,0.0797910736023192,0.4444204281204357,0.0004817954701827,0.7411982076402907,0.258866783028824
P0550_hfam,h262.5,0.4698890331726794,0.0885140469103296,0.4410964621302893,0.0005004577867014,0.7168572386470399,0.2832095442038509
P0550_hfam,h265,0.4636769291246392,0.0980482898186531,0.4377547293495544,0.0005200517071532,0.693015159899745,0.3070520115260911
P0550_hfam,h267.5,0.4565850615736299,0.1084712892686757,0.4344027394175508,0.0005409097401435,0.6697222514479186,0.3303459477660735
P0550_hfam,h270,0.4485382591995159,0.1198667663011486,0.4310312882789628,0.0005636862203726,0.6469790159933335,0.3530901128699528
P0550_hfam,h272.5,0.4394686536792856,0.1323295126428227,0.4276120148471621,0.0005898188307296,0.6247396117365405,0.3753293989344007
P0550_hfam,h275,0.429330754201894,0.1459662339520476,0.4240798279189585,0.0006231839270997,0.6028978858295816,0.397171173778112
P0550_hfam,h277.5,0.4181616695675018,0.1609212134825337,0.4202392971202786,0.0006778198296859,0.58127905453698,0.4187847816341865
P0550_hfam,h280,0.406638679296708,0.1775238673803069,0.4149968660574994,0.0008405872654856,0.5595775034661989,0.4404804890622974
P0550_hfam,h282.5,0.4022126693626414,0.1985580787011513,0.3972366604616075,0.0019925914745995,0.5395247828940104,0.460468686875544
P0550_hfam,h285,0.3730204978679853,0.2206671408170055,0.4052937672031718,0.0010185941118373,0.5172919736703695,0.4827643946392171
P0550_hfam,h287.5,0.3549894731042413,0.2459101077079872,0.3983589382107099,0.0007414809770617,0.498291943794586,0.501787712722475
P0550_hfam,h290,0.3438452784602219,0.257278492507475,0.3981389290495054,0.0007372999827975,0.4759735693435198,0.5240887957280885
P0550_hfam,h292.5,0.3248858172205019,0.2805774746262411,0.3937716036385202,0.0007651045147366,0.4513855970961048,0.5486702074576406
P0550_hfam,h295,0.3045141001716117,0.3063928534247491,0.3882963099964464,0.0007967364071927,0.4252505332010377,0.5747964766605337
P0550_hfam,h297.5,0.2829971150239024,0.3341771330437989,0.3819936880922222,0.0008320638400764,0.3968474499020258,0.6031958318509508
P0550_hfam,h300,0.2604613203726765,0.3638332017851353,0.3748342042016525,0.0008712736405356,0.3654292592966051,0.6346020701467392
P0750_lam,l1300,0.546552386541969,0.1127405993597494,0.2406188278551186,0.1000881862431627,0.1250913024532907,0.8747957588189952
P0750_lam,l1301,0.5476941366709215,0.1073242165727682,0.2422725307305426,0.1027091160257677,0.1181194836689205,0.881764811220605
P0750_lam,l1302,0.5492506965168082,0.1016618356745518,0.243450739114983,0.1056367286936568,0.1113923655704525,0.8883884785211826
P0750_lam,l1303,0.5509506504742384,0.0961369746061059,0.244194673122306,0.1087177017973495,0.1052437783011513,0.8946799570256495
P0750_lam,l1304,0.5528971925416631,0.090480287080835,0.2444720753727193,0.1121504450047825,0.0993393761177772,0.9004729547159303
P0750_lam,l1305,0.5551264821987305,0.084920837549998,0.2440918984249227,0.1158607818263486,0.0940774317921889,0.9058652444276056
P0750_lam,l1306,0.5574714774230765,0.0795601144536776,0.2431541070950008,0.119814301028245,0.0892156282509246,0.91049011652107
P0750_lam,l1307,0.5601450349086357,0.0743202787639937,0.2412774508484731,0.1242572354788975,0.0850586743683162,0.9148859531075016
P0750_lam,l1308,0.5629967172353729,0.0694113393797943,0.2385277484785676,0.129064194906265,0.0814294906345612,0.9185116279179152
P0750_lam,l1309,0.5660037825680331,0.0649732784701125,0.2346614427696991,0.1343614961921553,0.0784714847769784,0.9212625782583664
P0750_lam,l1310,0.5690414720196548,0.0613046873293337,0.2295502202824236,0.1401036203685878,0.0763065016383209,0.923616130175253
P0750_lam,l1311,0.5720190610660261,0.0586526750896271,0.2229056431950147,0.1464226206493322,0.0748696883102281,0.9249769810587164
P0750_lam,l1312,0.5746543632119984,0.0573580148174067,0.2148186366181938,0.153168985352401,0.0743775531986361,0.9255143375855638
P0750_lam,l1313,0.5768625618479962,0.0580360124180352,0.204353285530778,0.1607481402031905,0.0748748543945291,0.924932718904927
P0750_lam,l1314,0.5780209579813586,0.0612914198464978,0.1919996263015224,0.168687995870621,0.0763958716245047,0.9235373805948814
P0750_lam,l1315,0.5775853535054805,0.068128148865153,0.1771232098228738,0.1771632878064927,0.0791061194784048,0.920784888343624
P0750_lam,l1316,0.5746941278749982,0.0797883764977675,0.1595596952089329,0.1859578004183013,0.0832217375258606,0.9166145815027094
P0750_lam,l1317,0.5683100407604913,0.0976018184105637,0.1393263130303793,0.1947618277985655,0.0888180125029355,0.9110267642509742
