lam_nm,r11_re,r11_im,r22_re,r22_im,t21_re,t21_im,t12_re,t12_im,R_f,R_b,T,reciprocity_resid,unitarity_resid
1324.0,-0.4895027577877044,0.608343243598938,-0.8666887879371643,0.14819997549057,-0.1664559990167617,-0.3498565256595611,-0.1664419323205948,-0.3498848676681518,0.6096944519142448,0.7731126878713965,0.1501071881552473,3.1640818447179e-05,0.24019835993050798
1325.0,-0.3963156044483185,0.6390624642372131,-0.8362016081809998,0.1761230230331421,-0.2219326645135879,-0.3768073320388794,-0.2219721674919128,-0.3768899142742157,0.5654668915261754,0.730252448766823,0.19123787305635906,9.154403797996562e-05,0.24329523541746556
1326.0,-0.2708657383918762,0.6578726768493652,-0.7942004203796387,0.2021966576576233,-0.2966384589672088,-0.3987031579017639,-0.2966382801532745,-0.3987207114696502,0.5061647071795256,0.6716377960991089,0.24695858345927937,1.755447862973855e-05,0.2468767093611951
1327.0,-0.0972937941551208,0.6450503468513489,-0.7348116636276245,0.2208868861198425,-0.4004058241844177,-0.40503790974617,-0.4003745913505554,-0.4050870835781097,0.42555603235414446,0.5887391974629175,0.3243805323723493,5.825423296811929e-05,0.2500634352735063
1328.0,0.1429625451564788,0.5470208525657654,-0.6486115455627441,0.2166545689105987,-0.546680212020874,-0.3667018711566925,-0.5468834042549133,-0.3666890263557434,0.31967010245939503,0.46763613926712916,0.43332951652500723,0.00020359782141591366,0.24700038101559774
1328.2,0.1976129710674286,0.508021354675293,-0.628110945224762,0.2100139856338501,-0.5807546377182007,-0.3484840095043182,-0.5807629823684692,-0.348359078168869,0.2971365831402161,0.438629233672959,0.45871705411140423,0.00012520971114580467,0.24414636274837964
1328.4,0.2525153756141662,0.4583134949207306,-0.6065137386322021,0.200109526515007,-0.615955650806427,-0.3241568207740783,-0.615814745426178,-0.3240776062011719,0.27381527454801796,0.4079027377516716,0.484479008214727,0.0001616455218800427,0.24170571723725498
1328.6,0.3100151419639587,0.3956629633903503,-0.5837944746017456,0.1862113177776336,-0.652693510055542,-0.2926810085773468,-0.6526276469230652,-0.2925475835800171,0.2526585688457671,0.375490643444011,0.511670990850477,0.00014879577323328446,0.23567044030375595
1328.8,0.3596993088722229,0.3254031538963318,-0.5628838539123535,0.1692326068878173,-0.6855406165122986,-0.2561787068843841,-0.6856568455696106,-0.256178081035614,0.2352708053688346,0.3454779082292702,0.5355934667490176,0.00011623074227725608,0.22913572788214775
1329.0,0.4051899909973144,0.238204225897789,-0.5421324968338013,0.146867036819458,-0.7172396779060364,-0.2104057669639587,-0.7171587347984314,-0.2101743221282959,0.2209201820399686,0.3154775706273796,0.5587033423344463,0.0002451907392699374,0.22037647562558504
1329.2,0.4413674175739288,0.1335174739360809,-0.5230334401130676,0.1184642016887664,-0.7448206543922424,-0.1538437753915786,-0.7446692585945129,-0.153869554400444,0.21263211314215086,0.2875977465582666,0.5784257144360229,0.00015357488358528,0.20894217242182633
1329.4,0.4620397090911865,0.0194449257105588,-0.5089028477668762,0.0860175788402557,-0.7634268999099731,-0.0911590978503227,-0.7636407613754272,-0.09132581949234,0.2138587979129574,0.26638113233477606,0.5911306126270369,0.00027116937939805,0.1950105894600057
1329.6,0.4633058309555053,-0.1086630001664161,-0.499849796295166,0.0479005575180053,-0.7720456719398499,-0.0198103431612253,-0.7719066143035889,-0.019764931872487,0.22645994060253782,0.2521442822668547,0.5964469692572197,0.00014628469279923405,0.17709309014024244
1329.8,0.4375244677066803,-0.2444212585687637,-0.4984888434410095,0.0057282447814941,-0.7662307620048523,0.0577892065048217,-0.7661508917808533,0.0574688650667667,0.2511694114823524,0.24852393982343202,0.5904491730309935,0.00033014828428571606,0.15838141548665408
1330.0,0.3860478401184082,-0.3765707015991211,-0.5058751106262207,-0.0367140173912048,-0.7451452016830444,0.1342867910861969,-0.7453457117080688,0.1341808140277862,0.29083842816294236,0.25725754662409267,0.573274313851493,0.00022679375442166854,0.13588725798556467
1330.2,0.303897500038147,-0.5013964772224426,-0.5230739116668701,-0.0786652565002441,-0.7068919539451599,0.2083646208047866,-0.7069913744926453,0.2083938866853714,0.3437521179005109,0.27979453964672996,0.5431120497555287,0.00010363849202246635,0.11313583234396041
1330.4,0.1961776912212371,-0.6091139316558838,-0.5497502684593201,-0.1167939305305481,-0.6530007123947144,0.2739923298358917,-0.652723491191864,0.2740574181079864,0.4095054682701837,0.3158661798798689,0.5014817271969045,0.00028475968547893207,0.08901280453291172
1330.6,0.0670300275087356,-0.690045177936554,-0.5846441388130188,-0.1477141976356506,-0.5852640271186829,0.3257267773151397,-0.5855904817581177,0.3258262574672699,0.48065537218131216,0.3636282532315605,0.44863191489928494,0.00034127544927281094,0.07071271291940295
1330.8,-0.0743772983551025,-0.7426154613494873,-0.6245731115341187,-0.1707412600517273,-0.5100750923156738,0.3625418543815613,-0.5098388195037842,0.3627297580242157,0.5570097059459159,0.41924414953546224,0.39161319597926436,0.0003018817989893408,0.051377098074819716
1331.0,-0.2129280269145965,-0.7638269066810608,-0.6658843755722046,-0.1833553314208984,-0.4342851042747497,0.3812091946601867,-0.4340399503707886,0.3811875581741333,0.628769888015701,0.4770211791916522,0.33392400188839827,0.00024610683484235156,0.03730611009590068
1331.2,-0.344042032957077,-0.7591332197189331,-0.7063782811164856,-0.1877102851867675,-0.361213743686676,0.3851998746395111,-0.3613372445106506,0.3849684596061706,0.6946481657220727,0.5342054271979784,0.27885431205043876,0.00026230777948506014,0.02649752222748858
1331.4,-0.4675264060497284,-0.7324955463409424,-0.7457709312438965,-0.1844675540924072,-0.2913784384727478,0.3759675621986389,-0.2914839088916778,0.3759860396385193,0.7551306657630913,0.5902025604012238,0.22625300223240427,0.0001070767250797392,0.01861633200450441
1331.6,-0.5735955238342285,-0.6890655755996704,-0.780550479888916,-0.1748261749744415,-0.2306377738714218,0.3565356731414795,-0.2307885438203811,0.3566108345985412,0.8038231924391682,0.6398232431110111,0.18031146895881303,0.0001684660860138811,0.015865338602018775
1331.8,-0.6659321784973145,-0.6338456869125366,-0.8119455575942993,-0.1605579555034637,-0.1767394542694091,0.3293116986751556,-0.1766927242279052,0.3294203877449035,0.8452260211758046,0.6850344455725699,0.13968302957976503,0.00011830896272736932,0.01509094924443044
1332.0,-0.7409496307373047,-0.5730664730072021,-0.8378653526306152,-0.1437348425388336,-0.1325945556163787,0.2987208664417267,-0.1327152848243713,0.2986300885677337,0.8774115377746623,0.7226780540984883,0.10681547222680086,0.0001510502038039248,0.015772989998536824
1332.2,-0.8018839359283447,-0.5097001791000366,-0.8597230911254883,-0.1250397562980651,-0.0961071029305458,0.2653021216392517,-0.0960664078593254,0.2653445899486542,0.9028121192745433,0.7547587340694442,0.07962179097999082,5.881875657592532e-05,0.017566089745465918
1332.4,-0.8514474630355835,-0.4444782733917236,-0.8780595064163208,-0.1049809455871582,-0.0659747347235679,0.2304575592279434,-0.0659587159752845,0.2303340882062912,0.9225237178270191,0.7820094957444469,0.05746335222714619,0.0001245057969911581,0.0200129299458347
1332.6,-0.888796329498291,-0.3824949562549591,-0.8921070694923401,-0.085794985294342,-0.0431005097925663,0.1972984671592712,-0.043147224932909,0.197211816906929,0.9362613068901177,0.8032158029398674,0.04078433908777713,9.844069569141176e-05,0.022954354022105217
1332.8,-0.9165786504745485,-0.3251821398735046,-0.9030648469924928,-0.0670450031757354,-0.025777542963624,0.165585845708847,-0.0255915988236665,0.165663406252861,0.9458598465984561,0.8200211503244088,0.028083154020355567,0.00020147173789959486,0.026056999381188328
1333.0,-0.937836766242981,-0.2675836682319641,-0.9117763042449952,-0.0477088689804077,-0.0121854851022362,0.1334316730499267,-0.0120983999222517,0.1335234642028808,0.9511388196215657,0.8336121651620518,0.01795249742007935,0.00012652843290571515,0.030908682958355027
1333.2,-0.953581929206848,-0.2118847668170929,-0.9186400175094604,-0.0289535522460937,-0.0016993400640785,0.1024516969919204,-0.0017744577489793,0.1023807302117347,0.954213650118988,0.8447377899574489,0.010499237973177653,0.00010333900751788381,0.0352871119078344
1333.4,-0.9634989500045776,-0.165453091263771,-0.9232390522956848,-0.012815922498703,0.0049759307876229,0.0761961787939071,0.0050137434154748,0.0762588307261467,0.9557049520686615,0.852534595553327,0.005830617549996272,7.317827162773063e-05,0.038464430381342285
1333.6,-0.9702755212783812,-0.1163840740919113,-0.9268178939819336,0.0047117471694946,0.0098924692720174,0.0480650216341018,0.0098618399351835,0.0482037849724292,0.9549798398942663,0.8590136091664959,0.002408107252984483,0.00014210355498244626,0.04261205285274927
1333.8,-0.973192572593689,-0.0727601423859596,-0.928796648979187,0.0204140245914459,0.012331549078226,0.0231862813234329,0.0122696096077561,0.0232229847460985,0.9523978216715476,0.8630799475549873,0.0006896707442780699,7.199749466100334e-05,0.04691250758417431
1334.0,-0.9738996028900146,-0.0341436490416526,-0.9300239086151124,0.0344053208827972,0.0135022774338722,0.0011712221894413,0.0134402671828866,0.0011251602554693,0.9496462252792076,0.8661281967007793,0.00018368325731829414,7.724618429759478e-05,0.050170091463474065
1334.2,-0.972967267036438,0.0028497804887592,-0.9304525852203368,0.0484899878501892,0.0134325260296463,-0.0205224826931953,0.0133093995973467,-0.020470330491662,0.9466734239731893,0.8680932922649198,0.0006016050514296261,0.00013371600672917942,0.05272497097538109
1334.4,-0.969889998435974,0.0381629168987274,-0.9300440549850464,0.0619159936904907,0.0120000075548887,-0.0410006679594516,0.0120667237788438,-0.0409794561564922,0.9421430172923527,0.8688155344877089,0.0018250549544385868,7.000710766497625e-05,0.056031927753208643
1334.6,-0.965895652770996,0.069035530090332,-0.9292272925376892,0.0739108324050903,0.009966067969799,-0.0590908527374267,0.010065546259284,-0.0590727366507053,0.9377203164567616,0.8689261723437377,0.0035910513880149024,0.00010111440390448228,0.058688632155223575
1334.8,-0.9604570865631104,0.100675344467163,-0.9277808666229248,0.0864019393920898,0.0069945291616022,-0.0776763930916786,0.0069929040037095,-0.0776637718081474,0.9326133401128802,0.8682426316022999,0.0060825454819254795,1.272548372955685e-05,0.06130411440519434
