h_nm,f_ED,f_MD,f_EQ,f_MQ,ED_EQ_balance,px_given_ED,Qxz_given_EQ,my_given_MD
272.5,0.4394686536792856,0.1323295126428227,0.4276120148471621,0.0005898188307296,0.9730205129925462,0.999324002685478,0.8168497655156346,0.7559869232638582
275.0,0.429330754201894,0.1459662339520476,0.4240798279189585,0.0006231839270997,0.9877695081669684,0.998895598389198,0.8140228465794035,0.754678483222024
277.5,0.4181616695675018,0.1609212134825337,0.4202392971202786,0.0006778198296859,0.9950560845522683,0.997484431437592,0.8113143194534302,0.7537175208504485
280.0,0.406638679296708,0.1775238673803069,0.4149968660574994,0.0008405872654856,0.9798596388445177,0.9900697490747348,0.8080107971238554,0.7514214824584262
282.5,0.4022126693626414,0.1985580787011513,0.3972366604616075,0.0019925914745995,0.987628413324426,0.917675787622594,0.7997985172219719,0.7187349047779831
285.0,0.3730204978679853,0.2206671408170055,0.4052937672031718,0.0010185941118373,0.9203706744421556,0.9752893911753108,0.8022577691347088,0.7236781499522368
287.5,0.3549894731042413,0.2459101077079872,0.3983589382107099,0.0007414809770617,0.8911296799281844,0.9850865084091928,0.7852417990470449,0.6733940272982396
290.0,0.3438452784602219,0.257278492507475,0.3981389290495054,0.0007372999827975,0.8636313944006905,0.9936512606444884,0.8046457352173186,0.7384937989489686
292.5,0.3248858172205019,0.2805774746262411,0.3937716036385202,0.0007651045147366,0.8250615692408969,0.9955335409660416,0.8082643008766529,0.7515918335084394
295.0,0.3045141001716117,0.3063928534247491,0.3882963099964464,0.0007967364071927,0.7842312490025943,0.996295465508008,0.8111033192791858,0.7595405851309281
297.5,0.2829971150239024,0.3341771330437989,0.3819936880922222,0.0008320638400764,0.7408423852165337,0.9966529883427668,0.8144862266670583,0.767039074762524
300.0,0.2604613203726765,0.3638332017851353,0.3748342042016525,0.0008712736405356,0.6948707387241377,0.9968074468826869,0.8187439100182778,0.7751319320929012
