h_nm,r11_re,r11_im,r22_re,r22_im,t21_re,t21_im,t12_re,t12_im,R_f,R_b,T,reciprocity_resid,unitarity_resid
265.0,-0.5509902238845825,-0.0571760386228561,-0.5533148646354675,0.0296561159193515,0.0210212711244821,-0.8320541977882385,0.0210273321717977,-0.832051694393158,0.3068593262089848,0.3070368246379877,0.692756081896718,6.557688730898884e-06,0.00038459189429718155
267.5,-0.5648412704467773,-0.1054118797183036,-0.5747206211090088,0.0071697048842906,0.0705569609999656,-0.8151454925537109,0.0705633014440536,-0.8151423335075378,0.33015732518567553,0.33035519699605265,0.6694404587761829,7.083841045418421e-06,0.0004022160381416118
270.0,-0.5734487771987915,-0.1551333963871002,-0.5939894318580627,-0.0174919627606868,0.1179072260856628,-0.7954652309417725,0.1179136782884597,-0.7954631447792053,0.3529098707453863,0.3531294139202854,0.6466670476004631,6.781076255933313e-06,0.0004230816541506144
272.5,-0.5768330097198486,-0.2059789896011352,-0.6111131906509399,-0.0442047640681266,0.163118228316307,-0.7731582522392273,0.1631251722574234,-0.773154616355896,0.37516366525956346,0.37541339295389076,0.6243812394146674,7.838237418366944e-06,0.00045509532576915035
275.0,-0.5750048160552979,-0.2576737403869629,-0.626112163066864,-0.072907879948616,0.2062510997056961,-0.7482728958129883,0.2062606215476989,-0.7482693791389465,0.3970262949717948,0.39733199969886923,0.6024518427381642,1.015049119214989e-05,0.0005218622900409198
277.5,-0.567880392074585,-0.3100969493389129,-0.6390581130981445,-0.1036451011896133,0.2473913431167602,-0.7206971049308777,0.247401475906372,-0.7206946611404419,0.41864825769208464,0.4191375789171662,0.5806067937048632,1.042331698696896e-05,0.0007449486030521868
280.0,-0.5548754930496216,-0.3635546863079071,-0.6503037214279175,-0.1367945075035095,0.2866170108318329,-0.6897303462028503,0.2866319417953491,-0.6897242665290833,0.44005882272350144,0.4416076673861261,0.5578772613712788,1.612129351625953e-05,0.0020639159052198153
282.5,-0.5297597646713257,-0.414363831281662,-0.6587768197059631,-0.1776371002197265,0.3185435831546783,-0.6525329947471619,0.3185670375823974,-0.6525014638900757,0.452342792939036,0.46554183755637624,0.527269323602721,3.9297647871347946e-05,0.02038788345824294
285.0,-0.5138043165206909,-0.4611436426639557,-0.6545801758766174,-0.2143419682979583,0.3510221540927887,-0.6238374710083008,0.3510111272335052,-0.6238310933113098,0.47664833484467634,0.4744176860245064,0.5123897428979741,1.2738392542497594e-05,0.010961922257349599
287.5,-0.4855441153049469,-0.5120865702629089,-0.6552758812904358,-0.2314797639846801,0.3821107447147369,-0.5930195450782776,0.3821425139904022,-0.5930070877075195,0.4979857433508928,0.4829693617353604,0.49768080207129806,3.412437490275781e-05,0.004333454577809093
290.0,-0.452996164560318,-0.5638325810432434,-0.6661033630371094,-0.2795485258102417,0.4156257212162018,-0.5505817532539368,0.4156384170055389,-0.55055832862854,0.5231127045522445,0.5218410685320265,0.4758850071526668,2.6643876254575815e-05,0.001002288295088749
292.5,-0.4127885997295379,-0.6144282221794128,-0.6643720269203186,-0.3264123499393463,0.4422794878482818,-0.5055813789367676,0.4422879815101623,-0.505557119846344,0.5479164682772265,0.5479352123471389,0.4512236760989419,2.5703030177778006e-05,0.000859855623831618
295.0,-0.3655321896076202,-0.6637026071548462,-0.6583593487739563,-0.3755236864089966,0.4647285938262939,-0.4572598040103912,0.4647365212440491,-0.4572355449199676,0.5741149323834812,0.5744550711722702,0.4250591942833858,2.552150897664177e-05,0.0008258733331329982
297.5,-0.3105646073818207,-0.711407482624054,-0.6476718187332153,-0.428415834903717,0.4823203980922699,-0.4049800932407379,0.4823254346847534,-0.4049542546272278,0.6025509816917182,0.6030189123774399,0.39664184233716243,2.6324916181652368e-05,0.0008071759711194559
300.0,-0.2468683421611786,-0.7569912672042847,-0.6311038136482239,-0.4860299527645111,0.4938108026981354,-0.3483770191669464,0.4938129782676697,-0.3483483791351318,0.6339797569849575,0.6345171385856052,0.36521565634502373,2.8722543848719965e-05,0.0008045866700188142
