order,lam_nm,f_t_re,f_t_im,f_r_re,f_r_im,f_T,f_R,b_t_re,b_t_im,b_r_re,b_r_im,b_T,b_R
11,1334.5,-0.03294092416763306,-0.14408236742019653,-0.9222549200057983,0.2973483204841614,0.027438503910099995,0.9723954753785939,-0.03293857350945473,-0.14414580166339874,-0.9128848314285278,0.14528988301753998,0.04930095979521833,0.9506140269910737
11,1335.0,-0.04772146791219711,-0.1750464141368866,-0.8965548276901245,0.346479594707489,0.0383790334514601,0.9611536956913059,-0.04760453850030899,-0.17499257624149323,-0.905174970626831,0.16892606019973755,0.057924914424677176,0.9418337298740584
11,1335.5,-0.06319449841976166,-0.2021230310201645,-0.8706039190292358,0.3880279064178467,0.05020201510468094,0.9493729675000491,-0.06319587677717209,-0.20219029486179352,-0.8963849544525146,0.19045071303844452,0.06786614612365999,0.9320316592315001
11,1336.0,-0.07847647368907928,-0.22443416714668274,-0.8460919857025146,0.42284369468688965,0.06185224475751942,0.9382928354341067,-0.07843215018510818,-0.22446554899215698,-0.8875654935836792,0.20880939066410065,0.077929826025255,0.9221312096011721
11,1336.5,-0.09445013850927353,-0.24461625516414642,-0.8208591938018799,0.45354190468788147,0.07397924584858358,0.9256587374827208,-0.09451580792665482,-0.24458080530166626,-0.8778735399246216,0.22615884244441986,0.08861831210656833,0.911270710773275
11,1337.0,-0.11063533276319504,-0.2624131441116333,-0.7962996959686279,0.48097896575927734,0.08627785243938275,0.9137474084774296,-0.11059975624084473,-0.26241210103034973,-0.8679856061935425,0.2419600486755371,0.09968964194602827,0.9002676645302704
11,1337.5,-0.12638914585113525,-0.27781111001968384,-0.7726668119430542,0.5043990015983582,0.09821767959031431,0.9016161299952676,-0.12649251520633698,-0.2778570353984833,-0.8580323457717896,0.25630491971969604,0.11066940392357037,0.8891971427567533
11,1338.0,-0.14247241616249084,-0.2918756604194641,-0.7490819692611694,0.525866687297821,0.1104543032485244,0.889400949310343,-0.14255696535110474,-0.2918444275856018,-0.8477960228919983,0.26989907026290894,0.12196547660607802,0.8779499394817896
13,1329.0,-0.43665459752082825,0.3766475021839142,-0.39801010489463806,-0.5998951196670532,0.4138894401065909,0.5815672362522529,-0.4372527599334717,0.3764171898365021,-0.6234771013259888,-0.1636560559272766,0.41835025658161684,0.580369136763089
13,1329.5,-0.26948443055152893,0.3582184612751007,-0.6612238883972168,-0.5204135775566101,0.2590984599170536,0.7375289810669983,-0.2695873975753784,0.3579775094985962,-0.7270888686180115,-0.16752472519874573,0.28289488750511116,0.716121837159812
13,1330.0,-0.15037821233272552,0.2899794578552246,-0.8348091840744019,-0.3783010244369507,0.14764429105401305,0.8517125861921443,-0.1502448469400406,0.29035210609436035,-0.8067761063575745,-0.135158509016037,0.18075889737129058,0.8185428447365335
13,1330.5,-0.07908085733652115,0.21060054004192352,-0.928179144859314,-0.23060069978237152,0.07906767324519587,0.9196736511836474,-0.07946735620498657,0.21073973178863525,-0.8583307266235352,-0.09057942032814026,0.11597883394065736,0.883313053012829
