lam,T,R,A
1499.0,0.4790228099746106,0.5209771900255258,-1.3639089857520048e-13
1500.0,0.485422165022378,0.5145778349781168,-4.948264020754323e-13
1501.0,0.4916423025523883,0.5083576974478203,-2.0861090632706691e-13
1502.0,0.4976923542968581,0.502307645703056,8.593126210598712e-14
1503.0,0.5035791647651152,0.49642083523498365,-9.892087149410145e-14
1504.0,0.5093092431425997,0.49069075685736563,3.4638958368304884e-14
1505.0,0.5148887813850578,0.4851112186148301,1.1213252548714081e-13
1506.0,0.5203236716074924,0.47967632839239144,1.1612932837579137e-13
1507.0,0.5256179335900162,0.474382066410151,-1.6719958750854857e-13
1508.0,0.5307801229317048,0.4692198770682963,-1.1102230246251565e-15
1509.0,0.5358121837427939,0.4641878162571152,9.092726571680032e-14
1510.0,0.5407205529650753,0.4592794470348078,1.1690648449302898e-13
1511.0,0.5455098545563165,0.4544901454436383,4.518607710224387e-14
1512.0,0.5501845015958093,0.4498154984041971,-6.439293542825908e-15
1513.0,0.5547487085855587,0.4452512914144732,-3.197442310920451e-14
1514.0,0.5592065031260527,0.44079349687387526,7.205347429817266e-14
1515.0,0.5635603981409764,0.436439601859043,-1.942890293094024e-14
1516.0,0.5678167841762009,0.43218321582379027,8.881784197001252e-15
1517.0,0.571976539179358,0.42802346082071835,-7.627232179174825e-14
1518.0,0.5760443849265817,0.42395561507349927,-8.104628079763643e-14
1519.0,0.5800235680053611,0.4199764319945899,4.8960835385969403e-14
1520.0,0.5839172074735417,0.4160827925264624,-4.107825191113079e-15
