lam,R,T,A,T00,R00,n_orders
1426.0,0.14102196586503957,0.37530943189041605,0.4836686022445444,0.37530943189041605,0.14102196586503957,1
1427.0,0.14595393091338504,0.3664050486895456,0.48764102039706936,0.3664050486895456,0.14595393091338504,1
1428.0,0.15136175921415732,0.35734324635834824,0.49129499442749447,0.35734324635834824,0.15136175921415732,1
1429.0,0.15720356075296715,0.34820596612451427,0.4945904731225186,0.34820596612451427,0.15720356075296715,1
1430.0,0.16343526956578777,0.33907031475843175,0.49749441567578045,0.33907031475843175,0.16343526956578777,1
1431.0,0.16999899054720968,0.3300257818782966,0.4999752275744937,0.3300257818782966,0.16999899054720968,1
1432.0,0.17683691813528674,0.3211530356450563,0.5020100462196571,0.3211530356450563,0.17683691813528674,1
1433.0,0.18388535227004563,0.3125328390792892,0.5035818086506652,0.3125328390792892,0.18388535227004563,1
1434.0,0.19107806514570203,0.3042413007361321,0.5046806341181659,0.3042413007361321,0.19107806514570203,1
1435.0,0.1983456875516987,0.2963504812747128,0.5053038311735885,0.2963504812747128,0.1983456875516987,1
1436.0,0.20562642524093117,0.2889169210758642,0.5054566536832046,0.2889169210758642,0.20562642524093117,1
1437.0,0.21285182396004165,0.2819976112494137,0.5051505647905447,0.2819976112494137,0.21285182396004165,1
1438.0,0.21996405077918968,0.2756321960621201,0.5044037531586902,0.2756321960621201,0.21996405077918968,1
1439.0,0.22690801051390042,0.26985220840053575,0.5032397810855638,0.26985220840053575,0.22690801051390042,1
1440.0,0.23363456292313328,0.26467859162366303,0.5016868454532036,0.26467859162366303,0.23363456292313328,1
1441.0,0.24010119357920853,0.26012202986117117,0.4997767765596203,0.26012202986117117,0.24010119357920853,1
1442.0,0.24627041926781246,0.2561849018577693,0.4975446788744182,0.2561849018577693,0.24627041926781246,1
1443.0,0.25211791062866346,0.2528567485655601,0.49502534080577637,0.2528567485655601,0.25211791062866346,1
1444.0,0.2576184383300444,0.25012469995575665,0.49225686171419897,0.25012469995575665,0.2576184383300444,1
1445.0,0.26275928837365414,0.2479656608875402,0.4892750507388056,0.2479656608875402,0.26275928837365414,1
1446.0,0.26753194629312693,0.246352580846573,0.4861154728603001,0.246352580846573,0.26753194629312693,1
1447.0,0.2719334769641351,0.24525433937078345,0.4828121836650815,0.24525433937078345,0.2719334769641351,1
1448.0,0.27596450692797897,0.24463717221987377,0.4793983208521472,0.24463717221987377,0.27596450692797897,1
1449.0,0.2796340265270199,0.24446439730155073,0.4759015761714294,0.24446439730155073,0.2796340265270199,1
1450.0,0.28294913658065546,0.24469955017337888,0.4723513132459657,0.24469955017337888,0.28294913658065546,1
1451.0,0.2859236983173694,0.24530526342870285,0.46877103825392774,0.24530526342870285,0.2859236983173694,1
1452.0,0.2885724213070778,0.2462449480144685,0.4651826306784538,0.2462449480144685,0.2885724213070778,1
1453.0,0.29091163737860254,0.2474830371071821,0.4616053255142154,0.2474830371071821,0.29091163737860254,1
1454.0,0.2929587912793815,0.24898540095438818,0.45805580776623034,0.24898540095438818,0.2929587912793815,1
1455.0,0.29473135769555525,0.25071915486907775,0.454549487435367,0.25071915486907775,0.29473135769555525,1
1456.0,0.2962491094794677,0.25265480018876535,0.45109609033176695,0.25265480018876535,0.2962491094794677,1
1457.0,0.2975292318108032,0.25476294098714436,0.4477078272020525,0.25476294098714436,0.2975292318108032,1
1458.0,0.2985904688539785,0.2570179237192729,0.44439160742674866,0.2570179237192729,0.2985904688539785,1
1459.0,0.29945045359380806,0.2593957570618397,0.44115378934435223,0.2593957570618397,0.29945045359380806,1
1460.0,0.30012619462128537,0.26187458067590924,0.43799922470280533,0.26187458067590924,0.30012619462128537,1
1461.0,0.300633964185113,0.2644345987350816,0.43493143707980536,0.2644345987350816,0.300633964185113,1
1462.0,0.30098906806244563,0.2670571089716955,0.4319538229658589,0.2670571089716955,0.30098906806244563,1
1463.0,0.30120645567264126,0.26972789201420655,0.4290656523131522,0.26972789201420655,0.30120645567264126,1
1464.0,0.30129957221984544,0.2724309629640759,0.42626946481607864,0.2724309629640759,0.30129957221984544,1
1465.0,0.30128136814646295,0.2751546443281712,0.4235639875253658,0.2751546443281712,0.30128136814646295,1
1466.0,0.3011637561320333,0.2778878802454551,0.42094836362251165,0.2778878802454551,0.3011637561320333,1
1467.0,0.3009577829593275,0.28062099533748475,0.41842122170318774,0.28062099533748475,0.3009577829593275,1
1468.0,0.3006736582914534,0.28334557515472203,0.41598076655382454,0.28334557515472203,0.3006736582914534,1
1469.0,0.3003209226871112,0.2860533403454647,0.4136257369674241,0.2860533403454647,0.3003209226871112,1
1470.0,0.299907981000414,0.28874007890517905,0.411351940094407,0.28874007890517905,0.299907981000414,1
