tag,method,P,H,seed,iters,n_grid,order_opt,order_final,stage,padding_nm,design_radius_nm,runtime_s,sha256_rho,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im,f_ED_x,f_MD_x,f_EQ_x,f_MQ_x,px_in_ED_x,py_in_ED_x,mx_in_MD_x,my_in_MD_x,f_ED_y,f_MD_y,f_EQ_y,f_MQ_y,px_in_ED_y,py_in_ED_y,mx_in_MD_y,my_in_MD_y,n_components,n_air_components,min_si_linewidth_nm,min_air_gap_nm,radial_extent_nm,edge_clearance_nm,fill
B_P226_H170_s11_g80_o7,B,226.0,170.0,11,150,80,7,9,coarse,22.6,90.4,226.89297723770142,1bff56aa75fb57a8e119f415e34f30db6395c88783b3cbb8b2fb9cdf4a0c108f,0.3091560900211334,0.23441128432750702,0.30901631712913513,0.23417524993419647,0.14777058362960815,0.12192659825086594,0.8890077471733093,0.5444485545158386,9.161565685644746e-05,0.0002044465800281614,-261.1107482910156,81.11077880859375,0.7903348207473755,0.2964242398738861,0.008675795048475266,0.5304538011550903,0.20098938047885895,0.17312192916870117,-0.7807954549789429,-0.425080269575119,-1.7815076716942713e-05,8.986685134004802e-05,0.00011756206367863342,-0.0001672649523243308,-0.18331179022789001,0.5126607418060303,0.02673475258052349,-0.0892241820693016,-0.7244436740875244,0.07506729662418365,0.5359567277393157,0.44545668418793116,0.015145240166435708,0.0034413479063175197,0.9987117984523559,6.36716867690871e-06,7.374761240358137e-08,0.999843918542028,0.3446883863320779,0.643690970406579,0.010349088707884221,0.0012715545534589777,1.1136954644264933e-05,0.959917767317947,0.9999967706253374,1.1043591092673226e-08,1,1,87.575,48.025000000000006,90.33376479755508,0.06623520244492909,0.29125
A_P208_H260_s11_g80_o7,A,208.0,260.0,11,120,80,7,9,coarse,20.8,83.2,973.2552988529205,5c07ccc4a11d57388b1e3d480a9f2e6ab98dc0e196cb0f96ce32e1bff4f8489d,0.00029105314752086997,0.10817413777112961,0.0002921732375398278,0.10818382352590561,0.007808643858879805,0.6547290086746216,0.32020312547683716,0.3382471799850464,3.707996438606642e-05,9.110707651416305e-06,5.050050735473633,174.949951171875,0.10253003984689713,0.11441115289926529,0.6677097678184509,0.6571139097213745,0.22976016998291016,0.2284749150276184,-0.2956215441226959,-0.12303636968135834,-3.2199357519857585e-05,-1.838817843236029e-05,-6.115671567386016e-06,6.753039997420274e-06,-0.32250887155532837,-0.10197638720273972,-0.6075567007064819,0.5464289784431458,-0.4716663956642151,0.6592758893966675,0.09658148470451998,0.5161213157455532,0.3393980897091505,0.047899109840776256,0.9528895673118933,0.00010748931192879666,4.1049804409043464e-06,0.9999599461572741,0.03746339916789254,0.6723116613469119,0.22224101894582762,0.06798392053936811,0.00031464351311087115,0.7767384599793253,0.9999883101729866,3.029785712355122e-06,1,1,137.8,2.6,82.32192903473535,0.878070965264655,0.45625
A_P226_H110_s11_g80_o7,A,226.0,110.0,11,120,80,7,9,coarse,22.6,90.4,726.9504308700562,cdeac43ed3de132c6e17cf60aa1af7eca9d7006419a71b8da1c366b6c0be5abd,0.0033064703457057476,0.486598938703537,0.0032957266084849834,0.4865764081478119,0.0036593687254935503,0.2843702733516693,0.7306069135665894,0.6678256392478943,0.00015595673175994307,0.00011544342851266265,7.900684833526611,172.0993194580078,0.5337864756584167,0.4459911286830902,0.23897425830364227,0.33696845173835754,0.22723926603794098,0.21704038977622986,-0.5285972952842712,0.5043524503707886,0.0001521703670732677,-3.415670289541595e-05,0.00011422905663494021,-1.6700545529602095e-05,-0.4152190685272217,0.5230527520179749,-0.4775727689266205,-0.10439590364694595,-0.5791962742805481,-0.03873012587428093,0.5209645499087076,0.477053622330662,0.0019559445354152844,2.588322521520529e-05,0.9979819168988737,1.1369609753691736e-05,9.846347507259632e-08,0.9998842135463568,0.4759325833093731,0.523171996313294,0.0006733119078046092,0.00022210846952821283,2.413658559557624e-05,0.9957688156083944,0.9999390683347272,1.270233702749706e-07,1,3,87.575,2.825,90.24537557404258,0.15462442595742232,0.449375
B_P226_H200_s11_g80_o7,B,226.0,200.0,11,150,80,7,9,coarse,22.6,90.4,233.15264463424683,2eb8834ea73bdef427eef0987655c893ffc81c0fa2598020f5422bdddf2035c5,0.27975672483444214,0.14768379926681519,0.27978378534317017,0.14773236215114594,0.2527589797973633,0.06267855316400528,0.7540165781974792,0.5351781845092773,1.3459552064887248e-05,7.659489347133785e-05,-250.8971710205078,70.89718627929688,0.5685409903526306,0.286415696144104,0.09750670194625854,0.5333425402641296,0.33395230770111084,0.18024176359176636,-0.32511353492736816,-0.6803250908851624,-3.4001850508502685e-06,1.3022990970057435e-05,-2.6692854589782655e-05,7.179324165917933e-05,-0.3807654082775116,0.376076340675354,0.30796921253204346,-0.05159129574894905,-0.6669746041297913,-0.297468364238739,0.42879339444311637,0.5064378811625414,0.04601673098353796,0.018751993410804073,0.9985683595687255,2.858836304701343e-06,6.160583338538368e-08,0.9998788895082933,0.3425158702708874,0.6382981306294447,0.013793097665918597,0.005392901433749209,3.572059747024315e-05,0.9654405784218041,0.999986816577186,4.506653555780339e-07,1,2,87.575,2.825,90.33376479755508,0.06623520244492909,0.285625
A_P226_H140_s11_g80_o7,A,226.0,140.0,11,120,80,7,9,coarse,22.6,90.4,731.2970683574677,25a495f739a1b61874181618078e251a19705ccfd44018879e4dd6a6cc141654,0.22978374361991882,0.18300697207450867,0.22976736724376678,0.18305879831314087,0.22370947897434235,0.21118290722370148,0.29029756784439087,0.8610134720802307,5.061026968178339e-05,3.907421705662273e-05,-100.7782211303711,79.22177124023438,0.08427267521619797,0.7413442134857178,0.8199546337127686,0.04984722286462784,0.09577268362045288,0.20880857110023499,0.11873343586921692,0.26490575075149536,-4.5940018026158214e-05,-2.1234736777842045e-05,-1.9567160052247345e-05,3.382189606782049e-05,-0.8376976847648621,0.19901444017887115,-0.5741251111030579,0.7002392411231995,-0.16357582807540894,-0.1519545018672943,0.4988832599626549,0.4884290094938264,0.01240097579180707,0.00028675475171144,0.9756306921511361,1.1566619962190494e-05,7.025882044302002e-08,0.9999985356765866,0.4861221886587368,0.5126531994998393,0.0010303583539344246,0.00019425348748955133,9.99608763314303e-06,0.998088352943629,0.9999098675210399,1.4780329797325305e-08,1,1,81.92500000000001,2.825,90.33376479755508,0.06623520244492909,0.273125
B_P226_H230_s11_g80_o7,B,226.0,230.0,11,150,80,7,9,coarse,22.6,90.4,243.08632445335388,dca1c2a006338c45ee2151fb1ad4d1e5c11b398f18c605e99542c7b819a97ecb,0.0009456225670874119,0.03374244645237923,0.0009432928054593503,0.03376420587301254,0.012147897854447365,0.7316857576370239,0.15964902937412262,0.20954178273677826,2.3472179236705415e-05,4.5197270083008334e-05,-11.262982368469238,168.7370147705078,0.025487814098596573,0.043907757848501205,0.7386772036552429,0.7487327456474304,0.23583495616912842,0.20735949277877808,-0.1592726856470108,-0.01095554232597351,-1.5897878256510012e-05,-1.7268486772081815e-05,-1.1173502571182325e-05,4.3794359953608364e-05,-0.2022133320569992,-0.05493202060461044,-0.6257984042167664,0.5891124606132507,-0.459229052066803,0.7333767414093018,0.0831408830122229,0.4884805030448781,0.39080347757746864,0.03757513636543033,0.9685718660505865,8.716038664832661e-05,4.170513245134094e-06,0.9999406732986612,0.07234305659137817,0.5875633234274774,0.28645048225901054,0.053643137722133825,0.00015725965037900343,0.9243052736947984,0.999944470402551,4.484861853122401e-06,1,1,149.72500000000002,2.825,90.24537557404258,0.15462442595742232,0.46875
A_P226_H170_s11_g80_o7,A,226.0,170.0,11,120,80,7,9,coarse,22.6,90.4,764.896591424942,42946355de334e9b10a93de5bbffe21af1eee4fb1a151c3b4647b3fc0051c196,0.30965936183929443,0.2568667232990265,0.30980560183525085,0.25710329413414,0.1298992782831192,0.10775844752788544,0.8885838389396667,0.586390495300293,4.9072936235461384e-05,0.00021193617430981249,-264.1899108886719,84.18993377685547,0.789581298828125,0.34385380148887634,0.008021260611712933,0.4674281179904938,0.2023974359035492,0.1887180507183075,-0.7707378268241882,-0.4422040581703186,1.2594557119882666e-05,-4.7429213736904785e-05,-8.157467527780682e-05,0.0001956080668605864,-0.23882971704006195,0.5355503559112549,0.030060511082410812,-0.08436565101146698,-0.6834766864776611,0.01696363463997841,0.5422546430112578,0.4379558733602183,0.01613206880287505,0.00365741482564879,0.9987467875659788,3.794745932654128e-06,8.82430786935207e-08,0.9998518638292588,0.3194074105617878,0.6693293660763994,0.00991740452698936,0.0013458188348234154,1.0810790473945943e-05,0.9528776245222247,0.9999960523018595,3.1837946111181584e-08,1,1,87.575,48.025000000000006,90.33376479755508,0.06623520244492909,0.295625
B_P226_H260_s11_g80_o7,B,226.0,260.0,11,150,80,7,9,coarse,22.6,90.4,277.1639907360077,525de36c7345c28abd70c1cfdc168a731d5254e525a6bd078f5f5e62700a1166,0.24942050874233246,0.028810987249016762,0.24951577186584473,0.028896652162075043,0.1184178963303566,0.1775975078344345,0.3763294517993927,0.6442204713821411,0.0002293206925969571,3.808000110439025e-05,-155.50234985351562,24.497665405273438,0.141623854637146,0.41502007842063904,0.574978232383728,0.01713201031088829,0.283397912979126,0.5678479075431824,-0.37627124786376953,-0.006618306040763855,0.00021779070084448904,7.179965177783743e-05,-3.1428604415850714e-05,-2.1501846276805736e-05,0.5908337831497192,-0.2567789554595947,0.030738646164536476,0.7576498985290527,0.10798081010580063,0.07397361099720001,0.012614078828248504,0.8103275791545337,0.10060479613472609,0.07645354588249183,0.45676896863027905,0.0007386999295256538,1.3716751256051561e-06,0.9999877892692126,0.1315631082556751,0.5110851719350371,0.3230691141076093,0.034282605701678674,2.3742423564946236e-06,0.9979450141540358,0.9999518508554248,1.323612340020771e-06,1,1,87.575,2.825,90.33376479755508,0.06623520244492909,0.381875
A_P226_H200_s11_g80_o7,A,226.0,200.0,11,120,80,7,9,coarse,22.6,90.4,779.1022472381592,4a4e13046284fb82050e29a0f7efe3ba56c773e086759e7a2601225f6eed542c,0.262555867433548,0.15265320241451263,0.2625746726989746,0.1527131050825119,0.2602592408657074,0.08959343284368515,0.7859860062599182,0.461218923330307,6.562573253177106e-05,5.75231242692098e-05,-252.3553009033203,72.35529327392578,0.6177740097045898,0.21272289752960205,0.06311558932065964,0.6366606950759888,0.3191103935241699,0.15061640739440918,-0.46732598543167114,-0.6319655179977417,2.476082408975344e-05,-6.077530997572467e-05,-5.694344872608781e-05,-8.145758329192176e-06,-0.2702706456184387,0.37373343110084534,0.23509860038757324,-0.08856768906116486,-0.7831605672836304,-0.15270963311195374,0.4708832474465031,0.484226814090327,0.02855331660538621,0.016336621857783735,0.9977336851883168,7.870989839970777e-06,9.934847050043225e-08,0.9998880989982923,0.3436318814002132,0.630420767090419,0.021347398046652713,0.004599953462714967,5.245985461901354e-05,0.9577479986763481,0.9999921812665212,4.149416325311352e-07,1,1,87.575,59.325,84.77353839789868,5.62646160210133,0.26
B_P244_H110_s11_g80_o7,B,244.0,110.0,11,150,80,7,9,coarse,24.400000000000002,97.6,214.01785326004028,ec79b069c947b991b8292a66fdd4d137beeb6bf1dadb1da2a5669483a19777ca,0.1347646415233612,0.2225952446460724,0.13479575514793396,0.22262482345104218,0.1408410668373108,0.2686940133571625,0.7337586283683777,0.419974684715271,4.162162440479733e-05,2.689593929972034e-05,73.44033813476562,106.5596694946289,0.53840172290802,0.1763787418603897,0.20199459791183472,0.6170641779899597,0.25960367918014526,0.20655709505081177,-0.6116430759429932,0.4053325653076172,-3.8132631743792444e-05,1.668118784436956e-05,-7.121920134522952e-06,2.593587851151824e-05,0.12259633094072342,0.4016825556755066,-0.4297281503677368,-0.1316370964050293,-0.48651963472366333,0.6167356371879578,0.5313010316970159,0.46738646198428857,0.0012790995494276066,3.3406769267941345e-05,0.9986728862315608,5.75537693458034e-06,8.834783234906365e-09,0.9998430227192031,0.4576231375658741,0.5408735474596155,0.0014048798253040598,9.843514920627314e-05,5.5585857731001e-06,0.981475709057452,0.9999802011531028,8.44582490351594e-08,1,1,106.75,39.65,97.52848942744886,0.07151057255113358,0.320625
