tag,lam_nm,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im
A_P271_H200_s11_g96_o9,650.0,0.5024183392524719,0.14125458896160126,0.5022147297859192,0.14118888974189758,0.05910731852054596,0.10520174354314804,0.8779314160346985,0.7185491919517517,6.1131995607865974e-06,0.00015869176422711462,-235.0818328857422,55.081851959228516,0.7707635760307312,0.5163129568099976,0.01114929560571909,0.31742027401924133,0.2180871218442917,0.1662667691707611,-0.04102107882499695,-0.8769725561141968,-5.122500169818522e-06,-3.336345343996072e-06,0.00015855152742005885,6.670044967904687e-06,-0.5693275928497314,0.43838226795196533,-0.10506497323513031,0.010516170412302017,-0.4687650799751282,-0.3125373423099518
A_P271_H200_s11_g96_o9,655.0,0.4840488135814667,0.157600536942482,0.48384225368499756,0.15735921263694763,0.07560618966817856,0.12574395537376404,0.9013487100601196,0.6858725547790527,3.32744893967174e-05,0.00033859614632092416,-238.12405395507812,58.12406921386719,0.8124296069145203,0.47042116522789,0.010234729386866093,0.3924533426761627,0.17733566462993622,0.13712546229362488,-0.18763604760169983,-0.8816020488739014,5.124059043737361e-06,-3.2877585908863693e-05,0.00021377010853029788,-0.0002625827328301966,-0.4942791163921356,0.47550955414772034,-0.09959199279546738,0.017778415232896805,-0.5538022518157959,-0.29284200072288513
A_P271_H200_s11_g96_o9,660.0,0.46379363536834717,0.17138704657554626,0.4638437330722809,0.1714072823524475,0.09402048587799072,0.14283539354801178,0.920440673828125,0.6505542397499084,2.239425157313235e-05,5.439401138573885e-05,-240.76788330078125,60.76789855957031,0.8472110629081726,0.42322081327438354,0.00798678956925869,0.46576833724975586,0.14480215311050415,0.1110108494758606,-0.32118409872055054,-0.8625843524932861,1.421176057192497e-05,1.730688745738007e-05,-5.320659693097696e-05,1.1303389328531921e-05,-0.4211616516113281,0.49582624435424805,-0.08648593723773956,0.022515589371323586,-0.6318523287773132,-0.25793594121932983
A_P271_H200_s11_g96_o9,665.0,0.44290420413017273,0.18353699147701263,0.4430358111858368,0.1836165189743042,0.1135430559515953,0.15615803003311157,0.9359367489814758,0.6140975952148438,5.2625742682721466e-05,0.00014614491374231875,-243.17225646972656,63.172237396240234,0.8759775757789612,0.3771158456802368,0.0050813378766179085,0.5343146324157715,0.11894108355045319,0.0885695219039917,-0.4408663511276245,-0.8255994319915771,4.229941623634659e-06,5.2455470722634345e-05,-9.228746057488024e-05,0.00011331972200423479,-0.3528482913970947,0.5026071667671204,-0.06774526089429855,0.022178558632731438,-0.6998840570449829,-0.2108956128358841
A_P271_H200_s11_g96_o9,670.0,0.42093363404273987,0.1952909231185913,0.4209692180156708,0.1952870786190033,0.1339525282382965,0.16554708778858185,0.9483414888381958,0.57717365026474,1.7625588952796534e-05,2.2066282326704822e-05,-245.652099609375,65.65209197998047,0.8993515968322754,0.3331294357776642,0.0022375094704329967,0.5967271327972412,0.09841089695692062,0.07014346122741699,-0.5473623871803284,-0.7744326591491699,-2.159928044420667e-06,1.7492744518676773e-05,-2.1025171008659527e-05,6.697984645143151e-06,-0.29206734895706177,0.4978213608264923,-0.04492219164967537,0.014815554954111576,-0.7563410997390747,-0.15708370506763458
A_P271_H185_s11_g96_o9,600.0,0.29142096638679504,0.02010416053235531,0.2914486229419708,0.02009722590446472,0.008208771236240864,0.045562729239463806,0.4246547520160675,0.6653866767883301,9.093358130485285e-06,2.907798443629872e-05,196.20440673828125,16.20440673828125,0.18033166229724884,0.44273942708969116,0.09069384634494781,0.016843225806951523,0.7289745211601257,0.5404173731803894,0.3504643738269806,0.23980486392974854,-8.318236723425798e-06,-3.6737046684720553e-06,-1.6656103980494663e-06,-2.9030241421423852e-05,-0.6321805119514465,-0.20757459104061127,-0.2082078456878662,0.2175852358341217,-0.05819253623485565,0.11600369215011597
A_P271_H185_s11_g96_o9,605.0,0.34144172072410583,0.015163303352892399,0.3414769470691681,0.015157118439674377,0.008494731970131397,0.03679078817367554,0.46158140897750854,0.7072352766990662,6.147235581011046e-06,4.040171188535169e-05,181.7224884033203,1.7224781513214111,0.21305739879608154,0.5001817345619202,0.07962542772293091,0.010975961573421955,0.7073171734809875,0.48884230852127075,0.45145896077156067,0.0961364209651947,-5.632524334941991e-06,-2.4623514036647975e-06,3.327737795189023e-05,-2.2911008272785693e-05,-0.6958407163619995,-0.12644141912460327,-0.15211011469364166,0.23767191171646118,-0.07955918461084366,0.06816375255584717
A_P271_H185_s11_g96_o9,610.0,0.392774373292923,0.01587592624127865,0.3927867114543915,0.01588042452931404,0.010745407082140446,0.02611468732357025,0.5174698233604431,0.7413113117218018,5.946877536189277e-06,3.508061490720138e-05,169.27267456054688,10.727331161499023,0.2677750289440155,0.5495424866676331,0.061723146587610245,0.011972012929618359,0.6705017685890198,0.4384855031967163,0.5114402770996094,-0.07876461744308472,4.733501555165276e-07,-5.9280091591062956e-06,-3.499905506032519e-05,-2.3907323338789865e-06,-0.7408721446990967,-0.025512464344501495,-0.09225700050592422,0.2306768000125885,-0.10676712542772293,0.02393309399485588
A_P271_H185_s11_g96_o9,615.0,0.4398755431175232,0.02268548682332039,0.4398450255393982,0.022705892100930214,0.01434643380343914,0.016192767769098282,0.5842399001121521,0.764052152633667,3.989869128417922e-06,6.778362148907036e-05,-200.84765625,20.8476619720459,0.3413362503051758,0.5837756991386414,0.041416577994823456,0.01964094303548336,0.6172471642494202,0.39658334851264954,0.5188559293746948,-0.2685605585575104,-1.5959165011736332e-06,-3.6567889765137807e-06,-5.270395922707394e-05,4.262524817022495e-05,-0.7591127753257751,0.08673818409442902,-0.043611135333776474,0.19878290593624115,-0.13855157792568207,-0.021080920472741127
A_P271_H185_s11_g96_o9,620.0,0.47878924012184143,0.03564793989062309,0.47881290316581726,0.03564899414777756,0.019105810672044754,0.011443693190813065,0.6535050272941589,0.7757772207260132,2.7666355890687555e-05,2.5087909307330847e-05,-209.05987548828125,29.05986976623535,0.427068829536438,0.6018303036689758,0.02371315285563469,0.03741215914487839,0.5492179989814758,0.3607575297355652,0.4699949026107788,-0.45406344532966614,2.3436978153767996e-05,-1.4701540749229025e-05,1.0334621038055047e-05,-2.286042035848368e-05,-0.7495098114013672,0.20016327500343323,-0.01556682400405407,0.1532018929719925,-0.18089589476585388,-0.06847503781318665
