tag,method,P,H,seed,iters,n_grid,order_opt,order_final,stage,padding_nm,design_radius_nm,runtime_s,sha256_rho,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im,f_ED_x,f_MD_x,f_EQ_x,f_MQ_x,px_in_ED_x,py_in_ED_x,mx_in_MD_x,my_in_MD_x,f_ED_y,f_MD_y,f_EQ_y,f_MQ_y,px_in_ED_y,py_in_ED_y,mx_in_MD_y,my_in_MD_y,n_components,n_air_components,min_si_linewidth_nm,min_air_gap_nm,radial_extent_nm,edge_clearance_nm,fill,T_tot_mean,A_mean,score,fab_ok
B_P208_H230_s11_g80_o7,B,208.0,230.0,11,150,80,7,9,coarse,20.8,83.2,264.49258041381836,bce606283f9cf6f91986672a5a1de4ad4b48143dcba3954b42a07d05daa0a3db,0.09438960999250412,0.1299414187669754,0.09437301754951477,0.1301267147064209,0.4790034592151642,0.135769784450531,0.22811180353164673,0.6299171447753906,4.608926610671915e-05,0.00047873318544588983,284.3663024902344,104.36628723144531,0.05203522741794586,0.3967956006526947,0.9055590033531189,0.32434895634651184,0.042405784130096436,0.27885541319847107,-0.16469910740852356,0.1578264832496643,1.6124495232361369e-06,4.606104994309135e-05,0.00028811616357415915,0.0003823277947958559,-0.5350464582443237,-0.33244678378105164,-0.9513745903968811,0.021098602563142776,0.3508048355579376,-0.4486478865146637,0.47628870901937487,0.4432931365918104,0.07228989009320638,0.00812826429560827,0.9836007243064133,0.00018086271774078662,2.436543862899949e-05,0.9999755446015962,0.3380439588412601,0.6449768723832179,0.002990012686937645,0.01398915608858443,1.1535391267739605e-05,0.9983743343021917,0.9999564285163954,6.531824897301928e-07,1,1,70.2,2.6,82.73149339882606,0.46850660117394227,0.22875,0.6149539798498154,0.16063059866428375,-0.4520019013683001,False
B_P208_H260_s11_g80_o7,B,208.0,260.0,11,150,80,7,9,coarse,20.8,83.2,327.4586796760559,4858ebfcf63170a3d547d994c5a2b36cd15a3e74cfa14b66ca9593fabda6d523,0.028923939913511276,0.09314335137605667,0.028962695971131325,0.09311094135046005,0.031968384981155396,0.5359504222869873,0.13550502061843872,0.47516241669654846,5.309880361892283e-05,0.00012773668277077377,4.5514607429504395,175.44854736328125,0.01836162805557251,0.22577932476997375,0.6324611306190491,0.5045744180679321,0.3491772413253784,0.2696462869644165,-0.13550202548503876,0.0008998438715934753,-4.751912274514325e-05,-2.3694217816228047e-05,-0.00010482492507435381,-7.299587014131248e-05,-0.47340312600135803,0.040850911289453506,-0.22906573116779327,0.7615703344345093,0.12333511561155319,0.6995447278022766,0.010914002088581823,0.6812188057675842,0.2468892922561072,0.06097789988772689,0.8227062677483632,0.00021113952528586615,9.384688919914973e-06,0.9999884573067094,0.012124933195191505,0.841778763704681,0.05457043147019958,0.09152587162992809,0.0005636480827139819,0.3853788765591034,0.9999989249712254,1.8501125825670786e-07,1,1,96.2,2.6,83.1390401676613,0.060959832338696174,0.42125,0.5685177743434906,0.30941176414489746,-0.5943208685517312,False
B_P226_H110_s11_g80_o7,B,226.0,110.0,11,150,80,7,9,coarse,22.6,90.4,208.78667831420898,1248a8af471f2da62c5dc81cf72eadffaa6d9b525eb3fe7ccc5ed904b1fa5b74,0.08090046048164368,0.17229124903678894,0.08093875646591187,0.17228949069976807,0.14206397533416748,0.3976131081581116,0.3455112874507904,0.6221269369125366,3.6799483495997265e-05,3.1900704925647005e-05,-64.84457397460938,115.1554183959961,0.11937805265188217,0.38704192638397217,0.715050995349884,0.3642941415309906,0.16557097434997559,0.24866393208503723,0.12477274984121323,0.32219529151916504,-1.048752892529592e-05,-3.527341323206201e-05,-1.5741334209451452e-05,-2.7746447813115083e-05,-0.4296223223209381,0.44996288418769836,-0.4941236078739166,0.6862162947654724,-0.6005746722221375,-0.06003481149673462,0.48469165021673977,0.5113633970718222,0.00378968843887768,0.0001552642725602702,0.9839625018139959,9.818501211529611e-06,4.692638543470238e-08,0.9999916239480529,0.5387020008609554,0.460516314733877,0.0007551606922694255,2.652371289822432e-05,7.115814883613451e-06,0.9986310607410807,0.9998769857434419,4.782233949494978e-10,1,1,104.525,2.825,90.33376479755508,0.06623520244492909,0.33875,0.5396725684404373,0.2071174532175064,-0.4670071455836296,False
B_P226_H140_s11_g80_o7,B,226.0,140.0,11,150,80,7,9,coarse,22.6,90.4,211.4706130027771,d07c64b070ebd2def591c83cacdee82b189f7a523f02c9afe5954efa5c68e948,0.2534942328929901,0.24803893268108368,0.25330206751823425,0.247990220785141,0.15141865611076355,0.17140254378318787,0.4598424732685089,0.8895899653434753,0.00016937368491198868,0.00011439705122029409,-90.75406646728516,89.2459487915039,0.21145512163639069,0.7913703322410583,0.6243008375167847,0.021510690450668335,0.16424405574798584,0.18711897730827332,0.04715891554951668,0.45741790533065796,4.8956488171825185e-05,0.00016214408969972283,6.879942520754412e-05,9.13965268409811e-05,-0.8860235214233398,0.07957792282104492,-0.6580300331115723,0.43737542629241943,-0.10092876106500626,-0.10641448944807053,0.37114040521205033,0.6176279491238281,0.010845456411262076,0.0003861892528594238,0.960677696561192,1.1347689896641993e-05,1.5182915946078416e-09,0.9999966514118644,0.5217862639920254,0.4743953299834509,0.0035563379017194505,0.00026206812280408164,4.770518052195399e-06,0.9986634133802135,0.9999015848747199,1.0802286503922547e-08,1,1,87.575,2.825,90.33376479755508,0.06623520244492909,0.300625,0.3229057639837265,0.17568151652812958,-0.18072136342525483,False
B_P226_H170_s11_g80_o7,B,226.0,170.0,11,150,80,7,9,coarse,22.6,90.4,226.89297723770142,1bff56aa75fb57a8e119f415e34f30db6395c88783b3cbb8b2fb9cdf4a0c108f,0.3091560900211334,0.23441128432750702,0.30901631712913513,0.23417524993419647,0.14777058362960815,0.12192659825086594,0.8890077471733093,0.5444485545158386,9.161565685644746e-05,0.0002044465800281614,-261.1107482910156,81.11077880859375,0.7903348207473755,0.2964242398738861,0.008675795048475266,0.5304538011550903,0.20098938047885895,0.17312192916870117,-0.7807954549789429,-0.425080269575119,-1.7815076716942713e-05,8.986685134004802e-05,0.00011756206367863342,-0.0001672649523243308,-0.18331179022789001,0.5126607418060303,0.02673475258052349,-0.0892241820693016,-0.7244436740875244,0.07506729662418365,0.5359567277393157,0.44545668418793116,0.015145240166435708,0.0034413479063175197,0.9987117984523559,6.36716867690871e-06,7.374761240358137e-08,0.999843918542028,0.3446883863320779,0.643690970406579,0.010349088707884221,0.0012715545534589777,1.1136954644264933e-05,0.959917767317947,0.9999967706253374,1.1043591092673226e-08,1,1,87.575,48.025000000000006,90.33376479755508,0.06623520244492909,0.29125,0.2695647981017828,0.18705565482378006,-0.07801658254116775,True
B_P226_H200_s11_g80_o7,B,226.0,200.0,11,150,80,7,9,coarse,22.6,90.4,233.15264463424683,2eb8834ea73bdef427eef0987655c893ffc81c0fa2598020f5422bdddf2035c5,0.27975672483444214,0.14768379926681519,0.27978378534317017,0.14773236215114594,0.2527589797973633,0.06267855316400528,0.7540165781974792,0.5351781845092773,1.3459552064887248e-05,7.659489347133785e-05,-250.8971710205078,70.89718627929688,0.5685409903526306,0.286415696144104,0.09750670194625854,0.5333425402641296,0.33395230770111084,0.18024176359176636,-0.32511353492736816,-0.6803250908851624,-3.4001850508502685e-06,1.3022990970057435e-05,-2.6692854589782655e-05,7.179324165917933e-05,-0.3807654082775116,0.376076340675354,0.30796921253204346,-0.05159129574894905,-0.6669746041297913,-0.297468364238739,0.42879339444311637,0.5064378811625414,0.04601673098353796,0.018751993410804073,0.9985683595687255,2.858836304701343e-06,6.160583338538368e-08,0.9998788895082933,0.3425158702708874,0.6382981306294447,0.013793097665918597,0.005392901433749209,3.572059747024315e-05,0.9654405784218041,0.999986816577186,4.506653555780339e-07,1,2,87.575,2.825,90.33376479755508,0.06623520244492909,0.285625,0.3154246211051941,0.2570970356464386,-0.06995946248372395,False
B_P226_H230_s11_g80_o7,B,226.0,230.0,11,150,80,7,9,coarse,22.6,90.4,243.08632445335388,dca1c2a006338c45ee2151fb1ad4d1e5c11b398f18c605e99542c7b819a97ecb,0.0009456225670874119,0.03374244645237923,0.0009432928054593503,0.03376420587301254,0.012147897854447365,0.7316857576370239,0.15964902937412262,0.20954178273677826,2.3472179236705415e-05,4.5197270083008334e-05,-11.262982368469238,168.7370147705078,0.025487814098596573,0.043907757848501205,0.7386772036552429,0.7487327456474304,0.23583495616912842,0.20735949277877808,-0.1592726856470108,-0.01095554232597351,-1.5897878256510012e-05,-1.7268486772081815e-05,-1.1173502571182325e-05,4.3794359953608364e-05,-0.2022133320569992,-0.05493202060461044,-0.6257984042167664,0.5891124606132507,-0.459229052066803,0.7333767414093018,0.0831408830122229,0.4884805030448781,0.39080347757746864,0.03757513636543033,0.9685718660505865,8.716038664832661e-05,4.170513245134094e-06,0.9999406732986612,0.07234305659137817,0.5875633234274774,0.28645048225901054,0.053643137722133825,0.00015725965037900343,0.9243052736947984,0.999944470402551,4.484861853122401e-06,1,1,149.72500000000002,2.825,90.24537557404258,0.15462442595742232,0.46875,0.7437049746513367,0.22159722447395325,-0.6690064459356169,False
B_P226_H260_s11_g80_o7,B,226.0,260.0,11,150,80,7,9,coarse,22.6,90.4,277.1639907360077,525de36c7345c28abd70c1cfdc168a731d5254e525a6bd078f5f5e62700a1166,0.24942050874233246,0.028810987249016762,0.24951577186584473,0.028896652162075043,0.1184178963303566,0.1775975078344345,0.3763294517993927,0.6442204713821411,0.0002293206925969571,3.808000110439025e-05,-155.50234985351562,24.497665405273438,0.141623854637146,0.41502007842063904,0.574978232383728,0.01713201031088829,0.283397912979126,0.5678479075431824,-0.37627124786376953,-0.006618306040763855,0.00021779070084448904,7.179965177783743e-05,-3.1428604415850714e-05,-2.1501846276805736e-05,0.5908337831497192,-0.2567789554595947,0.030738646164536476,0.7576498985290527,0.10798081010580063,0.07397361099720001,0.012614078828248504,0.8103275791545337,0.10060479613472609,0.07645354588249183,0.45676896863027905,0.0007386999295256538,1.3716751256051561e-06,0.9999877892692126,0.1315631082556751,0.5110851719350371,0.3230691141076093,0.034282605701678674,2.3742423564946236e-06,0.9979450141540358,0.9999518508554248,1.323612340020771e-06,1,1,87.575,2.825,90.33376479755508,0.06623520244492909,0.381875,0.29605512134730816,0.4256229102611542,0.046158012102047605,False
B_P244_H110_s11_g80_o7,B,244.0,110.0,11,150,80,7,9,coarse,24.400000000000002,97.6,214.01785326004028,ec79b069c947b991b8292a66fdd4d137beeb6bf1dadb1da2a5669483a19777ca,0.1347646415233612,0.2225952446460724,0.13479575514793396,0.22262482345104218,0.1408410668373108,0.2686940133571625,0.7337586283683777,0.419974684715271,4.162162440479733e-05,2.689593929972034e-05,73.44033813476562,106.5596694946289,0.53840172290802,0.1763787418603897,0.20199459791183472,0.6170641779899597,0.25960367918014526,0.20655709505081177,-0.6116430759429932,0.4053325653076172,-3.8132631743792444e-05,1.668118784436956e-05,-7.121920134522952e-06,2.593587851151824e-05,0.12259633094072342,0.4016825556755066,-0.4297281503677368,-0.1316370964050293,-0.48651963472366333,0.6167356371879578,0.5313010316970159,0.46738646198428857,0.0012790995494276066,3.3406769267941345e-05,0.9986728862315608,5.75537693458034e-06,8.834783234906365e-09,0.9998430227192031,0.4576231375658741,0.5408735474596155,0.0014048798253040598,9.843514920627314e-05,5.5585857731001e-06,0.981475709057452,0.9999802011531028,8.44582490351594e-08,1,1,106.75,39.65,97.52848942744886,0.07151057255113358,0.320625,0.4095293879508972,0.23308038711547852,-0.35889712393283846,True
B_P244_H140_s11_g80_o7,B,244.0,140.0,11,150,80,7,9,coarse,24.400000000000002,97.6,215.87560486793518,17e5bad3bfe7c41ddcec21105901022bed8c73288c2bb4686a04411217cf7734,0.31960809230804443,0.2256784737110138,0.319680392742157,0.2258959412574768,0.11157132685184479,0.15896247327327728,0.5155931115150452,0.908309817314148,0.00020184241293463856,3.544566061464138e-05,258.43890380859375,78.43888854980469,0.26583626866340637,0.82502681016922,0.5367418527603149,0.004443164449185133,0.19742190837860107,0.1705300211906433,0.0303521528840065,0.5146989226341248,-8.970389171736315e-05,-0.0001808136294130236,-9.79866035777377e-06,3.406436735531315e-05,-0.8990545272827148,-0.1293354481458664,-0.6177748441696167,0.3938223719596863,-0.06295125186443329,0.02191518247127533,0.36457793121075616,0.6300358177773872,0.00508046743041714,0.0003057835814398339,0.9587115443427682,5.803182151203219e-06,1.1267911094663513e-07,0.9999936747841824,0.5759213960708813,0.41482497734473645,0.008923450138483552,0.00033017644589859317,4.8931195419525845e-06,0.9989893518782023,0.9998051884281066,4.69243014332067e-08,1,1,88.44999999999999,51.849999999999994,97.52848942744886,0.07151057255113358,0.283125,0.27059250860475004,0.1839759647846222,-0.059258879766178635,True
