tag,theta,phi,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im
B_P271_H215_s11_g96_o9,10,90,0.5036022663116455,0.01153809204697609,0.5034739971160889,0.011543243192136288,0.02557266503572464,0.007842323742806911,0.6791783571243286,0.7542375922203064,1.4827332961431239e-06,9.234133176505566e-05,163.83035278320312,16.169652938842773,0.46128323674201965,0.5688743591308594,0.009797724895179272,0.05702657997608185,0.5289190411567688,0.37409907579421997,0.6785863637924194,-0.02835175395011902,5.849202580066049e-07,-1.362485363642918e-06,1.3430552314730448e-07,9.234123717760667e-05,-0.732537567615509,-0.17961925268173218,-0.0626082494854927,0.07666750252246857,-0.009508566930890083,-0.23861300945281982
B_P271_H215_s11_g96_o9,15,0,0.11768610775470734,0.17017269134521484,0.11764288693666458,0.1701112538576126,0.1322886198759079,0.08865854144096375,0.11774604022502899,0.7494989633560181,4.5112908992450684e-05,0.00031325785676017404,53.51287841796875,126.48712921142578,0.013864227570593357,0.5617486834526062,0.339207261800766,0.10297680646181107,0.6469285488128662,0.33527451753616333,-0.06318718194961548,-0.09935547411441803,3.2428073609480634e-05,3.136231316602789e-05,0.0003131503181066364,8.207392966141924e-06,-0.7476439476013184,-0.05269930511713028,0.5784541964530945,0.06780727952718735,-0.038333941251039505,-0.3186021149158478
B_P271_H215_s11_g96_o9,15,45,0.26324790716171265,0.10922300815582275,0.14862506091594696,0.13778656721115112,0.056105274707078934,0.02952003851532936,0.26669761538505554,0.7595062851905823,0.0801146999001503,0.06698377430438995,113.0611801147461,66.93882751464844,0.07561444491147995,0.5832681655883789,0.20779076218605042,0.057738691568374634,0.7165948152542114,0.35899314284324646,0.14987798035144806,-0.22059965133666992,0.05354909598827362,0.05958908796310425,-0.015002574771642685,0.06528206914663315,-0.745217502117157,-0.14663095772266388,0.4051142632961273,0.19276858866214752,-0.02476656250655651,-0.23224380612373352
B_P271_H215_s11_g96_o9,15,90,0.4836462438106537,0.02565520815551281,0.4835985600948334,0.025696128606796265,0.013755638152360916,0.0023913320619612932,0.6649404168128967,0.759243369102478,4.67940371891018e-05,8.666775102028623e-05,155.1065216064453,24.89348602294922,0.44214576482772827,0.5764504671096802,0.01748926378786564,0.014941402710974216,0.5403649806976318,0.4086081385612488,0.6636244654655457,-0.0418127179145813,4.370909300632775e-05,1.6709194824215956e-05,-8.597883424954489e-05,1.0905914678005502e-05,-0.7074369788169861,-0.27565085887908936,-0.05417599901556969,0.12063988298177719,-0.04343857616186142,-0.11425622552633286
B_P271_H215_s11_g96_o9,20,0,0.08986765891313553,0.21401700377464294,0.08996887505054474,0.21385297179222107,0.14250890910625458,0.11510784924030304,0.17486223578453064,0.759690523147583,1.1700036338879727e-05,0.00018953598919324577,338.9985656738281,158.99856567382812,0.030576836317777634,0.5771296620368958,0.417534738779068,0.09803120791912079,0.5518884658813477,0.32483911514282227,-0.1641508787870407,0.060260191559791565,-4.9232553465117235e-06,1.0613784070301335e-05,8.063406130531803e-05,-0.00017152853251900524,-0.759608268737793,-0.011178625747561455,0.6447412967681885,-0.0429346077144146,-0.06296493113040924,-0.3067028224468231
B_P271_H215_s11_g96_o9,20,45,0.2062157243490219,0.16463682055473328,0.07318216562271118,0.18991251289844513,0.051219210028648376,0.04930754378437996,0.13098318874835968,0.7671616673469543,0.1400315761566162,0.0929778441786766,62.402854919433594,117.5971450805664,0.02580147609114647,0.6081458926200867,0.3210805356502533,0.03827787935733795,0.6531180143356323,0.3535762429237366,-0.03381539136171341,-0.12654294073581696,0.09925517439842224,0.09877881407737732,-0.0020916275680065155,0.09295431524515152,-0.7485809326171875,-0.16782008111476898,0.5419198870658875,0.11946594715118408,-0.04357488080859184,-0.16336680948734283
B_P271_H215_s11_g96_o9,20,90,0.4098784327507019,0.05418906360864639,0.40982821583747864,0.054190341383218765,0.0074962591752409935,0.024911686778068542,0.6383618116378784,0.721512496471405,1.441109816369135e-05,5.4360330977942795e-05,140.5516815185547,39.44831848144531,0.4075058102607727,0.5205802917480469,0.03689481317996979,0.027793072164058685,0.5555993914604187,0.45162662863731384,0.6363299489021301,-0.05089223384857178,2.733482233452378e-06,-1.4149481103231665e-05,-6.518608188343933e-06,5.396807682700455e-05,-0.5919251441955566,-0.41255897283554077,-0.039397843182086945,0.18799607455730438,-0.15563593804836273,0.05975386127829552
B_P271_H215_s11_g96_o9,25,0,0.09081555902957916,0.24722586572170258,0.09090084582567215,0.24710707366466522,0.1439630091190338,0.11760310083627701,0.27738457918167114,0.7740201354026794,3.483268301351927e-05,0.00021663136431016028,-43.278770446777344,136.72122192382812,0.07694225013256073,0.5991071462631226,0.43514305353164673,0.08809331059455872,0.48791468143463135,0.3127995431423187,-0.19379177689552307,0.19846147298812866,8.369815077458043e-06,3.3812157198553905e-05,0.00017427992133889347,-0.00012866877659689635,-0.7733393311500549,0.03245709463953972,0.6510180830955505,-0.10638793557882309,-0.08695629984140396,-0.2837814390659332
B_P271_H215_s11_g96_o9,25,45,0.1911579668521881,0.2088596373796463,0.06080624833703041,0.20324549078941345,0.05140860378742218,0.058554552495479584,0.12984594702720642,0.7664783596992493,0.21776296198368073,0.11090337485074997,-6.909952163696289,173.0900421142578,0.029159527271986008,0.6349097490310669,0.3827716112136841,0.03697842359542847,0.5880688428878784,0.32811182737350464,-0.12880706787109375,-0.01639235019683838,0.1578121930360794,0.15005339682102203,0.014094382524490356,0.11000411957502365,-0.7431815266609192,-0.1875375211238861,0.6007512807846069,0.05194966867566109,-0.06718309223651886,-0.08479194343090057
B_P271_H215_s11_g96_o9,25,90,0.25391897559165955,0.08806279301643372,0.2540297210216522,0.08817828446626663,0.037602499127388,0.1001773476600647,0.5866549611091614,0.5831172466278076,4.0348215406993404e-05,0.00019314116798341274,119.00112915039062,60.99887466430664,0.34416407346725464,0.34002572298049927,0.08322133123874664,0.19257758557796478,0.5726146101951599,0.46739667654037476,0.5853383541107178,-0.03928154706954956,3.0357077775988728e-05,-2.6578682081890292e-05,-0.00012770846660714597,-0.00014489327440969646,-0.3162253499031067,-0.489925742149353,-0.01956499181687832,0.28781649470329285,-0.3951007127761841,0.19097909331321716
