tag,method,P,H,seed,iters,n_grid,order_opt,order_final,stage,padding_nm,design_radius_nm,runtime_s,sha256_rho,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im,f_ED_x,f_MD_x,f_EQ_x,f_MQ_x,px_in_ED_x,py_in_ED_x,mx_in_MD_x,my_in_MD_x,f_ED_y,f_MD_y,f_EQ_y,f_MQ_y,px_in_ED_y,py_in_ED_y,mx_in_MD_y,my_in_MD_y,n_components,n_air_components,min_si_linewidth_nm,min_air_gap_nm,radial_extent_nm,edge_clearance_nm,fill,min_air_gap_internal_nm,n_internal_air_holes,fab_ok2
B_P262_H230_s11_g96_o9,B,262.0,230.0,11,90,96,9,9,refinement,26.200000000000003,104.8,525.5832052230835,989827b27e1b5c3ad657c4d9208853ad7e64996f218acef915b76a8a4dddd7b8,0.4054208695888519,0.011866670101881,0.4055098295211792,0.0119206849485635,0.0644356235861778,0.1055410727858543,0.6992127299308777,0.5880641937255859,5.770563439000398e-05,0.0002967471664305,-196.82931518554688,16.829322814941406,0.4888985455036163,0.3458195030689239,0.0092290723696351,0.3307372033596039,0.5018724203109741,0.3234433233737945,0.6623700857162476,-0.2239738702774047,-5.172887540538795e-05,2.557467269070912e-05,-0.0002952971844933,-2.929934998974204e-05,-0.5877566337585449,0.0190166048705577,-0.0743278563022613,-0.0608575418591499,-0.0952858328819274,-0.5671488642692566,0.3509608661503776,0.2615000566835271,0.3538978119093912,0.033641265256704,0.9999712243602596,8.8932304054299e-07,2.2231658367382992e-06,0.9998384040574386,0.2627426565349779,0.7100467659610393,0.005040691098989,0.0221698864049935,2.0986460848320092e-05,0.9467698064601272,0.9999783757552932,2.2343740316884365e-07,1,1,106.4375,2.7291666666666665,104.44189576991548,0.358104230084507,0.2491319444444444,,,
B_P262_H245_s11_g96_o9,B,262.0,245.0,11,90,96,9,9,refinement,26.200000000000003,104.8,575.9402434825897,da09128d3b8bad43e9e35b4547674d4c56cdfca8624eef1636f515fc8c148a2c,0.2354466766119003,0.063024066388607,0.2354254722595214,0.0630610287189483,0.141918659210205,0.0943833515048027,0.7341884970664978,0.240675076842308,5.236845026956871e-05,0.0003057919966522,192.67678833007807,12.676776885986328,0.5390328764915466,0.057924497872591,0.0075882668606936,0.4650094211101532,0.4533788561820984,0.4770660698413849,0.1877085864543914,0.7097874283790588,-1.203571355290478e-05,5.096661698189564e-05,9.91846391116269e-05,0.0002892596530728,-0.1110940128564834,-0.2135008573532104,-0.0869427770376205,0.0053957630880177,0.570121169090271,0.3741273581981659,0.121051867868751,0.142639193904978,0.6699677805019018,0.066341157724369,0.9991114665024567,8.265775433178932e-06,1.8558551741141848e-06,0.9998878051979386,0.2009230316801636,0.7262122410394728,0.0093869767454311,0.0634777505349322,1.519952134053879e-06,0.935599833905751,0.9999263002742792,2.202559511669009e-07,1,1,111.89583333333331,2.7291666666666665,104.6556242931098,0.1443757068901874,0.2860243055555556,,,
B_P271_H215_s11_g96_o9,B,271.0,215.0,11,90,96,9,9,refinement,27.1,108.4,498.6473724842072,6fc628a197b95ace36eb587607de03024ae9805292c00b35f7184213203596a8,0.5047140121459961,0.0045395540073513,0.5047998428344727,0.0045410990715026,0.0354933813214302,0.021341647952795,0.6884990334510803,0.7379454970359802,7.878714313847013e-06,6.720882811350748e-05,169.90988159179688,10.090128898620604,0.4740309119224548,0.5445635318756104,0.0064628808759152,0.1071690022945404,0.5195062160491943,0.3482674658298492,0.6883783936500549,-0.0128896236419677,-5.58835563424509e-06,-5.553775281441631e-06,-3.407834446989e-05,-5.792834417661652e-05,-0.7288250923156738,-0.1156614124774932,-0.0679202377796173,0.0430047437548637,-0.0016158738872036,-0.3273627758026123,0.3175623146257229,0.2058827012986835,0.4361447444292393,0.0404102396463543,0.9998563768524434,4.704946659513651e-07,2.3005125307012032e-08,0.9997045277279736,0.2974133031712959,0.6864885437731646,0.0014255247576595,0.0146726282978798,1.458490098332336e-05,0.953792179865904,0.9999281459307484,2.2586392137026863e-08,1,1,104.44791666666666,2.8229166666666665,108.25066482226244,0.1493351777375693,0.2604166666666667,,,
B_P271_H230_s11_g96_o9,B,271.0,230.0,11,90,96,9,9,refinement,27.1,108.4,504.1978681087494,2da25ac3eaff60a7edf6a67f5679a623e1a08b957beb9d02da4097032bc29436,0.4248993992805481,0.0053585804998874,0.4246847033500671,0.0053339484147727,0.0344754233956337,0.0897978320717811,0.6817163825035095,0.6289193034172058,2.715494338190183e-05,0.0002067547611659,191.95469665527344,11.954689025878906,0.4647372663021087,0.3955394923686981,0.0161232054233551,0.2325180768966674,0.5191395282745361,0.371942400932312,0.6306939125061035,0.2587709426879883,-2.1491079678526148e-05,1.6598927686573006e-05,-0.0001841279736254,9.40447862376459e-05,-0.6186791658401489,-0.1130291521549224,-0.0399701595306396,-0.120522104203701,0.0580522306263446,-0.4786940813064575,0.2887485188606997,0.1590348662347857,0.5079004326979629,0.0443161822065517,0.999694301832594,2.4706806097747724e-07,2.026996384938292e-06,0.9997231240846322,0.2688620766608445,0.7057265759487863,0.0015846639841124,0.0238266834062566,1.814856681529434e-05,0.9479245198750312,0.9999605611963664,1.1898896059416061e-07,1,1,104.44791666666666,2.8229166666666665,108.25066482226244,0.1493351777375693,0.2486979166666666,,,
B_P271_H245_s11_g96_o9,B,271.0,245.0,11,90,96,9,9,refinement,27.1,108.4,538.5906248092651,9c88de2b37ea13541607804fb1348f570223164942afcf4a743f03251f9c8f14,0.2854077219963074,0.0505282096564769,0.2853802144527435,0.0504859201610088,0.0822540670633316,0.1038044691085815,0.7437275648117065,0.3444872498512268,5.778660124633461e-05,0.0001313390384893,203.5381774902344,23.53817176818848,0.5531306862831116,0.1186714619398117,0.0074632102623581,0.3645805418491363,0.4394060969352722,0.5167479515075684,0.0698994100093841,0.7404355406761169,1.0554863365541678e-05,-5.681448965333402e-05,-7.441962952725589e-05,-0.0001082204253179,-0.1666482836008072,-0.3014959692955017,0.053291980177164,-0.0679937228560447,0.5865073204040527,0.143491193652153,0.1299566551566265,0.0726035030093549,0.7287858274955779,0.0686540143384407,0.9972796729448076,2.8505601404663324e-06,1.3622300114289264e-05,0.9997060557323366,0.2450166244479495,0.6968124227867217,0.0056477452750989,0.0525232074902298,3.725579967027397e-06,0.9399787012806552,0.999878114997415,1.4145070222630525e-07,1,1,110.09375,2.8229166666666665,108.25066482226244,0.1493351777375693,0.2673611111111111,,,
B_P271_H215_s23_g96_o9,B,271.0,215.0,23,90,96,9,9,refinement,27.1,108.4,485.7387027740479,12086368d56c71a9f3d365b5e9a493cfbe7d47d1d69224ce1fe62104b3217c86,0.4954589903354645,0.0264191031455993,0.4954875111579895,0.0264127720147371,0.0182652696967124,0.024599989876151,0.7497005462646484,0.6940659284591675,1.038624941429589e-05,2.485222285031341e-05,-154.34815979003906,25.651857376098636,0.5620509386062622,0.4817275106906891,0.0763057991862297,0.0094240885227918,0.3616432547569275,0.5088484287261963,-0.6913937330245972,-0.2898717820644378,9.438699635211378e-07,1.0343272151658311e-05,2.042330743279308e-05,1.4160561477183364e-05,0.6931736469268799,-0.0351829528808593,0.1021363958716392,-0.2566592097282409,-0.0791206881403923,-0.0562494099140167,0.3241444779912996,0.6515505022592754,0.003357275953555,0.02094774379587,0.964321660213565,1.9251827864560063e-05,5.0395136781392016e-08,0.99992016997419,0.3440011941811656,0.1862732290438418,0.4364262431940797,0.0332993335809127,2.731458820643939e-07,0.9996876586203762,0.9996265783577396,8.530242176965038e-07,1,1,110.09375,2.8229166666666665,108.25066482226244,0.1493351777375693,0.2664930555555556,,,
B_P271_H215_s47_g96_o9,B,271.0,215.0,47,90,96,9,9,refinement,27.1,108.4,492.7354400157929,8a82e4f6a5bf1d7ea11d8764665ab0f2c481b337fa2f78b7e230995306c2ab48,0.1038241311907768,0.1220495104789733,0.1038444340229034,0.1220593750476837,0.1377656757831573,0.3532798886299133,0.6678873300552368,0.0755242183804512,4.683104998548515e-05,0.0003600886557251,68.82530212402344,111.1747055053711,0.4460735917091369,0.0057039097882807,0.2235060334205627,0.7589496970176697,0.3304203748703003,0.2353463768959045,-0.1672829687595367,0.6465986967086792,4.610104224411771e-05,8.23656409920659e-06,0.0001140524254878,-0.0003415492537897,0.0613475292921066,0.0440498366951942,-0.4680823385715484,0.0663685128092765,-0.3477035760879516,0.7987815141677856,0.0096064183625779,0.142666269994045,0.8304876539872864,0.0172396576560908,0.9845666642528772,0.000471736350983,1.2743037818595518e-05,0.9986232347754176,0.0277370542984421,0.5492205031818915,0.3404677994924442,0.0825746430272221,0.0001416455195499,0.8268020509302223,0.9999844240385412,1.4682266700053418e-06,1,3,127.03125,2.8229166666666665,108.25066482226244,0.1493351777375693,0.4131944444444444,,,
