tag,order,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im
B_P271_H215_s11_g96_o9,9,0.5048607587814331,0.004552029073238373,0.5048467516899109,0.004551135003566742,0.03533848002552986,0.021334534510970116,0.6885203123092651,0.7380720973014832,2.3777813112246804e-05,1.3546675290854182e-05,169.8997802734375,10.100224494934082,0.47406020760536194,0.5447503924369812,0.006483879406005144,0.10690925270318985,0.5194559693336487,0.34834036231040955,0.6883912682533264,-0.013329386711120605,1.2619248082046397e-05,2.0152891011093743e-05,1.0521729564061388e-05,-8.53262099553831e-06,-0.7290034890174866,-0.11534452438354492,-0.06779168546199799,0.04345238208770752,-0.001819753204472363,-0.32696473598480225
B_P271_H215_s11_g96_o9,11,0.5054939985275269,0.00854939129203558,0.5055139064788818,0.008551646023988724,0.039853811264038086,0.01651737466454506,0.6924184560775757,0.740719735622406,1.6343428796972148e-05,1.0509079402254429e-06,165.6805419921875,14.319464683532715,0.4794433116912842,0.5486657023429871,0.009404538199305534,0.10331772267818451,0.5111521482467651,0.34801656007766724,0.6888749003410339,-0.0699620246887207,8.033218364289496e-06,-1.4232886314857751e-05,-9.499035513726994e-07,4.4954504119232297e-07,-0.7325445413589478,-0.10974618792533875,-0.062315698713064194,0.07430512458086014,-0.007969245314598083,-0.3213319480419159
B_P271_H215_s11_g96_o9,13,0.5057330131530762,0.01085138600319624,0.5049834847450256,0.010868257842957973,0.041050445288419724,0.013827251270413399,0.6937501430511475,0.7423925399780273,3.421465589781292e-05,0.0005115317180752754,163.76560974121094,16.234403610229492,0.4812895357608795,0.5511466860771179,0.011309092864394188,0.09868256747722626,0.5074014067649841,0.35017073154449463,0.6864254474639893,-0.10054537653923035,2.8042926714988425e-05,1.9601960957515985e-05,6.260438385652378e-05,0.0005076862871646881,-0.7353447675704956,-0.10205262899398804,-0.05766246095299721,0.08934538066387177,-0.012463128194212914,-0.3138904869556427
B_P271_H215_s11_g96_o9,15,0.503777027130127,0.014301493763923645,0.5036943554878235,0.014762652106583118,0.044998109340667725,0.011198173277080059,0.6954299211502075,0.7435786724090576,0.00010733634553616866,0.0018954526167362928,161.0919952392578,18.908010482788086,0.4836263954639435,0.552909255027771,0.013910958543419838,0.09764688462018967,0.5024626851081848,0.34944385290145874,0.6821867823600769,-0.13507014513015747,7.86736054578796e-05,7.301749428734183e-05,-0.001895208260975778,3.04322165902704e-05,-0.736859142780304,-0.09973898530006409,-0.051524776965379715,0.10597492754459381,-0.015481080859899521,-0.3121013045310974
B_P271_H230_s11_g96_o9,9,0.42501479387283325,0.005276010371744633,0.4253125786781311,0.005283815786242485,0.03472325950860977,0.0902743712067604,0.6817435026168823,0.6293750405311584,2.0659794245148078e-05,0.0002302904613316059,191.8788604736328,11.878846168518066,0.4647742509841919,0.39611294865608215,0.016172030940651894,0.23384027183055878,0.5190536975860596,0.37004679441452026,0.6306276917457581,0.25900372862815857,1.9245022485847585e-05,7.513734090025537e-06,5.4468408052343875e-05,-0.00022375631670001894,-0.6189369559288025,-0.11414888501167297,-0.03996991738677025,-0.12072417885065079,0.05752716213464737,-0.48013633489608765
B_P271_H230_s11_g96_o9,11,0.43514594435691833,0.0024673279840499163,0.43426305055618286,0.002405161038041115,0.040909457951784134,0.07813649624586105,0.6886984705924988,0.6324360966682434,5.397498534875922e-05,0.0007582500111311674,187.04615783691406,7.046146392822266,0.4743061363697052,0.39997541904449463,0.010460596531629562,0.22814446687698364,0.5152332782745361,0.37188011407852173,0.6590359807014465,0.19994297623634338,-5.2218161727068946e-05,-1.365879870718345e-05,-0.0005007065483368933,0.0005694172577932477,-0.6231492757797241,-0.1079833135008812,-0.054882925003767014,-0.08626370131969452,0.04855817183852196,-0.4751700460910797
B_P271_H230_s11_g96_o9,13,0.43663841485977173,0.0013652377529069781,0.44044870138168335,0.001646130927838385,0.042788200080394745,0.07353471219539642,0.6912764310836792,0.6342102885246277,0.0003366309392731637,0.0035408195108175278,184.54150390625,4.541501998901367,0.47787564992904663,0.40222281217575073,0.008211423642933369,0.2234712392091751,0.5139129161834717,0.37430596351623535,0.6711857318878174,0.1654474139213562,-0.0002605175832286477,-0.00021319235383998603,0.002769563812762499,-0.0022061094641685486,-0.6258635520935059,-0.1025547906756401,-0.06041513383388519,-0.06740359216928482,0.04248343035578728,-0.4708145558834076
B_P271_H230_s11_g96_o9,15,0.44313889741897583,0.0009654457098804414,0.4425855576992035,0.0009320431272499263,0.047687970101833344,0.066635362803936,0.6947379112243652,0.6363652348518372,0.0001415412116330117,0.0006133761489763856,181.69532775878906,1.6953213214874268,0.4826611578464508,0.4049607515335083,0.006432809866964817,0.22239546477794647,0.5109060406684875,0.37264376878738403,0.6824781894683838,0.12993967533111572,-2.5521676434436813e-05,-0.00013922125799581409,0.00017549493350088596,0.0005877345101907849,-0.6283831596374512,-0.10047546029090881,-0.0657120794057846,-0.0459560863673687,0.03690952807664871,-0.47014161944389343
B_P262_H215_s11_g96_o9,9,0.4564717411994934,0.03709571063518524,0.4563998281955719,0.03700803220272064,0.07699952274560928,0.0475824810564518,0.727210283279419,0.6768608093261719,0.00017191225197166204,7.726341573288664e-05,-211.5673828125,31.56736946105957,0.5288348197937012,0.4581405818462372,0.005859375,0.2433687448501587,0.46530580520629883,0.29849064350128174,0.5366218090057373,-0.49078696966171265,-0.00015570130199193954,7.287610787898302e-05,7.09014420863241e-05,3.070214006584138e-05,-0.6646979451179504,0.1277388036251068,-0.01900949515402317,0.07414603233337402,-0.20844730734825134,-0.44712239503860474
B_P262_H215_s11_g96_o9,11,0.4580589830875397,0.045566920191049576,0.4567388594150543,0.045372895896434784,0.07819244265556335,0.04594527557492256,0.734614372253418,0.6826993823051453,5.8426932810107246e-05,0.0010413775453343987,-214.7788543701172,34.77886962890625,0.539659321308136,0.4660784602165222,0.006492530927062035,0.24195341765880585,0.4538481533527374,0.29196810722351074,0.5085799694061279,-0.5300987362861633,5.561248690355569e-05,-1.7915295757120475e-05,0.0008167293854057789,0.0006460806471295655,-0.6692116260528564,0.13503409922122955,-0.012916809879243374,0.07952424138784409,-0.2194923311471939,-0.4402005672454834
B_P262_H215_s11_g96_o9,13,0.45626020431518555,0.05054553598165512,0.45546579360961914,0.05060163885354996,0.076549232006073,0.0458606481552124,0.7395244240760803,0.6826247572898865,0.00012761949619743973,0.0005771879223175347,-216.5975341796875,36.5975341796875,0.546896755695343,0.4659765958786011,0.0060815042816102505,0.23874063789844513,0.4470217525959015,0.295282781124115,0.4898654520511627,-0.5540109872817993,0.00011676184658426791,-5.1511215133359656e-05,0.00023109171888791025,0.0005289068794809282,-0.6679081320762634,0.14097970724105835,-0.012613905593752861,0.07695675641298294,-0.22256606817245483,-0.4349769949913025
B_P262_H215_s11_g96_o9,15,0.45536553859710693,0.05617862194776535,0.4549403488636017,0.05695343390107155,0.07934205234050751,0.04356341436505318,0.7429213523864746,0.68666011095047,0.00021468219347298145,0.0019334563985466957,-218.61691284179688,38.61691665649414,0.5519359111785889,0.4715021550655365,0.006816794630140066,0.23839610815048218,0.44124728441238403,0.29010170698165894,0.46871501207351685,-0.5764012336730957,-0.00019650721515063196,8.644859190098941e-05,-0.0014206359628587961,0.0013115056790411472,-0.6709850430488586,0.14588065445423126,-0.0037497563753277063,0.0824461579322815,-0.2301812767982483,-0.43059563636779785
